,MAE,RMSE,KPI,n_points
NGBoost Shock,0.298098603117327,0.40565733942550725,82.35294117647058,34.0
NGBoost Original,0.30238812370660684,0.42611024879125703,79.41176470588235,34.0
XGBoost Shock,0.3067113284601942,0.41451490624574444,76.47058823529412,34.0
Ridge Shock,0.3081984054200408,0.42563025692668577,79.41176470588235,34.0
RidgeExt Shock,0.3114970605519055,0.4202036639681751,79.41176470588235,34.0
RidgeExt Original,0.3133953449250555,0.43324066892306706,79.41176470588235,34.0
XGBoost Original,0.314982621229491,0.4342751314193628,76.47058823529412,34.0
Ridge Original,0.3156509757016913,0.4366454809543194,76.47058823529412,34.0
RidgeExt Base,0.3331572223466553,0.4448407286947827,70.58823529411765,34.0
XGBoost Base,0.3332183789633322,0.4436122662867893,76.47058823529412,34.0
NGBoost Base,0.3358391558693332,0.4339454136191685,79.41176470588235,34.0
Ridge Base,0.3601393142969864,0.47697449604989356,67.64705882352942,34.0
LightGBM Original,0.37908404678724184,0.49476105371519913,70.58823529411765,34.0
LightGBM Base,0.3884194481636502,0.48834460654144596,70.58823529411765,34.0
LightGBM Shock,0.41731602387235966,0.5423309849561486,64.70588235294117,34.0
