FeatureSet,Horizon,MAE,RMSE,KPI_Hits,Total,KPI%,MaxError,N_Features
Baseline_AR,h=1,0.548269241320509,0.8951179119022252,28,46,60.86956521739131,4.602321646789932,9
Federal_Macro,h=1,0.6711571670086635,1.1132393335696982,27,46,58.69565217391305,4.816879857873232,13
Components,h=1,0.5170535238026548,0.8989310436727135,32,46,69.56521739130434,4.782416822205647,11
IBVED_Quarterly,h=1,0.5803010473039089,0.9071838435234638,28,46,60.86956521739131,4.5137892322880475,8
IBVED_Monthly,h=1,0.5371264390623467,0.626274376043131,10,21,47.61904761904761,1.0731630328789379,8
Best_Combined,h=1,0.5833037209469139,0.9404948267460425,27,46,58.69565217391305,4.868480223558123,10
Minimal,h=1,0.5481645273829746,0.919639359599965,30,46,65.21739130434783,4.807639523349835,4
Baseline_AR,h=2,0.6362352794603156,1.032672489643962,28,45,62.22222222222222,4.791930503923041,9
Federal_Macro,h=2,0.7199164136172764,1.323964474391672,26,45,57.77777777777777,6.470558360045487,13
Components,h=2,0.6502863921147868,1.1119147829066085,27,45,60.0,4.870696437685652,11
IBVED_Quarterly,h=2,0.6136393956686756,0.9188473087063791,25,45,55.55555555555556,4.32369929918832,8
IBVED_Monthly,h=2,0.48583158827869183,0.5866059612992635,10,20,50.0,1.2963299059347406,8
Best_Combined,h=2,0.7282034418030081,1.37230613640397,25,45,55.55555555555556,6.554253272955634,10
Minimal,h=2,0.5559630543058265,0.9700258842695015,30,45,66.66666666666666,4.7845380068933,4
Baseline_AR,h=12,0.2963593064475187,0.4944692600951205,32,35,91.42857142857143,1.622455750353197,9
Federal_Macro,h=12,0.5879535048559953,1.0929843859031827,23,35,65.71428571428571,5.049216874946012,13
Components,h=12,0.2610926354681851,0.3912703939920156,32,35,91.42857142857143,1.668971599987941,11
IBVED_Quarterly,h=12,0.2795431861237631,0.5962869451388788,32,35,91.42857142857143,2.0718775804738527,8
IBVED_Monthly,h=12,0.1465701915193236,0.17086978039211798,10,10,100.0,0.2972284668414744,8
Best_Combined,h=12,0.3913914625088925,0.9099433833164055,32,35,91.42857142857143,4.176367122206358,10
Minimal,h=12,0.23929667138597047,0.35507512049643736,33,35,94.28571428571428,1.28275543943802,4
