Товар,Рост,Вес,Вклад (п.п.)
"Помидоры свежие, кг",7.608958787241327,0.596084,0.04535578589733958
"Печенье, кг",3.944363355370517,0.6312679999999999,0.02489950366618035
"Яйца куриные, 10 шт.",3.3242596716984485,0.676429,0.022486256454673094
"Сосиски, сардельки, кг",2.354318441420955,0.7323449999999991,0.017241733389824272
"Колбаса полукопченая и варено-копченая, кг",2.2952529994783255,0.5823479999999999,0.013366359937402036
"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",2.7028589599051633,0.4337499999999999,0.011723650738588644
"Сигареты с фильтром, пачка",0.6860745410717685,1.2978179999999995,0.0089039988874468
"Творог, кг",1.5696657624439059,0.5434239999999997,0.008529940472903166
"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.766796947701498,0.8465389999999992,0.006491235213102778
"Масло подсолнечное, л",1.6431390982193816,0.3940549999999999,0.006474871773488383
"Свинина (кроме бескостного мяса), кг",0.7050919110708654,0.8675289999999991,0.006116876805193961
"Мыло хозяйственное, 200 г",5.242924371975866,0.1137219999999997,0.0059623584542983785
"Крупа гречневая-ядрица, кг",2.9897966449985214,0.193833,0.005795212530899984
"Картофель, кг",1.0997897460779615,0.4663449999999998,0.005128814491347267
"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.9181273237726771,0.541568,0.0049722837848092125
"Порошок стиральный, кг",1.6482870906557867,0.292274,0.004817514611343294
"Мука пшеничная, кг",1.473762454078931,0.313764,0.0046241360264162165
"Сыры твердые, полутвердые и мягкие, кг",0.3812305189995424,1.0085859999999993,0.0038450376423567224
"Бананы, кг",0.8148261083159802,0.465695,0.003794604445122104
"Проживание в хостеле, сутки с человека",6.117139598694687,0.050142,0.00306725613757749
"Прокладки женские гигиенические, 10 шт.",2.4447852220048194,0.114728,0.0028048531895016895
"Рыба мороженая неразделанная, кг",0.8565490563544387,0.313528,0.0026855211254069446
"Паста зубная, 100 г (100 мл)",1.3905760958111246,0.185871,0.0025846776950450953
