Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
reg_unknown20_MA3,0.5244466801031629,8.291045701608202e-07,0.3684563344575104,0.0009028276346087305,0.5244466801031629,78
ki_i,0.5149799549470745,2.4264903281864094e-09,0.414608118454484,3.045879001749017e-06,0.5149799549470745,118
ki_i_L0,0.5149799549470745,2.4264903281864094e-09,0.414608118454484,3.045879001749017e-06,0.5149799549470745,118
reg_unknown20_L1,0.4937954141244712,3.756956588212213e-06,0.31251075718166793,0.005047621321725451,0.4937954141244712,79
Ruonia_D1,0.4924435467171435,1.7055023199072152e-08,0.3189163955719575,0.0004573884185932741,0.4924435467171435,117
reg_unknown20_L2,0.49203377829592476,4.758108360794291e-06,0.385245114698427,0.0004959692004483825,0.49203377829592476,78
brent_STD3,0.4606850032395253,7.71106151320807e-05,0.2933590543775324,0.015185274766239055,0.4606850032395253,68
brent_STD6,0.4572634171566825,0.009703204815345706,0.41475955448203716,0.020341597367186496,0.4572634171566825,31
Ruonia_D3,0.4357239357916968,1.1328040563459912e-06,0.36492527623644777,6.076320869378461e-05,0.4357239357916968,115
mom_L0,0.4356562942632578,8.195581883128981e-07,0.3571855166436713,7.171475110361328e-05,0.4356562942632578,118
mom,0.4356562942632578,8.195581883128981e-07,0.3571855166436713,7.171475110361328e-05,0.4356562942632578,118
prod_L0,0.43110351314474005,1.0969265772202235e-06,0.408247013561249,4.452219563779553e-06,0.43110351314474005,118
prod,0.43110351314474005,1.0969265772202235e-06,0.408247013561249,4.452219563779553e-06,0.43110351314474005,118
reg_services_L7,0.42432504824962214,1.2030035189370018e-05,0.12898656541458478,0.20322270143578247,0.42432504824962214,99
prod_D6,0.41786012860169475,4.558593231182221e-06,0.4530566243534501,5.279103571909655e-07,0.41786012860169475,112
reg_construction_MA6,-0.40066612346064384,1.0952217200615672e-05,-0.48114991175085936,6.87293923505809e-08,0.40066612346064384,113
mom_D3,0.4001056747922752,9.41028849761807e-06,0.31005717827959717,0.0007457714261586954,0.4001056747922752,115
ki_i_MA3,0.39644706085675485,1.0551928061663952e-05,0.4384974882281421,8.509565424066319e-07,0.39644706085675485,116
reg_ind_prod_MA3,-0.3893330075224955,1.563566128616813e-05,-0.41584198592997595,3.4458823566019464e-06,0.3893330075224955,116
mom_D6,0.38511603178342835,2.7544942801309383e-05,0.4270470011667593,2.657613714583953e-06,0.38511603178342835,112
