Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
ibved_q_L0,h=2,0.4937954141244712,3.756956588212213e-06,0.4937954141244712,79,True
ibved_q,h=2,0.4937954141244712,3.756956588212213e-06,0.4937954141244712,79,True
ibved_q_L1,h=2,0.49203377829592476,4.758108360794291e-06,0.49203377829592476,78,True
brent_STD3,h=2,0.48894739516502533,2.689017260165309e-05,0.48894739516502533,67,True
ibved_q_MA3,h=2,0.42831481918463216,0.00010190503423958088,0.42831481918463216,77,True
reg_services_L6,h=2,0.42432504824962214,1.2030035189370018e-05,0.42432504824962214,99,True
reg_construction_MA6,h=2,-0.4184513939581487,4.405094115304135e-06,0.4184513939581487,112,True
ibved_q_D3,h=2,0.4156990505433022,0.00018814525695365193,0.4156990505433022,76,True
month_cos,h=2,0.40840399764073176,4.851904344347811e-06,0.40840399764073176,117,True
ki_D6,h=2,0.4011566552748024,1.2810164611066607e-05,0.4011566552748024,111,True
ibved_q_D12,h=2,0.3736069856744326,0.0018447067107333983,0.3736069856744326,67,True
reg_services_L7,h=2,0.3425348029855095,0.0005554664379339234,0.3425348029855095,98,True
ki_STD3,h=2,0.33532669499834244,0.0002489376294409252,0.33532669499834244,115,True
reg_construction_MA3,h=2,-0.33231649151915454,0.00028512643022104376,0.33231649151915454,115,True
reg_services_L9,h=2,0.3141214573645554,0.0018287313875186176,0.3141214573645554,96,True
prod_L10,h=2,0.3031670371495232,0.0015024868325865688,0.3031670371495232,107,True
ibved_m_L3,h=2,0.2986839026579714,0.05468238881011446,0.2986839026579714,42,False
reg_retail_MA6,h=2,0.2895651605359746,0.0019567621431419166,0.2895651605359746,112,True
reg_housing_secondary_L9,h=2,0.2757791323742162,0.0042182531064973595,0.2757791323742162,106,True
Ruonia_D1,h=2,0.2740252818378229,0.002914874509970106,0.2740252818378229,116,True
reg_housing_secondary_L10,h=2,0.27363046156097265,0.004736484162398857,0.27363046156097265,105,True
reg_retail_STD3,h=2,0.2709217810591832,0.0034054704765671038,0.2709217810591832,115,True
reg_ppi_D3,h=2,-0.26979610285603145,0.0036969992568918583,0.26979610285603145,114,True
prod_D1,h=2,0.26323422062050167,0.0043043947569755565,0.26323422062050167,116,True
usd_L0,h=2,-0.2613385812927557,0.004425899929704486,0.2613385812927557,117,True
usd,h=2,-0.2613385812927557,0.004425899929704486,0.2613385812927557,117,True
usd_STD3,h=2,-0.25957918111257194,0.005087256144202805,0.25957918111257194,115,True
mom_D1,h=2,0.2591402384936511,0.004970318931241253,0.2591402384936511,116,True
ki_D12,h=2,0.25670046178504347,0.00820878253843882,0.25670046178504347,105,True
ki_L2,h=2,0.25586529284901766,0.005780584162812993,0.25586529284901766,115,True
reg_profit_MA3,h=2,-0.25211321608618287,0.006565179942378368,0.25211321608618287,115,True
prod_D6,h=2,0.2513833458084755,0.00778193564937173,0.2513833458084755,111,True
reg_ind_prod_D6,h=2,-0.2446510001884064,0.009658214047251694,0.2446510001884064,111,True
brent_MA6,h=2,0.23958295350194167,0.19424387440002935,0.23958295350194167,31,False
reg_retail_D3,h=2,-0.23853452598957622,0.010594736096456366,0.23853452598957622,114,True
reg_ind_prod_MA3,h=2,-0.23798126771588823,0.01043437130321676,0.23798126771588823,115,True
reg_ind_prod_D3,h=2,-0.23653750915488939,0.011284582273746162,0.23653750915488939,114,True
prod_L9,h=2,0.23598699323234873,0.013942407177080103,0.23598699323234873,108,True
ki_L1,h=2,0.2349892071571415,0.011111799053243849,0.2349892071571415,116,True
ki_L3,h=2,0.23439209357449764,0.01206923101742684,0.23439209357449764,114,True
usd_MA3,h=2,-0.22988169211860465,0.013455895251959187,0.22988169211860465,115,True
reg_housing_secondary_L8,h=2,0.2292023390349203,0.01756105755496457,0.2292023390349203,107,True
ki_MA3,h=2,0.22847503566134594,0.014051963866869478,0.22847503566134594,115,True
prod_L11,h=2,0.22820150166395578,0.018634932144968953,0.22820150166395578,106,True
reg_services_L8,h=2,0.22807255734934304,0.024650585805014887,0.22807255734934304,97,True
reg_retail_L5,h=2,0.22779049593425485,0.015713203869428566,0.22779049593425485,112,True
reg_ind_prod_L1,h=2,-0.2268750173066621,0.014322122895135661,0.2268750173066621,116,True
reg_construction_L1,h=2,-0.22549043189405282,0.014943882408498334,0.22549043189405282,116,True
ibved_q_D6,h=2,0.22498457474452116,0.05565798260527115,0.22498457474452116,73,False
reg_ind_prod,h=2,-0.22286139531276414,0.015727010121352508,0.22286139531276414,117,True
reg_ind_prod_L0,h=2,-0.22286139531276414,0.015727010121352508,0.22286139531276414,117,True
ibved_m_MA3,h=2,0.21975649675167702,0.15678926641912028,0.21975649675167702,43,False
reg_services_D6,h=2,-0.21921201878396337,0.029255964072549344,0.21921201878396337,99,True
mom_L10,h=2,0.21819282280081315,0.023959948509354446,0.21819282280081315,107,True
ibved_m_L2,h=2,0.21410493775713954,0.16800066417702986,0.21410493775713954,43,False
serv_L7,h=2,0.2134507892804796,0.025156759705671456,0.2134507892804796,110,True
serv_L6,h=2,0.21332831233480717,0.02457267228790581,0.21332831233480717,111,True
ibved_m_MA6,h=2,0.21244203079247498,0.1881481650827509,0.21244203079247498,40,False
ibved_m_L6,h=2,-0.21119933829045248,0.19682753592366672,0.21119933829045248,39,False
usd_D12,h=2,-0.2099692291390172,0.031569818333426126,0.2099692291390172,105,True
reg_ind_prod_STD3,h=2,0.20786418047256836,0.025803846713195633,0.20786418047256836,115,True
brent_MA3,h=2,0.2060063612291496,0.09442705985819486,0.2060063612291496,67,False
prod,h=2,0.2008667381607582,0.029888712182154484,0.2008667381607582,117,True
prod_L0,h=2,0.2008667381607582,0.029888712182154484,0.2008667381607582,117,True
usd_D6,h=2,-0.2004674870805549,0.034891748250779904,0.2004674870805549,111,True
reg_agri_prices_L12,h=2,-0.20011787071003187,0.040677262490693436,0.20011787071003187,105,True
ki_D1,h=2,-0.1977129135383868,0.03338520389360949,0.1977129135383868,116,True
reg_profit_STD3,h=2,-0.1955131579741998,0.036260503003585444,0.1955131579741998,115,True
serv_D6,h=2,-0.19442346693810264,0.04087991258271907,0.19442346693810264,111,True
reg_construction_L3,h=2,-0.1936016342772185,0.03902827161736871,0.1936016342772185,114,True
reg_shipped_STD3,h=2,0.19358403461835427,0.038178728535987784,0.19358403461835427,115,True
prod_D3,h=2,0.19230886510845147,0.04037974956255248,0.19230886510845147,114,True
ibved_m_L7,h=2,0.19114569714068777,0.25031779321587605,0.19114569714068777,38,False
prod_STD3,h=2,-0.19023632094238432,0.04170947450710444,0.19023632094238432,115,True
reg_income_real_L7,h=2,0.19009188613180997,0.048779719025057705,0.19009188613180997,108,True
usd_D3,h=2,-0.190079234520985,0.0428025705147053,0.190079234520985,114,True
reg_ppi_L3,h=2,0.1875616468339144,0.045682838258989576,0.1875616468339144,114,True
ki,h=2,0.18202735639026937,0.04950345213395912,0.18202735639026937,117,True
ki_L0,h=2,0.18202735639026937,0.04950345213395912,0.18202735639026937,117,True
reg_ppi_D1,h=2,-0.1816149074885601,0.05104190257987921,0.1816149074885601,116,False
nonprod_STD3,h=2,-0.1799943769783022,0.054243082356736645,0.1799943769783022,115,False
reg_ind_prod_L5,h=2,0.17962443482912668,0.05808119796941941,0.17962443482912668,112,False
prod_L5,h=2,-0.17939212303075264,0.058412010198427136,0.17939212303075264,112,False
mom_D3,h=2,0.17894839652074607,0.056780531538984366,0.17894839652074607,114,False
reg_wage_agri_L4,h=2,0.17771206872435116,0.05968420267500982,0.17771206872435116,113,False
reg_retail_L2,h=2,0.17752483320956292,0.057689524324692834,0.17752483320956292,115,False
reg_retail,h=2,-0.1765938654376769,0.056826439537166734,0.1765938654376769,117,False
reg_retail_L0,h=2,-0.1765938654376769,0.056826439537166734,0.1765938654376769,117,False
reg_shipped_L5,h=2,0.17610289549765085,0.06326373484911386,0.17610289549765085,112,False
brent_L0,h=2,0.17581602279794273,0.07863489209984839,0.17581602279794273,101,False
brent,h=2,0.17581602279794273,0.07863489209984839,0.17581602279794273,101,False
ki_i,h=2,0.17575782592568318,0.05802845036522537,0.17575782592568318,117,False
ki_i_L0,h=2,0.17575782592568318,0.05802845036522537,0.17575782592568318,117,False
reg_income_nom_L7,h=2,0.17556487791588507,0.06915023538625494,0.17556487791588507,108,False
Ruonia_L12,h=2,-0.17480706621806757,0.0744956651125426,0.17480706621806757,105,False
