,mom_L0,mom_L1,ki_i_L0,ki_L0,ki_L6,Ruonia_L0,Ruonia_L2,Ruonia_D1,usd_L0,usd_L2,brent_L0,brent_L5,brent_STD3,prod_L0,nonprod_L0,serv_L0,reg_ppi_L0,reg_ppi_L3,ibved_q_L0,ibved_q_L1,ibved_q_MA3,ibved_m_L0,ibved_m_L1
mom_L0,1.0,0.4356562942632561,0.5700934137955505,0.13457096176276814,0.0589615704786216,0.2709224901911354,-0.0031085913915578555,0.5728259684858382,-0.09140744098063026,-0.2613385812927566,0.2069824876214513,0.056010913249317465,0.24910069878809452,0.9026047172317724,0.7231211975139732,0.26464629309306414,0.042737587529757745,-0.002621311432961808,0.04512841093341753,0.34125346200469936,0.3475172934811046,-0.19131244303984712,-0.027795120482000904
mom_L1,0.4356562942632561,1.0,0.03963412204185003,0.12512641881294057,0.24625967916347766,0.24586216089830323,0.13044968448950214,-0.117274543449347,0.5091885613704302,-0.2764240412178898,0.17376795564006892,0.05477809991503228,0.01536805094589019,0.44884142218946893,0.18746543212774655,0.09425027361965822,0.06189303093398263,-0.16411693898815607,0.012735630499139212,0.04512841093341753,0.1613460244705118,-0.11094213171993006,-0.19131244303984712
ki_i_L0,0.5700934137955505,0.03963412204185003,1.0,0.144215920495335,-0.1392846012525358,0.1600121555483338,-0.12125141423316203,0.8992520632413712,-0.538943614195439,-0.15722067689371216,0.22228746683270495,0.08071853555771932,0.21447866052048523,0.4012434318409626,0.6861412720800687,0.1156732619442038,0.07905782164566584,0.0945479119737376,0.061428988483418004,0.38056889805695016,0.30548515000575,-0.12760536400013622,-0.10916459877067151
ki_L0,0.13457096176276814,0.12512641881294057,0.144215920495335,1.0,0.7535301631333553,0.8508246039327414,0.7878963051651232,0.14881455150486914,0.03488175837493534,0.034503927574050824,0.3269117690449984,0.36698537296145606,0.01801694047318589,0.09568193629881529,0.016627430270584886,0.2132447556827321,0.1663317654044786,0.12982891315028766,0.2225522804802386,0.18448531762052722,0.23035842380376562,-0.03514425329024225,-0.007893362389367317
ki_L6,0.0589615704786216,0.24625967916347766,-0.1392846012525358,0.7535301631333553,1.0,0.9064884103175154,0.9641688978651184,-0.19918572308782978,0.3110733071577427,0.13066145031661922,0.29573795186379864,0.3560841340900293,-0.15185167531698276,-0.005142887344947577,0.016508600103071886,0.22199054145350577,0.10859435963017317,0.08293004153061657,0.04410361983276269,0.05058273470914818,0.09862942196838477,-0.0008150737875210058,-0.08615918925503643
Ruonia_L0,0.2709224901911354,0.24586216089830323,0.1600121555483338,0.8508246039327414,0.9064884103175154,1.0,0.9222503398213541,0.15494671479167962,0.12687835294907418,0.029294826362862295,0.27781292066804636,0.3460263678048382,-0.08987491264337724,0.17522117751219465,0.2042078966433647,0.2578722883025325,0.12970616724311224,0.12305663542393087,0.07454631583838894,0.18001458889773578,0.20189891248764802,-0.05685301775949873,-0.06137839139218421
Ruonia_L2,-0.0031085913915578555,0.13044968448950214,-0.12125141423316203,0.7878963051651232,0.9641688978651184,0.9222503398213541,1.0,-0.14601144147353953,0.2307115960167667,0.13089426043946253,0.20732327507757206,0.3296659597472912,-0.1907810141542133,-0.0671048730801743,-0.026580117670302352,0.22820201974592919,0.12689913989968893,0.10858932207734988,0.0539006806287871,0.057300370467731815,0.0724571465294612,0.0012309048444781165,-0.01019776151094791
Ruonia_D1,0.5728259684858382,-0.117274543449347,0.8992520632413712,0.14881455150486914,-0.19918572308782978,0.15494671479167962,-0.14601144147353953,1.0,-0.6271776608271078,-0.1404613033327402,0.1817609775348229,0.09204613320986568,0.22903810636883148,0.4211346622124414,0.6273155366232817,0.15799781532772536,0.04205876585192803,0.09843854397797029,0.06668377488593849,0.40071601719705113,0.3027860264837583,-0.12195577486343663,-0.009933821046523562
usd_L0,-0.09140744098063026,0.5091885613704302,-0.538943614195439,0.03488175837493534,0.3110733071577427,0.12687835294907418,0.2307115960167667,-0.6271776608271078,1.0,-0.03438623410371111,0.014436755158701197,-0.11419478048170832,-0.1553174983520075,-0.044578550319138315,-0.17551631052142416,-0.017563501088865934,0.08932081372733341,-0.037954690607719055,-0.07143385027442661,-0.23823274528183588,-0.10991404957276299,-0.08498668113791051,-0.08553007668290752
usd_L2,-0.2613385812927566,-0.2764240412178898,-0.15722067689371216,0.034503927574050824,0.13066145031661922,0.029294826362862295,0.13089426043946253,-0.1404613033327402,-0.03438623410371111,1.0,0.23443661404170432,0.07046018294488243,0.09648701327841394,-0.2917047078375353,-0.1884398085795171,0.12193615598570522,0.06290979567431089,0.08952193762534286,-0.024420421994976498,-0.09575747462560456,-0.07342806189536867,0.07907597416167492,0.028020634842399327
brent_L0,0.2069824876214513,0.17376795564006892,0.22228746683270495,0.3269117690449984,0.29573795186379864,0.27781292066804636,0.20732327507757206,0.1817609775348229,0.014436755158701197,0.23443661404170432,1.0,0.7377509912649334,0.3297429893848198,0.11690622331166026,0.1941144793318796,0.2370186742462628,-0.026567336811929534,0.028000279443091598,0.26158457686838266,0.3311577947376672,0.3625734365311924,0.05491171930626987,0.1439664805542386
brent_L5,0.056010913249317465,0.05477809991503228,0.08071853555771932,0.36698537296145606,0.3560841340900293,0.3460263678048382,0.3296659597472912,0.09204613320986568,-0.11419478048170832,0.07046018294488243,0.7377509912649334,1.0,0.38791874647096003,-0.0027634150599178463,0.009887416027111193,0.25862414839138875,0.05035884746946315,-0.01026574222587573,0.2614183480976392,0.2789815415660248,0.284784346226687,0.3317221152128526,0.2105719774758164
brent_STD3,0.24910069878809452,0.01536805094589019,0.21447866052048523,0.01801694047318589,-0.15185167531698276,-0.08987491264337724,-0.1907810141542133,0.22903810636883148,-0.1553174983520075,0.09648701327841394,0.3297429893848198,0.38791874647096003,1.0,0.25140467613068684,0.20812163858467062,0.03199357310666387,-0.1111316639564676,0.06361313896577556,0.37424814984528637,0.2693308120228514,0.2991710420988386,0.0773799127534008,-0.12753743602906892
prod_L0,0.9026047172317724,0.44884142218946893,0.4012434318409626,0.09568193629881529,-0.005142887344947577,0.17522117751219465,-0.0671048730801743,0.4211346622124414,-0.044578550319138315,-0.2917047078375353,0.11690622331166026,-0.0027634150599178463,0.25140467613068684,1.0,0.46078580136872305,-0.03566940571992948,-0.03219101979814361,-0.0689888404258589,0.06147444860306674,0.25760396325053986,0.28707133635015186,-0.11981969564360655,0.03925314928933471
nonprod_L0,0.7231211975139732,0.18746543212774655,0.6861412720800687,0.016627430270584886,0.016508600103071886,0.2042078966433647,-0.026580117670302352,0.6273155366232817,-0.17551631052142416,-0.1884398085795171,0.1941144793318796,0.009887416027111193,0.20812163858467062,0.46078580136872305,1.0,0.10185386748473776,0.14985724354231694,0.1658262061906667,-0.016816693687609307,0.3133778831691491,0.2626037447467273,-0.1806149164355271,-0.07412022090850953
serv_L0,0.26464629309306414,0.09425027361965822,0.1156732619442038,0.2132447556827321,0.22199054145350577,0.2578722883025325,0.22820201974592919,0.15799781532772536,-0.017563501088865934,0.12193615598570522,0.2370186742462628,0.25862414839138875,0.03199357310666387,-0.03566940571992948,0.10185386748473776,1.0,0.06686899351643609,-0.05009024922570451,0.042369307289287596,0.21321270422507121,0.2189271441821481,-0.16876878006367832,-0.09780936549883607
reg_ppi_L0,0.042737587529757745,0.06189303093398263,0.07905782164566584,0.1663317654044786,0.10859435963017317,0.12970616724311224,0.12689913989968893,0.04205876585192803,0.08932081372733341,0.06290979567431089,-0.026567336811929534,0.05035884746946315,-0.1111316639564676,-0.03219101979814361,0.14985724354231694,0.06686899351643609,1.0,0.1575045128859448,-0.11974217439691436,-0.20284215474424805,-0.18040597000326974,-0.004191149590390761,-0.3903586216261573
reg_ppi_L3,-0.002621311432961808,-0.16411693898815607,0.0945479119737376,0.12982891315028766,0.08293004153061657,0.12305663542393087,0.10858932207734988,0.09843854397797029,-0.037954690607719055,0.08952193762534286,0.028000279443091598,-0.01026574222587573,0.06361313896577556,-0.0689888404258589,0.1658262061906667,-0.05009024922570451,0.1575045128859448,1.0,0.2645260205222554,0.21740811886183242,0.18293457658171391,0.14970756788162748,0.24048768056283737
