Item_code,Item_name,Reason,In_micro_sprav,In_level5_scope
162,"Взносы на капитальный ремонт, м2",ЖКХ Level-5,True,True
400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",ЖКХ Level-5,True,True
416,"Обращение с твердыми коммунальными отходами, с человека",ЖКХ Level-5,True,True
444,Оплата горячего водоснабжения,ЖКХ Level-5,False,False
445,Оплата жилья в домах государственного и муниципального жилищных фондов,ЖКХ Level-5,False,False
446,Оплата холодного водоснабжения и водоотведения,ЖКХ Level-5,False,False
449,"Оформление доверенности в нотариальной конторе, услуга",Нотариальная Level-5 позиция,True,True
545,Ремонт жилищ,ЖКХ Level-5,False,False
589,"Содержание и ремонт жилья в государственном и муниципальном жилищных фондах, м2 общей площади",ЖКХ Level-5,True,True
590,"Содержание, ремонт жилья для граждан-собственников жилья в результате приватизации, граждан-собственников жилых помещений по иным основаниям, м2 общей площади",ЖКХ Level-5,True,True
664,"Удостоверение завещания в нотариальной конторе, услуга",Нотариальная Level-5 позиция,True,True
676,"Услуги организаций ЖКХ, оказываемые населению",ЖКХ Level-5,False,False
679,"Услуги по организации и выполнению работ по эксплуатации домов ЖК, ЖСК, ТСЖ, м2 общей площади",ЖКХ Level-5,True,True
681,Услуги по снабжению электроэнергией,ЖКХ Level-5,False,False
969,Обращение с твердыми коммунальными отходами,ЖКХ Level-5,False,False
