Item_code,Item_name,Component,Subcomponent,Avg_weight,Observations,Freeze_months,PSI_pct,Weighted_PSI_pct,Mean_MoM,Mean_abs_MoM_pct,Freeze_spell_count,Max_freeze_spell,Avg_freeze_spell,Weighted_abs_MoM_pct,Avg_thaw_abs_move_pct,Is_education
487,"Повторное получение гербового документа в органах ЗАГС, документ",Услуги,,0.0011803389830508475,118,117,99.15254237288136,99.64101091326823,100.36322033898306,0.36322033898305095,2,108,58.5,0.0001816101694915255,42.860000000000014,False
562,"Рытье могилы, услуга",Услуги,,0.000901914893617021,94,93,98.93617021276596,98.99740504836048,100.07542553191489,0.07542553191489365,2,82,46.5,6.41117021276596e-05,7.090000000000003,False
513,"Пребывание пациента в круглосуточном стационаре, койко-день",Услуги,,0.0004936170212765961,94,93,98.93617021276596,98.29741379310344,99.87957446808511,0.12042553191489354,2,69,46.5,9.513617021276591e-05,11.319999999999993,False
427,"Обучение в негосударственных образовательных организациях высшего профессионального образования, семестр",Услуги,,0.0021160000000000007,70,69,98.57142857142858,98.75776397515527,100.17142857142858,0.17142857142857143,2,68,34.5,0.0003154285714285715,12.0,True
238,"Изготовление гроба, шт.",Услуги,,0.0007437288135593222,118,115,97.45762711864407,96.85505925250683,100.19093220338983,0.19093220338983052,4,82,28.75,0.00016785932203389832,7.510000000000001,False
211,"Дополнительные занятия в государственных и муниципальных общеобразовательных организациях очной формы обучения, академический час",Услуги,,0.0006242857142857144,70,68,97.14285714285714,99.22196796338675,100.09028571428573,0.09028571428571439,3,35,22.666666666666668,1.2948571428571448e-05,3.1600000000000037,True
230,"Занятия на курсах профессионального обучения, академический час",Услуги,,0.0005740677966101695,118,114,96.61016949152543,97.239444936522,100.14372881355932,0.143728813559322,5,52,22.8,5.118050847457622e-05,4.239999999999998,True
533,"Проезд в троллейбусе, поездка",Услуги,,0.00048864406779661,118,114,96.61016949152543,98.19632327436697,100.99177966101693,0.9917796610169491,5,39,22.8,0.00023154237288135592,29.2575,False
695,"Физиотерапевтическое лечение, процедура",Услуги,,0.00038203389830508477,118,113,95.76271186440678,96.96095829636204,100.36050847457628,0.3605084745762711,5,78,22.6,9.038983050847455e-05,8.939999999999998,False
516,"Предоставление междугородных телефонных соединений (разговоров) автоматическим способом на расстояние 601-1200 км, минута",Услуги,,0.00034966101694915266,118,113,95.76271186440678,97.62481822588464,100.24686440677966,0.24686440677966098,6,37,18.833333333333332,6.424915254237287e-05,5.825999999999999,False
515,"Предоставление междугородных телефонных соединений (разговоров) автоматическим способом на расстояние 1201-3000 км, минута",Услуги,,0.00032338983050847454,118,113,95.76271186440678,97.82494758909854,100.24966101694915,0.2496610169491525,6,37,18.833333333333332,5.693559322033898e-05,5.891999999999999,False
514,"Предоставление абоненту в постоянное пользование абонентской линии независимо от ее типа, месяц",Услуги,,0.0007981355932203183,118,112,94.91525423728814,96.33680186876194,100.24584745762712,0.24584745762711868,7,32,16.0,0.0001310194915254213,4.835000000000001,False
386,"Музеи и выставки, билет",Услуги,,0.00013644067796610178,118,112,94.91525423728814,93.91304347826079,100.81059322033899,0.810593220338983,7,60,16.0,6.326525423728812e-05,15.941666666666665,False
