Date;MoM;YoY
01.01.2026;101,57;106,04
01.02.2026;101,10;105,79
01.03.2026;100,54;105,50
01.04.2026;99,72;104,65
01.05.2026;99,90;104,62
01.06.2026;100,00;104,66
01.07.2026;99,90;104,18
01.08.2026;99,85;104,62
01.09.2026;100,45;104,06
01.10.2026;101,15;104,70
01.11.2026;100,25;104,80
01.12.2026;100,30;104,81
01.01.2027;100,95;104,17
01.02.2027;100,65;103,71
01.03.2027;100,50;103,67
01.04.2027;100,45;104,43
01.05.2027;100,20;104,74
01.06.2027;100,10;104,84
01.07.2027;100,05;105,00
01.08.2027;99,95;105,11
01.09.2027;100,45;105,11
01.10.2027;100,45;104,38
01.11.2027;100,20;104,33
01.12.2027;100,00;104,02
