month,cpi_index,rationale,yoy_index_external
2026-05,100.090000,Официальный факт,104.854406
2026-06,101.060000,Официальный факт; топливо даёт 0.709 п.п. прямого вклада,106.008266
2026-07,101.700000,Центральный: модельный baseline и частичная реализация полученного рыночного сигнала 120 руб./л,107.423681
2026-08,100.500000,Нет повторного прямого топливного вклада; сохраняется ограниченный лаговый риск ожиданий/логистики,108.579704
2026-09,100.650000,Нормализация после летней сезонности и частичный лаговый перенос,108.203438
2026-10,101.300000,Сохранён действующий policy-профиль тарифов в ОПР-форме,109.032212
2026-11,100.450000,Посттарифная нормализация,109.358818
2026-12,100.500000,Умеренный конец года,109.587808
2027-01,100.900000,Сезонный январский профиль,108.832774
2027-02,100.650000,Нормализация,108.348355
2027-03,100.500000,Нормализация,108.305248
2027-04,100.450000,Нормализация,109.098097
2027-05,100.200000,Сохранён действующий профиль,109.217997
2027-06,100.150000,Сохранён действующий профиль,108.234537
