item_key,product_name,component,norm_name,matched,match_method,match_score,item_code,sprav_name,weight
1,"Говядина (кроме бескостного мяса), кг",food,говядина,True,exact,1.0,195,"Говядина (кроме бескостного мяса), кг",0.01634
10,"Масло сливочное, кг",food,масло сливочное,True,exact,1.0,360,"Масло сливочное, кг",0.00872
100,"Проживание в гостинице 2*, сутки с человека",services,проживание в гостинице 2 сутки с человека,True,exact,1.0,1005,"Проживание в гостинице 2*, сутки с человека",4e-05
101,"Проживание в гостинице 3*, сутки с человека",services,проживание в гостинице 3 сутки с человека,True,exact,1.0,1006,"Проживание в гостинице 3*, сутки с человека",0.00075
102,"Проживание в гостинице 4*-5*, сутки с человека",services,проживание в гостинице 4 5 сутки с человека,True,exact,1.0,1007,"Проживание в гостинице 4*-5*, сутки с человека",0.00067
103,"Проживание в хостеле, сутки с человека",services,проживание в хостеле сутки с человека,True,exact,1.0,1008,"Проживание в хостеле, сутки с человека",0.00061
104,"Санаторий, день",services,санаторий день,True,exact,1.0,565,"Санаторий, день",0.001
11,"Масло подсолнечное, л",food,масло подсолнечное,True,exact,1.0,359,"Масло подсолнечное, кг",0.00543
12,"Маргарин, кг",food,маргарин,True,exact,1.0,357,"Маргарин, кг",0.0008
13,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",food,молоко питьевое цельное пастеризованное 2 5 3 2 жирности,True,exact,1.0,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302
15,"Сметана, кг",food,сметана,True,exact,1.0,588,"Сметана, кг",0.00748
16,"Творог, кг",food,творог,True,exact,1.0,1049,"Творог, кг",0.00591
17,"Смеси сухие молочные для детского питания, кг",food,смеси сухие молочные для детского питания,True,exact,1.0,587,"Смеси сухие молочные для детского питания, кг",0.00077
18,"Сыры твердые, полутвердые и мягкие, кг",food,сыры твердые полутвердые и мягкие,True,exact,1.0,621,"Сыры твердые, полутвердые и мягкие, кг",0.00514
19,"Консервы овощные для детского питания, кг",food,консервы овощные для детского питания,True,exact,1.0,288,"Консервы овощные для детского питания, кг",8e-05
2,"Свинина (кроме бескостного мяса), кг",food,свинина,True,exact,1.0,577,"Свинина (кроме бескостного мяса), кг",0.00481
20,"Консервы фруктово-ягодные для детского питания, кг",food,консервы фруктово ягодные для детского питания,True,exact,1.0,294,"Консервы фруктово-ягодные для детского питания, кг",9e-05
21,"Яйца куриные, 10 шт.",food,яйца куриные 10,True,exact,1.0,754,"Яйца куриные, 10 шт.",0.00543
22,"Сахар-песок, кг",food,сахар песок,True,exact,1.0,572,"Сахар-песок, кг",0.00532
23,"Печенье, кг",food,печенье,True,exact,1.0,470,"Печенье, кг",0.00549
24,"Чай черный байховый, кг",food,чай черный байховый,True,exact,1.0,717,"Чай черный байховый, кг",0.00269
25,"Соль поваренная пищевая, кг",food,соль поваренная пищевая,True,exact,1.0,593,"Соль поваренная пищевая, кг",0.00122
26,"Мука пшеничная, кг",food,мука пшеничная,True,exact,1.0,388,"Мука пшеничная, кг",0.00424
27,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",food,хлеб из ржаной муки и из смеси муки ржаной и пшеничной,True,exact,1.0,710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0.00255
