scenario,date,headline_mom_pp,component_weight_sum,headline_index,weight_set
baseline,2026-06-01,0.1259567249999996,1.0,100.125956725,canonical_weight
baseline,2026-07-01,0.2722310250000004,1.0,100.272231025,canonical_weight
baseline,2026-08-01,-0.1888239749999998,1.0,99.811176025,canonical_weight
baseline,2026-09-01,0.7664195999999991,1.0,100.7664196,canonical_weight
baseline,2026-10-01,0.5768919000000005,1.0,100.5768919,canonical_weight
baseline,2026-11-01,0.4326453000000004,1.0,100.4326453,canonical_weight
baseline,2026-12-01,0.2624338050000001,1.0,100.262433805,canonical_weight
tariff_july100_oct110,2026-06-01,0.1259567249999996,1.0,100.125956725,canonical_weight
tariff_july100_oct110,2026-07-01,0.018281075000000365,1.0,100.018281075,canonical_weight
tariff_july100_oct110,2026-08-01,-0.1888239749999998,1.0,99.811176025,canonical_weight
tariff_july100_oct110,2026-09-01,0.7664195999999991,1.0,100.7664196,canonical_weight
tariff_july100_oct110,2026-10-01,1.4833363499999999,1.0,101.48333635,canonical_weight
tariff_july100_oct110,2026-11-01,0.4326453000000004,1.0,100.4326453,canonical_weight
tariff_july100_oct110,2026-12-01,0.2624338050000001,1.0,100.262433805,canonical_weight
