scenario,date,headline_mom_pp,component_weight_sum,headline_index,weight_set
baseline,2026-06-01,0.13640994999999959,1.0,100.13640995,latest_region_weight
baseline,2026-07-01,0.28804465000000046,1.0,100.28804465,latest_region_weight
baseline,2026-08-01,-0.16172404999999984,1.0,99.83827595,latest_region_weight
baseline,2026-09-01,0.7680286749999992,1.0,100.768028675,latest_region_weight
baseline,2026-10-01,0.5771405500000005,1.0,100.57714055,latest_region_weight
baseline,2026-11-01,0.4230630250000004,1.0,100.423063025,latest_region_weight
baseline,2026-12-01,0.25671101500000015,1.0,100.256711015,latest_region_weight
tariff_july100_oct110,2026-06-01,0.13640994999999959,1.0,100.13640995,latest_region_weight
tariff_july100_oct110,2026-07-01,0.03956800000000043,1.0,100.039568,latest_region_weight
tariff_july100_oct110,2026-08-01,-0.16172404999999984,1.0,99.83827595,latest_region_weight
tariff_july100_oct110,2026-09-01,0.7680286749999992,1.0,100.768028675,latest_region_weight
tariff_july100_oct110,2026-10-01,1.4640487,1.0,101.4640487,latest_region_weight
tariff_july100_oct110,2026-11-01,0.4230630250000004,1.0,100.423063025,latest_region_weight
tariff_july100_oct110,2026-12-01,0.25671101500000015,1.0,100.256711015,latest_region_weight
