variant,item_code,item_name,forecast_date,weight,original_micro_index,scenario_index,headline_delta_pp
leaf_regulated_no_aggregates,162,"Взносы на капитальный ремонт, м2",2026-07-01,0.00784,100.176144,100.0,-0.0013809689599999502
leaf_regulated_no_aggregates,400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",2026-07-01,0.00012,101.312438,100.0,-0.00015749256000000003
leaf_regulated_no_aggregates,416,"Обращение с твердыми коммунальными отходами, с человека",2026-07-01,0.00398,108.509083,100.0,-0.03386615034000002
leaf_regulated_no_aggregates,444,Оплата горячего водоснабжения,2026-07-01,0.00592,106.220872,100.0,-0.03682756224
leaf_regulated_no_aggregates,445,Оплата жилья в домах государственного и муниципального жилищных фондов,2026-07-01,0.0009,100.937759,100.0,-0.0008439830999999998
leaf_regulated_no_aggregates,446,Оплата холодного водоснабжения и водоотведения,2026-07-01,0.00855,104.748666,100.0,-0.0406010943
leaf_regulated_no_aggregates,545,Ремонт жилищ,2026-07-01,0.00475,99.773473,100.0,0.0010760032500000208
leaf_regulated_no_aggregates,589,"Содержание и ремонт жилья в государственном и муниципальном жилищных фондах, м2 общей площади",2026-07-01,0.00078,100.928177,100.0,-0.000723978060000004
leaf_regulated_no_aggregates,590,"Содержание, ремонт жилья для граждан-собственников жилья в результате приватизации, граждан-собственников жилых помещений по иным основаниям, м2 общей площади",2026-07-01,0.00599,100.741246,100.0,-0.004440063540000023
leaf_regulated_no_aggregates,744,"Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч",2026-07-01,0.00107,105.019666,100.0,-0.0053710426200000005
leaf_regulated_no_aggregates,745,"Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч",2026-07-01,0.00638,104.646064,100.0,-0.029641888319999973
leaf_regulated_no_aggregates,746,"Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч",2026-07-01,0.00315,104.650637,100.0,-0.01464950655000001
leaf_regulated_no_aggregates,747,"Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч",2026-07-01,0.00082,105.035552,100.0,-0.004129152639999996
leaf_regulated_no_aggregates,969,Обращение с твердыми коммунальными отходами,2026-07-01,0.00398,106.022359,100.0,-0.023968988819999978
leaf_regulated_no_aggregates,162,"Взносы на капитальный ремонт, м2",2026-10-01,0.00784,100.173515,110.0,0.07703964240000004
leaf_regulated_no_aggregates,400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",2026-10-01,0.00012,101.084316,110.0,0.00106988208
leaf_regulated_no_aggregates,416,"Обращение с твердыми коммунальными отходами, с человека",2026-10-01,0.00398,100.297263,110.0,0.03861689325999999
leaf_regulated_no_aggregates,444,Оплата горячего водоснабжения,2026-10-01,0.00592,100.045281,110.0,0.05893193647999998
leaf_regulated_no_aggregates,445,Оплата жилья в домах государственного и муниципального жилищных фондов,2026-10-01,0.0009,100.259489,110.0,0.008766459899999997
leaf_regulated_no_aggregates,446,Оплата холодного водоснабжения и водоотведения,2026-10-01,0.00855,99.952671,110.0,0.08590466295000004
leaf_regulated_no_aggregates,545,Ремонт жилищ,2026-10-01,0.00475,100.607603,110.0,0.04461388575000001
leaf_regulated_no_aggregates,589,"Содержание и ремонт жилья в государственном и муниципальном жилищных фондах, м2 общей площади",2026-10-01,0.00078,100.136164,110.0,0.0076937920800000045
leaf_regulated_no_aggregates,590,"Содержание, ремонт жилья для граждан-собственников жилья в результате приватизации, граждан-собственников жилых помещений по иным основаниям, м2 общей площади",2026-10-01,0.00599,101.901327,110.0,0.04851105127000003
leaf_regulated_no_aggregates,744,"Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч",2026-10-01,0.00107,100.210653,110.0,0.010474601290000007
leaf_regulated_no_aggregates,745,"Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч",2026-10-01,0.00638,99.974949,110.0,0.06395982538000003
leaf_regulated_no_aggregates,746,"Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч",2026-10-01,0.00315,99.975045,110.0,0.031578608250000015
leaf_regulated_no_aggregates,747,"Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч",2026-10-01,0.00082,100.20987,110.0,0.008027906600000004
leaf_regulated_no_aggregates,969,Обращение с твердыми коммунальными отходами,2026-10-01,0.00398,100.364824,110.0,0.038348000480000005
broad_item14_aggregate,14,Жилищные и коммунальные услуги (включая аренду квартир),2026-07-01,0.08898,103.846934,100.0,-0.3423001873200004
broad_item14_aggregate,14,Жилищные и коммунальные услуги (включая аренду квартир),2026-10-01,0.08898,100.230538,110.0,0.8692867287600005
communal_item279_aggregate,279,Коммунальные услуги,2026-07-01,0.05958,105.472415,100.0,-0.3260464856999999
communal_item279_aggregate,279,Коммунальные услуги,2026-10-01,0.05958,99.75248,110.0,0.6105472415999996
all_services_item4_aggregate,4,Услуги,2026-07-01,0.23763,102.268766,100.0,-0.5391268645799999
all_services_item4_aggregate,4,Услуги,2026-10-01,0.23763,100.198077,110.0,2.3292309624900005
