variant,date,micro_sm_base_index,scenario_index,delta_pp
leaf_regulated_no_aggregates,2026-06-01,99.758292,99.758292,0.0
leaf_regulated_no_aggregates,2026-07-01,99.845416,99.6498901312,-0.19552586880000433
leaf_regulated_no_aggregates,2026-08-01,99.596913,99.596913,0.0
leaf_regulated_no_aggregates,2026-09-01,100.234651,100.234651,0.0
leaf_regulated_no_aggregates,2026-10-01,100.231134,100.75467114817,0.5235371481700071
leaf_regulated_no_aggregates,2026-11-01,100.267605,100.267605,0.0
leaf_regulated_no_aggregates,2026-12-01,100.418449,100.418449,0.0
leaf_regulated_no_aggregates,2027-01-01,100.707732,100.707732,0.0
leaf_regulated_no_aggregates,2027-02-01,100.543376,100.543376,0.0
leaf_regulated_no_aggregates,2027-03-01,100.631365,100.631365,0.0
leaf_regulated_no_aggregates,2027-04-01,100.485234,100.485234,0.0
leaf_regulated_no_aggregates,2027-05-01,100.102633,100.102633,0.0
broad_item14_aggregate,2026-06-01,99.758292,99.758292,0.0
broad_item14_aggregate,2026-07-01,99.845416,99.50311581268,-0.34230018732000644
broad_item14_aggregate,2026-08-01,99.596913,99.596913,0.0
broad_item14_aggregate,2026-09-01,100.234651,100.234651,0.0
broad_item14_aggregate,2026-10-01,100.231134,101.10042072876,0.8692867287600023
broad_item14_aggregate,2026-11-01,100.267605,100.267605,0.0
broad_item14_aggregate,2026-12-01,100.418449,100.418449,0.0
broad_item14_aggregate,2027-01-01,100.707732,100.707732,0.0
broad_item14_aggregate,2027-02-01,100.543376,100.543376,0.0
broad_item14_aggregate,2027-03-01,100.631365,100.631365,0.0
broad_item14_aggregate,2027-04-01,100.485234,100.485234,0.0
broad_item14_aggregate,2027-05-01,100.102633,100.102633,0.0
communal_item279_aggregate,2026-06-01,99.758292,99.758292,0.0
communal_item279_aggregate,2026-07-01,99.845416,99.5193695143,-0.3260464857000045
communal_item279_aggregate,2026-08-01,99.596913,99.596913,0.0
communal_item279_aggregate,2026-09-01,100.234651,100.234651,0.0
communal_item279_aggregate,2026-10-01,100.231134,100.8416812416,0.6105472416000026
communal_item279_aggregate,2026-11-01,100.267605,100.267605,0.0
communal_item279_aggregate,2026-12-01,100.418449,100.418449,0.0
communal_item279_aggregate,2027-01-01,100.707732,100.707732,0.0
communal_item279_aggregate,2027-02-01,100.543376,100.543376,0.0
communal_item279_aggregate,2027-03-01,100.631365,100.631365,0.0
communal_item279_aggregate,2027-04-01,100.485234,100.485234,0.0
communal_item279_aggregate,2027-05-01,100.102633,100.102633,0.0
all_services_item4_aggregate,2026-06-01,99.758292,99.758292,0.0
all_services_item4_aggregate,2026-07-01,99.845416,99.30628913542,-0.5391268645799983
all_services_item4_aggregate,2026-08-01,99.596913,99.596913,0.0
all_services_item4_aggregate,2026-09-01,100.234651,100.234651,0.0
all_services_item4_aggregate,2026-10-01,100.231134,102.56036496249,2.3292309624900014
all_services_item4_aggregate,2026-11-01,100.267605,100.267605,0.0
all_services_item4_aggregate,2026-12-01,100.418449,100.418449,0.0
all_services_item4_aggregate,2027-01-01,100.707732,100.707732,0.0
all_services_item4_aggregate,2027-02-01,100.543376,100.543376,0.0
all_services_item4_aggregate,2027-03-01,100.631365,100.631365,0.0
all_services_item4_aggregate,2027-04-01,100.485234,100.485234,0.0
all_services_item4_aggregate,2027-05-01,100.102633,100.102633,0.0
