weight_type,poly_order,alpha,hf_features,mae,n_predictions
almon,1,0.01,"['brent', 'usd']",0.39615524606514374,19
almon,1,0.1,"['brent', 'usd']",0.3961706447402146,19
almon,1,1.0,"['brent', 'usd']",0.3963169800222727,19
almon,2,0.01,"['brent', 'usd']",0.3964920382293804,19
almon,2,0.1,"['brent', 'usd']",0.3964977896836344,19
almon,2,1.0,"['brent', 'usd']",0.3965494572418464,19
almon,1,0.01,['brent'],0.3972523760229306,19
almon,1,0.1,['brent'],0.3972628442144974,19
almon,1,1.0,['brent'],0.3973597919610617,19
almon,2,0.01,['brent'],0.39817478996410216,19
almon,2,0.1,['brent'],0.398184117143776,19
almon,2,1.0,['brent'],0.398269926550731,19
exp,2,1.0,['usd'],0.40150747164367234,19
exp,2,0.1,['usd'],0.4015839647997455,19
exp,2,0.01,['usd'],0.4015905947639102,19
exp,2,1.0,"['brent', 'usd']",0.404953391380731,19
exp,2,0.1,"['brent', 'usd']",0.40504109188354454,19
exp,2,0.01,"['brent', 'usd']",0.4050488215383334,19
almon,1,0.01,['usd'],0.40563890820555576,19
almon,1,0.1,['usd'],0.40565375486421307,19
almon,1,1.0,['usd'],0.40579429589835203,19
almon,2,0.01,['usd'],0.4074487056605054,19
almon,2,0.1,['usd'],0.4074519198366557,19
almon,2,1.0,['usd'],0.4074781564928631,19
exp,2,0.01,['brent'],0.4088663199304467,19
exp,2,0.1,['brent'],0.4088761807458197,19
exp,2,1.0,['brent'],0.40896659767387694,19
