horizon,model,baseline,target_month,N_pair,N_planned,candidate_error,baseline_error,absolute_loss_difference
1,Ridge,Huber,2024-08-01,24,24,0.010534832337924627,-0.010722811326843384,-0.00018797898891875775
1,Ridge,Huber,2024-09-01,24,24,-0.12814750158511856,-0.15127140895228308,-0.02312390736716452
1,Ridge,Huber,2024-10-01,24,24,-0.45742628597942314,-0.4607828987570173,-0.003356612777594137
1,Ridge,Huber,2024-11-01,24,24,-0.892461594689749,-0.9351277576874537,-0.04266616299770476
1,Ridge,Huber,2024-12-01,24,24,0.4314984125563228,0.33717085649078626,0.09432755606553656
1,Ridge,Huber,2025-01-01,24,24,0.17694589296706908,0.18323589053740363,-0.006289997570334549
1,Ridge,Huber,2025-02-01,24,24,-0.8042696424575126,-0.6706243572502188,0.1336452852072938
1,Ridge,Huber,2025-03-01,24,24,-0.14865028948442216,-0.12545608247035034,0.02319420701407182
1,Ridge,Huber,2025-04-01,24,24,0.36912572904506646,0.4153875809224701,-0.046261851877403615
1,Ridge,Huber,2025-05-01,24,24,0.5469797017547222,0.5469980983768039,-1.839662208169557e-05
1,Ridge,Huber,2025-06-01,24,24,0.055009854317333406,0.03229069227610637,0.022719162041227037
1,Ridge,Huber,2025-07-01,24,24,-0.4446481224601797,-0.3507590533085363,0.09388906915164341
1,Ridge,Huber,2025-08-01,24,24,0.39810021919093685,0.4758510219698593,-0.07775080277892243
1,Ridge,Huber,2025-09-01,24,24,-0.6003137435213262,-0.5926685301522383,0.007645213369087855
1,Ridge,Huber,2025-10-01,24,24,0.04846178145515978,0.04322852017148193,0.005233261283677848
1,Ridge,Huber,2025-11-01,24,24,0.3338499551578451,0.28456972568250194,0.04928022947534316
1,Ridge,Huber,2025-12-01,24,24,0.023697158586131195,0.026409459671640434,-0.002712301085509239
1,Ridge,Huber,2026-01-01,24,24,-0.6078550696468028,-0.6083002726162761,-0.0004452029694732573
1,Ridge,Huber,2026-02-01,24,24,-0.24945962948905276,-0.36631131555235186,-0.1168516860632991
1,Ridge,Huber,2026-03-01,24,24,0.17563996131009674,0.20182310736899467,-0.026183146058897933
1,Ridge,Huber,2026-04-01,24,24,0.8227150608685179,0.7599688955821904,0.06274616528632748
1,Ridge,Huber,2026-05-01,24,24,0.32505420858630885,0.3110543073435821,0.013999901242726764
1,Ridge,Huber,2026-06-01,24,24,-1.0294909707675828,-1.0669420892676413,-0.037451118500058556
1,Ridge,Huber,2026-07-01,24,24,0.1461776044591545,0.1490036062327107,-0.002826001773556186
1,Ridge,SeasonalNaive,2024-08-01,24,24,0.010534832337924627,-0.1599999999999966,-0.14946516766207196
1,Ridge,SeasonalNaive,2024-09-01,24,24,-0.12814750158511856,1.1299999999999955,-1.001852498414877
1,Ridge,SeasonalNaive,2024-10-01,24,24,-0.45742628597942314,-0.5600000000000023,-0.10257371402057913
1,Ridge,SeasonalNaive,2024-11-01,24,24,-0.892461594689749,-0.7600000000000051,0.13246159468974383
1,Ridge,SeasonalNaive,2024-12-01,24,24,0.4314984125563228,-0.6199999999999903,-0.18850158744366752
1,Ridge,SeasonalNaive,2025-01-01,24,24,0.17694589296706908,0.030000000000001137,0.14694589296706795
1,Ridge,SeasonalNaive,2025-02-01,24,24,-0.8042696424575126,-0.8100000000000023,-0.005730357542489628
1,Ridge,SeasonalNaive,2025-03-01,24,24,-0.14865028948442216,-0.28000000000000114,-0.13134971051557898
1,Ridge,SeasonalNaive,2025-04-01,24,24,0.36912572904506646,-0.15000000000000568,0.21912572904506078
1,Ridge,SeasonalNaive,2025-05-01,24,24,0.5469797017547222,1.009999999999991,-0.4630202982452687
1,Ridge,SeasonalNaive,2025-06-01,24,24,0.055009854317333406,0.22000000000001307,-0.16499014568267967
1,Ridge,SeasonalNaive,2025-07-01,24,24,-0.4446481224601797,0.7099999999999937,-0.26535187753981404
1,Ridge,SeasonalNaive,2025-08-01,24,24,0.39810021919093685,0.6599999999999966,-0.26189978080905973
