month,old_mom_index,new_mom_index,old_yoy_index,new_yoy_index,yoy_change_pp,status
2026-08,100.50,100.00,108.26,107.72,-0.54,preliminary
2026-09,100.65,100.50,107.88,107.19,-0.69,forecast
2026-10,101.30,101.30,108.71,108.01,-0.70,forecast
2026-11,100.45,100.45,109.04,108.33,-0.71,forecast
2026-12,100.50,100.50,109.26,108.56,-0.70,forecast
2027-01,100.90,100.90,108.51,107.81,-0.70,forecast
2027-02,100.65,100.65,108.03,107.33,-0.70,forecast
2027-03,100.50,100.50,107.99,107.29,-0.70,forecast
2027-04,100.45,100.45,108.78,108.07,-0.71,forecast
2027-05,100.20,100.20,108.90,108.19,-0.71,forecast
2027-06,100.15,100.15,107.92,107.22,-0.70,forecast
2027-07,100.05,100.05,106.48,105.79,-0.69,forecast
