Date,Year,Month,Region,Rosstat_MoM,Chain_Index_MoM,Direct_Avg_MoM,Diff_Chain,Diff_Direct,N_products
2021-01-01,2021,1,КБР,5.95,6.6,6.6,-0.6497,-0.6497,20
2021-02-01,2021,2,КБР,6.35,7.33,7.08,-0.9763,-0.7345,20
2021-03-01,2021,3,КБР,3.03,3.0,3.23,0.0284,-0.2033,20
2021-04-01,2021,4,КБР,2.93,3.03,2.61,-0.1011,0.3213,20
2021-05-01,2021,5,КБР,0.38,0.14,-0.57,0.2353,0.9514,20
2021-06-01,2021,6,КБР,3.15,2.7,-0.27,0.4477,3.4192,20
2021-07-01,2021,7,КБР,-5.82,-5.88,-5.98,0.0564,0.1619,20
2021-08-01,2021,8,КБР,-8.01,-7.83,-4.23,-0.1793,-3.7784,20
2021-09-01,2021,9,КБР,6.14,6.36,7.31,-0.2153,-1.1671,20
2021-10-01,2021,10,КБР,5.69,6.0,9.48,-0.3058,-3.7873,20
2021-11-01,2021,11,КБР,1.42,1.52,1.82,-0.0995,-0.3991,20
2021-12-01,2021,12,КБР,2.35,2.74,2.23,-0.3873,0.115,20
2022-01-01,2022,1,КБР,7.65,8.05,8.05,-0.3956,-0.3956,20
2022-02-01,2022,2,КБР,3.37,3.77,3.59,-0.3993,-0.2159,20
2022-03-01,2022,3,КБР,16.64,17.25,16.89,-0.6138,-0.2501,20
2022-04-01,2022,4,КБР,3.9,2.71,3.24,1.1944,0.6616,20
2022-05-01,2022,5,КБР,-4.64,-4.52,-5.58,-0.1173,0.9426,20
2022-06-01,2022,6,КБР,-11.05,-11.3,-11.24,0.2528,0.193,20
2022-07-01,2022,7,КБР,-13.9,-14.45,-13.61,0.5528,-0.2886,20
2022-08-01,2022,8,КБР,-11.3,-12.1,-11.03,0.8018,-0.2669,20
2022-09-01,2022,9,КБР,-2.46,-2.33,-0.35,-0.1264,-2.1091,20
2022-10-01,2022,10,КБР,2.76,3.22,6.06,-0.4593,-3.3007,20
2022-11-01,2022,11,КБР,4.06,4.76,6.11,-0.6974,-2.0478,20
2022-12-01,2022,12,КБР,5.28,5.32,6.22,-0.0445,-0.9399,20
2023-01-01,2023,1,КБР,11.54,11.66,11.66,-0.1229,-0.1229,20
2023-02-01,2023,2,КБР,11.11,10.89,10.31,0.2186,0.7993,20
2023-03-01,2023,3,КБР,0.27,0.77,0.94,-0.5024,-0.6658,20
2023-04-01,2023,4,КБР,5.71,5.97,5.33,-0.2619,0.3789,20
2023-05-01,2023,5,КБР,-7.64,-6.59,-4.7,-1.0548,-2.9379,20
2023-06-01,2023,6,КБР,-0.44,-0.71,0.08,0.2714,-0.5212,20
2023-07-01,2023,7,КБР,-0.37,0.68,1.07,-1.0523,-1.4387,20
2023-08-01,2023,8,КБР,-9.54,-9.66,-6.95,0.1213,-2.5897,20
2023-09-01,2023,9,КБР,6.91,6.61,9.87,0.2969,-2.9615,20
2023-10-01,2023,10,КБР,-0.03,-0.41,1.15,0.383,-1.1778,20
2023-11-01,2023,11,КБР,4.95,4.52,6.42,0.4284,-1.4713,20
2023-12-01,2023,12,КБР,4.39,4.11,4.66,0.277,-0.2725,20
2024-01-01,2024,1,КБР,6.91,6.92,6.92,-0.0077,-0.0077,20
2024-02-01,2024,2,КБР,2.62,2.96,2.99,-0.3407,-0.3676,20
2024-03-01,2024,3,КБР,-0.14,0.0,0.2,-0.142,-0.3354,20
2024-04-01,2024,4,КБР,-2.27,-2.0,-1.93,-0.2677,-0.3357,20
2024-05-01,2024,5,КБР,5.89,6.36,5.8,-0.4722,0.0914,20
2024-06-01,2024,6,КБР,0.77,0.76,-0.64,0.0076,1.4095,20
2024-07-01,2024,7,КБР,-1.58,-1.56,-0.44,-0.0186,-1.1405,20
2024-08-01,2024,8,КБР,-5.1,-5.38,-3.98,0.2823,-1.1211,20
2024-09-01,2024,9,КБР,-2.07,-2.67,0.43,0.6003,-2.496,20
2024-10-01,2024,10,КБР,3.77,3.41,3.0,0.3572,0.7709,20
2024-11-01,2024,11,КБР,9.95,10.12,11.6,-0.1701,-1.6498,20
2024-12-01,2024,12,КБР,6.67,6.69,8.14,-0.02,-1.4689,20
2025-01-01,2025,1,КБР,0.54,0.54,0.54,-0.0023,-0.0023,21
2025-02-01,2025,2,КБР,5.3,5.3,5.27,-0.0048,0.0272,21
2025-03-01,2025,3,КБР,2.3,2.3,2.0,0.004,0.3011,21
2025-04-01,2025,4,КБР,2.8,2.8,2.14,0.0048,0.6582,21
2025-05-01,2025,5,КБР,-2.29,-2.29,-4.27,-0.0005,1.9816,21
2025-06-01,2025,6,КБР,-5.12,-5.12,-4.56,0.003,-0.5647,21
2025-07-01,2025,7,КБР,-12.44,-12.44,-11.03,-0.0023,-1.4097,21
2025-08-01,2025,8,КБР,-13.29,-13.29,-9.77,0.0021,-3.5183,21
2025-09-01,2025,9,КБР,2.19,2.19,4.05,-0.0034,-1.863,21
2025-10-01,2025,10,КБР,5.05,5.05,5.66,-0.0011,-0.6087,21
2025-11-01,2025,11,КБР,1.99,1.99,2.82,0.0043,-0.8271,21
