Period,Россия,КБР_Росстат,КБР_цепной_индекс,КБР_прямое_среднее,Разница_цепной,Разница_прямое,Астраханская область,Волгоградская область,Краснодарский край,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Ростовская область,Севастополь
2024-01,7.3,6.91,6.92,6.92,-0.009999999999999787,-0.009999999999999787,9.45,8.89,6.9,5.78,7.21,2.68,8.29,6.63
2024-02,3.01,2.62,2.96,2.99,-0.33999999999999986,-0.3700000000000001,3.67,6.71,2.8,2.83,6.2,-0.86,3.24,1.5
2024-03,-2.09,-0.14,0.0,0.2,-0.14,-0.34,0.24,-1.9,-2.39,0.81,-1.88,-3.72,-0.62,-3.49
2024-04,-0.57,-2.27,-2.0,-1.93,-0.27,-0.3400000000000001,-1.48,-1.33,-0.73,0.91,-0.5,0.6,-1.28,-1.44
2024-05,-0.83,5.89,6.36,5.8,-0.47000000000000064,0.08999999999999986,-2.73,2.92,0.35,3.05,2.26,5.94,1.63,6.86
2024-06,2.02,0.77,0.76,-0.64,0.010000000000000009,1.4100000000000001,6.16,6.5,2.2,0.28,1.26,2.33,2.58,3.95
2024-07,-0.22,-1.58,-1.56,-0.44,-0.020000000000000018,-1.1400000000000001,-4.87,-3.13,-1.12,-4.9,-2.83,-0.65,-0.34,-2.03
2024-08,-3.96,-5.1,-5.38,-3.98,0.28000000000000025,-1.1199999999999997,-1.14,-5.76,-0.2,-1.55,-0.14,2.14,-2.56,0.5
2024-09,-4.17,-2.07,-2.67,0.43,0.6000000000000001,-2.5,-2.48,-5.08,-3.18,-4.34,-8.6,-0.44,-4.4,-3.89
2024-10,1.44,3.77,3.41,3.0,0.3599999999999999,0.77,1.89,5.74,-0.45,-1.65,3.13,4.22,3.08,2.88
2024-11,10.35,9.95,10.12,11.6,-0.16999999999999993,-1.6500000000000004,5.59,14.44,12.77,5.54,12.22,6.39,9.01,6.14
2024-12,9.09,6.67,6.69,8.14,-0.020000000000000462,-1.4700000000000006,15.48,7.13,8.66,6.26,10.43,4.54,8.1,6.74
2025-01,2.68,0.54,0.54,0.54,0.0,0.0,6.07,5.57,1.93,5.85,4.22,1.65,4.23,1.75
2025-02,2.27,5.3,5.3,5.27,0.0,0.03000000000000025,2.81,0.62,2.61,2.9,2.2,4.56,3.15,6.41
2025-03,0.25,2.3,2.3,2.0,0.0,0.2999999999999998,2.14,-0.49,2.34,2.37,-0.98,5.53,1.3,3.15
2025-04,1.48,2.8,2.8,2.14,0.0,0.6599999999999997,2.0,3.87,2.1,1.88,0.21,1.77,2.88,3.3
2025-05,-1.96,-2.29,-2.29,-4.27,0.0,1.9799999999999995,-2.71,-1.76,-2.23,-2.89,-0.25,-1.4,-2.56,-1.05
2025-06,-1.88,-5.12,-5.12,-4.56,0.0,-0.5600000000000005,-5.72,-5.03,-3.85,-4.18,-3.27,-1.79,-4.07,-2.35
2025-07,-7.12,-12.44,-12.44,-11.03,0.0,-1.4100000000000001,-8.92,-11.2,-8.21,-6.82,-9.63,-14.03,-8.68,-11.23
2025-08,-10.02,-13.29,-13.29,-9.77,0.0,-3.5199999999999996,-10.04,-13.08,-10.11,-6.49,-10.56,-6.75,-11.85,-5.73
2025-09,-3.49,2.19,2.19,4.05,0.0,-1.8599999999999999,-2.63,-1.81,-2.13,-2.69,-2.65,1.51,-2.05,-0.05
2025-10,4.18,5.05,5.05,5.66,0.0,-0.6100000000000003,3.07,7.98,4.67,4.3,6.71,1.74,4.77,1.24
