Region_Code,Region_Name,Correlation,Lag,Points
5,Республика Дагестан,0.6078414940552644,1,189
20,Чеченская Республика,0.5845546147424436,1,189
95,Северо-Кавказский федеральный округ,0.5808268851430977,1,189
9,Карачаево-Черкесская Республика,0.577913848541868,1,189
248,Южный федеральный округ (с 2010 года),0.573583179835131,1,80
78,Санкт-Петербург,0.5735092644630927,1,189
84,Архангельская область (кроме Ненецкого автономного округа),0.5724766214604491,1,142
92,Севастополь,0.5711814193706567,1,129
98,Северо-Западный федеральный округ,0.5679446875052132,1,189
57,Орловская область,0.5673112560563145,1,189
21,Чувашская Республика,0.5650287826743148,1,189
54,Новосибирская область,0.5596733724604555,1,189
102,Санкт-Петербург и Ленинградская область,0.5556984407260313,1,105
67,Смоленская область,0.5544263012610706,1,189
17,Республика Тыва,0.5532842537917204,1,189
94,Южное ГУ,0.5516360231027178,1,189
69,Тверская область,0.5502945496567578,1,189
15,Республика Северная Осетия-Алания,0.5495877245646703,1,189
0,Россия,0.5491210962337878,1,189
12,Республика Марий Эл,0.5487711849870829,1,189
80,Сибирский федеральный округ,0.5486793209452056,1,189
88,Сибирское ГУ,0.5464086711613452,1,189
1,Республика Адыгея (Адыгея),0.5457858727022236,1,189
22,Алтайский край,0.5450190253503202,1,189
35,Вологодская область,0.5448522924494725,1,189
77,Москва,0.5420930604010835,1,189
97,Центральный федеральный округ,0.5413965917113862,1,189
58,Пензенская область,0.5402449881191068,1,189
25,Приморский край,0.5392152846862422,1,189
71,Тульская область,0.5386209601542954,1,189
43,Кировская область,0.5377142269562204,1,189
36,Воронежская область,0.5369521891783706,1,189
39,Калининградская область,0.5363361477472361,1,189
45,Курганская область,0.5357412358344557,1,189
30,Астраханская область,0.5356735791789816,1,189
42,Кемеровская область - Кузбасс,0.5353257577875482,1,189
38,Иркутская область,0.5347339150070752,1,189
33,Владимирская область,0.534496617390308,1,189
18,Удмуртская Республика,0.5319771242605934,1,189
110,ЦФО без регионов КТО,0.5310968150951386,1,92
47,Ленинградская область,0.5296493979959588,1,189
32,Брянская область,0.5294880826278064,1,189
29,Архангельская область,0.5286850457008249,1,189
40,Калужская область,0.528488750876864,1,189
91,Дальневосточное ГУ,0.5278033816765986,1,189
81,Приволжский федеральный округ,0.5272792556836031,1,189
90,Дальневосточный федеральный округ,0.526441129713374,1,189
37,Ивановская область,0.5242076855785732,1,189
2,Республика Башкортостан,0.5233484610172334,1,189
19,Республика Хакасия,0.5220882294119604,1,189
100,Волго-Вятское ГУ,0.5217334197404031,1,189
62,Рязанская область,0.5208945802528246,1,189
13,Республика Мордовия,0.5186332446440329,1,189
59,Пермский край,0.5185874345975561,1,189
52,Нижегородская область,0.5184382108847433,1,189
11,Республика Коми,0.5170279440796725,1,189
8,Республика Калмыкия,0.5167540869364212,1,189
44,Костромская область,0.5155200046842238,1,189
60,Псковская область,0.5154230408770664,1,189
82,Республика Крым,0.515083293294902,1,129
34,Волгоградская область,0.5147233559237795,1,189
75,Забайкальский край,0.5136658886789243,1,189
61,Ростовская область,0.5128252673613096,1,189
3,Республика Бурятия,0.5127982221629994,1,189
99,Уральское ГУ,0.5126041534789433,1,189
24,Красноярский край,0.5119697475432335,1,189
51,Мурманская область,0.5118671839022519,1,189
10,Республика Карелия,0.5100768671776591,1,189
4,Республика Алтай,0.5092960046065194,1,189
26,Ставропольский край,0.5074124620599497,1,189
64,Саратовская область,0.5073289812801397,1,189
53,Новгородская область,0.5073217958855771,1,189
73,Ульяновская область,0.5059791296289365,1,189
104,СЗФО без СПб и ЛО,0.5054411375972122,1,105
27,Хабаровский край,0.5050256563877634,1,189
66,Свердловская область,0.5037371002621921,1,189
48,Липецкая область,0.5027668827399647,1,189
103,ЦФО без Москвы и МО,0.4994073351478763,1,106
28,Амурская область,0.49892033164689803,1,189
96,Уральский федеральный округ,0.4964612696741675,1,189
79,Еврейская автономная область,0.4955318157147172,1,189
101,Москва и Московская область,0.4948041208873112,1,106
76,Ярославская область,0.4885593099706035,1,189
93,Южный федеральный округ,0.4885396415757329,1,109
46,Курская область,0.48815029011405,1,189
68,Тамбовская область,0.4872602309593372,1,189
70,Томская область,0.4852479043278755,1,189
85,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.48447145556650634,1,142
56,Оренбургская область,0.4809390201252014,1,189
55,Омская область,0.4788938194840877,1,189
16,Республика Татарстан,0.4752820317747692,1,189
23,Краснодарский край,0.47386555773083366,1,189
31,Белгородская область,0.4696665118711053,1,189
74,Челябинская область,0.4685500289607879,1,189
63,Самарская область,0.46576214945883393,1,189
109,"Регионы КТО (Белгород, Брянск, Курск)",0.4643716227275185,1,92
50,Московская область,0.4609067909072417,1,189
72,Тюменская область,0.45437306435825214,1,189
6,Республика Ингушетия,0.4511246693146094,1,189
41,Камчатский край,0.4264052826477029,1,189
86,Ханты-Мансийский автономный округ — Югра,0.41416182005241925,1,189
89,Ямало-Ненецкий автономный округ,0.40835817643656724,1,189
65,Сахалинская область,0.4071323403133503,1,189
14,Республика Саха (Якутия),0.34915932384698817,1,189
83,Ненецкий автономный округ,0.34839922271818935,1,189
49,Магаданская область,0.30253195494396445,1,189
87,Чукотский автономный округ,0.2662155734630998,1,189
