Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=1,Lasso,Components,0.496793561660338,31,46,10
h=1,Lasso,Components_momentum,0.4888704663885755,31,46,14
h=1,Lasso,AR_full,0.5362839230494252,31,46,14
h=1,Lasso,IBVED_focus,0.5315358737347232,31,46,4
h=1,Lasso,Components_IBVED,0.5316812971709531,31,46,7
h=1,Lasso,Rates,0.47298784678241246,31,46,11
h=1,Lasso,USD_focus,0.49975063394920793,33,46,9
h=1,Lasso,Brent_focus,0.47623025447734674,17,25,9
h=1,Lasso,Components_Rates,0.4691467270787055,31,46,9
h=1,Lasso,Full_macro,0.5636796386337938,24,40,11
h=1,Lasso,Minimal_plus,0.5292380777361171,29,46,6
h=1,Lasso,AR_volatility,0.5363778453480887,29,46,9
h=1,Lasso,Production,0.5451010150521902,31,46,10
h=1,Lasso,Services,0.5319232089521553,31,46,10
h=1,Lasso,Ultimate,0.533494474005963,31,46,9
h=1,ElasticNet,Components,0.468073884045373,35,46,10
h=1,ElasticNet,Components_momentum,0.46613200327883614,34,46,14
h=1,ElasticNet,AR_full,0.5349949604436546,29,46,14
h=1,ElasticNet,IBVED_focus,0.5452268564362219,31,46,4
h=1,ElasticNet,Components_IBVED,0.5479540018323191,31,46,7
h=1,ElasticNet,Rates,0.5027096934663856,32,46,11
h=1,ElasticNet,USD_focus,0.46810544731096704,35,46,9
h=1,ElasticNet,Brent_focus,0.4907122389124311,17,25,9
h=1,ElasticNet,Components_Rates,0.49043020553794653,31,46,9
h=1,ElasticNet,Full_macro,0.6116234941153845,26,40,11
h=1,ElasticNet,Minimal_plus,0.5353080593047027,28,46,6
h=1,ElasticNet,AR_volatility,0.5457118190978333,29,46,9
h=1,ElasticNet,Production,0.565513804232051,31,46,10
h=1,ElasticNet,Services,0.5464475058980607,31,46,10
h=1,ElasticNet,Ultimate,0.5460869628556234,30,46,9
h=1,Huber,Components,0.47044633066778835,34,46,10
h=1,Huber,Components_momentum,0.47209134119677104,32,46,14
h=1,Huber,AR_full,0.5364130282789741,31,46,14
h=1,Huber,IBVED_focus,0.5484191098518005,30,46,4
h=1,Huber,Components_IBVED,0.5630631598584471,30,46,7
h=1,Huber,Rates,0.5228872758275911,30,46,11
h=1,Huber,USD_focus,0.47324084743673217,34,46,9
h=1,Huber,Brent_focus,0.5077775152568074,18,25,9
h=1,Huber,Components_Rates,0.48415221316932233,32,46,9
h=1,Huber,Full_macro,0.5594879242116544,27,40,11
h=1,Huber,Minimal_plus,0.5454892750094404,30,46,6
h=1,Huber,AR_volatility,0.5471814644930442,30,46,9
h=1,Huber,Production,0.5627258037315152,30,46,10
h=1,Huber,Services,0.5553976572695083,28,46,10
h=1,Huber,Ultimate,0.5539266443737556,30,46,9
h=1,Ridge_100,Components,0.4815932711733184,32,46,10
h=1,Ridge_100,Components_momentum,0.4679817500347176,34,46,14
h=1,Ridge_100,AR_full,0.5223057215111184,31,46,14
h=1,Ridge_100,IBVED_focus,0.5427510552021614,31,46,4
h=1,Ridge_100,Components_IBVED,0.5580447965923337,31,46,7
h=1,Ridge_100,Rates,0.48100679716027905,31,46,11
h=1,Ridge_100,USD_focus,0.47685166952309815,33,46,9
h=1,Ridge_100,Brent_focus,0.4765105209348451,17,25,9
h=1,Ridge_100,Components_Rates,0.4904044751784523,31,46,9
h=1,Ridge_100,Full_macro,0.5692975792537425,26,40,11
h=1,Ridge_100,Minimal_plus,0.5288962582851795,31,46,6
h=1,Ridge_100,AR_volatility,0.5386631365994844,30,46,9
h=1,Ridge_100,Production,0.5578934943125925,30,46,10
h=1,Ridge_100,Services,0.544784521621385,30,46,10
h=1,Ridge_100,Ultimate,0.5444515258552495,29,46,9
h=1,NGBoost,Components,0.5214482869319516,31,46,10
h=1,NGBoost,Components_momentum,0.5247908957053242,29,46,14
h=1,NGBoost,AR_full,0.5096595598470376,31,46,14
h=1,NGBoost,IBVED_focus,0.582402485067017,30,46,4
h=1,NGBoost,Components_IBVED,0.5710194065148633,29,46,7
h=1,NGBoost,Rates,0.528022895204611,31,46,11
h=1,NGBoost,USD_focus,0.5429371132231,32,46,9
h=1,NGBoost,Brent_focus,0.4715080954607555,17,25,9
h=1,NGBoost,Components_Rates,0.5331351539576059,28,46,9
h=1,NGBoost,Full_macro,0.5982247832088035,25,40,11
h=1,NGBoost,Minimal_plus,0.5028133020807676,30,46,6
h=1,NGBoost,AR_volatility,0.5221058882523693,32,46,9
h=1,NGBoost,Production,0.5001846278340566,32,46,10
h=1,NGBoost,Services,0.5407182317120551,30,46,10
h=1,NGBoost,Ultimate,0.5242000021645036,32,46,9
h=1,Stacking,Components,0.46941729584384345,33,46,10
h=1,Stacking,Components_momentum,0.4692467932721939,33,46,14
h=1,Stacking,AR_full,0.5388007239785771,27,46,14
h=1,Stacking,IBVED_focus,0.5427441063973287,30,46,4
h=1,Stacking,Components_IBVED,0.5485343841725268,30,46,7
h=1,Stacking,Rates,0.493101816842214,31,46,11
h=1,Stacking,USD_focus,0.4706120256282878,35,46,9
h=1,Stacking,Brent_focus,0.4635338692984061,18,25,9
h=1,Stacking,Components_Rates,0.49188907986516583,33,46,9
h=1,Stacking,Full_macro,0.5582870709394093,27,40,11
h=1,Stacking,Minimal_plus,0.5490632963962758,28,46,6
h=1,Stacking,AR_volatility,0.5513725967004715,28,46,9
h=1,Stacking,Production,0.5584131886404358,29,46,10
h=1,Stacking,Services,0.5456242764879454,31,46,10
h=1,Stacking,Ultimate,0.5619226184362097,30,46,9
h=1,Voting,Components,0.46660794993177745,34,46,10
h=1,Voting,Components_momentum,0.4610242086471011,34,46,14
h=1,Voting,AR_full,0.5244632291250376,29,46,14
h=1,Voting,IBVED_focus,0.5381176824486424,30,46,4
h=1,Voting,Components_IBVED,0.5486420846007057,30,46,7
h=1,Voting,Rates,0.48153360798833417,30,46,11
h=1,Voting,USD_focus,0.4649915715319704,34,46,9
h=1,Voting,Brent_focus,0.47814346085036447,18,25,9
h=1,Voting,Components_Rates,0.47376445248406834,33,46,9
h=1,Voting,Full_macro,0.5591690935963758,27,40,11
h=1,Voting,Minimal_plus,0.5345412036769127,30,46,6
h=1,Voting,AR_volatility,0.5357110765314763,30,46,9
h=1,Voting,Production,0.5545964194932204,28,46,10
h=1,Voting,Services,0.5395713451731498,30,46,10
h=1,Voting,Ultimate,0.5431392497896688,29,46,9
h=2,Lasso,Components,0.5349346453744074,30,45,10
h=2,Lasso,Components_momentum,0.5355142232258145,30,45,14
h=2,Lasso,AR_full,0.5370955694608951,28,45,14
h=2,Lasso,IBVED_focus,0.5366535820339642,30,45,4
h=2,Lasso,Components_IBVED,0.5366535820339642,30,45,7
h=2,Lasso,Rates,0.6111003683149246,32,45,11
h=2,Lasso,USD_focus,0.5347246091106493,31,45,9
h=2,Lasso,Brent_focus,0.5616894385525087,17,24,9
h=2,Lasso,Components_Rates,0.5958539501428438,32,45,9
h=2,Lasso,Full_macro,0.664548253296729,27,39,11
h=2,Lasso,Minimal_plus,0.5354481738967649,30,45,6
h=2,Lasso,AR_volatility,0.5363592286206622,28,45,9
h=2,Lasso,Production,0.5349540508617019,30,45,10
h=2,Lasso,Services,0.5366673014520583,30,45,10
h=2,Lasso,Ultimate,0.5357429260396518,28,45,9
h=2,ElasticNet,Components,0.548349122546186,29,45,10
h=2,ElasticNet,Components_momentum,0.5503059258556559,29,45,14
h=2,ElasticNet,AR_full,0.5604041936388275,28,45,14
h=2,ElasticNet,IBVED_focus,0.5429830971206722,30,45,4
h=2,ElasticNet,Components_IBVED,0.5432015118125672,30,45,7
h=2,ElasticNet,Rates,0.6387152398537902,31,45,11
h=2,ElasticNet,USD_focus,0.5466226766561072,30,45,9
h=2,ElasticNet,Brent_focus,0.5941374834099573,15,24,9
h=2,ElasticNet,Components_Rates,0.6157243102812017,31,45,9
h=2,ElasticNet,Full_macro,0.7259779946799577,25,39,11
h=2,ElasticNet,Minimal_plus,0.5495431214091664,29,45,6
h=2,ElasticNet,AR_volatility,0.5566645389598234,29,45,9
h=2,ElasticNet,Production,0.5514002632139794,30,45,10
h=2,ElasticNet,Services,0.542896185319816,30,45,10
h=2,ElasticNet,Ultimate,0.5570233618243154,28,45,9
h=2,Huber,Components,0.5766034845288834,29,45,10
h=2,Huber,Components_momentum,0.57814874926625,29,45,14
h=2,Huber,AR_full,0.5755368451888043,29,45,14
h=2,Huber,IBVED_focus,0.5512225251611552,29,45,4
h=2,Huber,Components_IBVED,0.5547884176603648,29,45,7
h=2,Huber,Rates,0.6560095314254798,28,45,11
h=2,Huber,USD_focus,0.5566258735682775,30,45,9
h=2,Huber,Brent_focus,0.6054818454624975,17,24,9
