Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=1,Ridge,AR_minimal,0.591018561673083,28,46,5
h=1,Ridge,AR_extended,0.5403213668588901,31,46,12
h=1,Ridge,Components,0.4950961033108032,30,46,10
h=1,Ridge,Federal_macro,0.6514511367695895,29,46,10
h=1,Ridge,IBVED_q,0.5754433768411712,29,46,4
h=1,Ridge,Regional,0.6582115704501487,27,46,9
h=1,Ridge,Best_combined,0.5704176711166687,25,46,10
h=1,Ridge_10,AR_minimal,0.5833149595344591,29,46,5
h=1,Ridge_10,AR_extended,0.5351582529526049,31,46,12
h=1,Ridge_10,Components,0.4877154722938184,30,46,10
h=1,Ridge_10,Federal_macro,0.6200705188105718,29,46,10
h=1,Ridge_10,IBVED_q,0.5704823651096377,29,46,4
h=1,Ridge_10,Regional,0.6353164612698857,27,46,9
h=1,Ridge_10,Best_combined,0.5528043066033024,26,46,10
h=1,Ridge_100,AR_minimal,0.5472978954103391,30,46,5
h=1,Ridge_100,AR_extended,0.5193351720629092,32,46,12
h=1,Ridge_100,Components,0.4815932711733184,32,46,10
h=1,Ridge_100,Federal_macro,0.5477885025261288,32,46,10
h=1,Ridge_100,IBVED_q,0.5427510552021614,31,46,4
h=1,Ridge_100,Regional,0.5936258628137779,29,46,9
h=1,Ridge_100,Best_combined,0.48504251055003067,31,46,10
h=1,Lasso,AR_minimal,0.5319232285753693,31,46,5
h=1,Lasso,AR_extended,0.5330325139590326,31,46,12
h=1,Lasso,Components,0.496793561660338,31,46,10
h=1,Lasso,Federal_macro,0.5328231527147866,31,46,10
h=1,Lasso,IBVED_q,0.5315358737347232,31,46,4
h=1,Lasso,Regional,0.578834464950185,30,46,9
h=1,Lasso,Best_combined,0.46914692817471265,31,46,10
h=1,ElasticNet,AR_minimal,0.5471480675194071,31,46,5
h=1,ElasticNet,AR_extended,0.5325078081504718,29,46,12
h=1,ElasticNet,Components,0.468073884045373,35,46,10
h=1,ElasticNet,Federal_macro,0.5562696913386489,32,46,10
h=1,ElasticNet,IBVED_q,0.5452268564362219,31,46,4
h=1,ElasticNet,Regional,0.5974687838745251,28,46,9
h=1,ElasticNet,Best_combined,0.4913838312982666,31,46,10
