Model,Horizon,Train_Start,MAE,KPI
Component_Level,h=1,2010,0.5219853059496022,28/40
Component_Level,h=1,2016-01-01,0.5331175772421801,28/40
Component_Level,h=2,2010,0.5690839975332882,24/39
Component_Level,h=2,2016-01-01,0.5757895889810067,25/39
Component_Level,h=12,2010,0.3784779264141913,21/29
Component_Level,h=12,2016-01-01,0.43414986111127385,20/29
Top5_Subcomp,h=1,2016,0.8083564366814533,17/40
Top5_Subcomp,h=12,2016,0.7049972086641496,12/29
Top10_Subcomp,h=1,2016,0.6727340250337156,19/40
Top10_Subcomp,h=12,2016,0.5526010814214605,14/29
Top20_Subcomp,h=1,2016,0.5903645881924173,21/40
Top20_Subcomp,h=12,2016,0.4296976388784741,18/29
