,MAE,RMSE,KPI,n_points
NGBoost Shock,0.300777476596659,0.4045409346704341,82.35294117647058,34.0
XGBoost Shock,0.3067113284601942,0.41451490624574444,76.47058823529412,34.0
Ridge Shock,0.3081984054200408,0.42563025692668577,79.41176470588235,34.0
Ridge Ext Shock,0.3114970605519055,0.4202036639681751,79.41176470588235,34.0
Ridge Extended,0.3133953449250555,0.43324066892306706,79.41176470588235,34.0
XGBoost,0.314982621229491,0.4342751314193628,76.47058823529412,34.0
NGBoost,0.31524154941882143,0.435618461806903,76.47058823529412,34.0
Ridge,0.3156509757016913,0.4366454809543194,76.47058823529412,34.0
LightGBM,0.37908404678724184,0.49476105371519913,70.58823529411765,34.0
LightGBM Shock,0.41731602387235966,0.5423309849561486,64.70588235294117,34.0
