Date,Model,Forecast_MoM
2026-04-01,CatBoost,0.43180611485261977
2026-05-01,CatBoost,0.32226939731077664
2026-06-01,CatBoost,0.38423494329605035
2026-07-01,CatBoost,0.3210571490959069
2026-08-01,CatBoost,0.40837819333358993
2026-09-01,CatBoost,0.46939636822438047
2026-10-01,CatBoost,0.4204586783835822
2026-11-01,CatBoost,0.3755421679240243
2026-12-01,CatBoost,0.33096178173612145
2027-01-01,CatBoost,0.26361082381292533
2027-02-01,CatBoost,0.27985619920742977
2027-03-01,CatBoost,0.31016943572703326
2027-04-01,CatBoost,0.3848086550765544
2027-05-01,CatBoost,0.37422133348751174
2027-06-01,CatBoost,0.3992742933229181
2027-07-01,CatBoost,0.40900165513480147
2027-08-01,CatBoost,0.44854317367737906
2027-09-01,CatBoost,0.46662979327969367
2027-10-01,CatBoost,0.4177607112777224
2027-11-01,CatBoost,0.38422270744588616
2027-12-01,CatBoost,0.3794417873691742
