Date,Model,Forecast_MoM
2026-04-01,Ridge,0.6448976151582286
2026-05-01,Ridge,0.34070425957176553
2026-06-01,Ridge,0.565522347598403
2026-07-01,Ridge,0.8624187506653271
2026-08-01,Ridge,0.4522268982227473
2026-09-01,Ridge,0.753281699804873
2026-10-01,Ridge,0.420470103898964
2026-11-01,Ridge,0.49728880915438367
2026-12-01,Ridge,0.5178850710492497
2027-01-01,Ridge,0.29650021352749434
2027-02-01,Ridge,0.3281726617751275
2027-03-01,Ridge,0.25522403035114394
2027-04-01,Ridge,0.5933025670364884
2027-05-01,Ridge,0.33685307518780405
2027-06-01,Ridge,0.5551395042090803
2027-07-01,Ridge,0.867720564911096
2027-08-01,Ridge,0.4435136079505071
2027-09-01,Ridge,0.7560068819203991
2027-10-01,Ridge,0.4208510407377588
2027-11-01,Ridge,0.46721034100988845
2027-12-01,Ridge,0.4991622746659914
