Product,Dec_2025_cum_pct,Weight
"Активированный уголь, 10 таблеток",2.272959454001433,0.0004
"Бананы, кг",-1.8109328147536186,0.00412
"Баранина (кроме бескостного мяса), кг",0.0,0.00145
Бензин автомобильный,-4.489263036572511,0.0435
"Бензин автомобильный марки АИ-92, л",-5.152919040107207,0.01955
"Бензин автомобильный марки АИ-95, л",-4.464712442079987,0.02274
"Бензин автомобильный марки АИ-98 и выше, л",0.7621436498143952,0.00121
"Брюки для детей школьного возраста из джинсовой ткани, шт.",-1.2399999999999967,0.00072
"Бумага туалетная, рулон",-1.969999999999994,0.00121
"Валидол, 60 мг, 10 таблеток",-3.8086492583379816,0.00039
"Вермишель, кг",1.2211886572621067,0.00116
"Водка, л",0.7806800000000003,0.00903
"Водоотведение, м3",0.0,0.00446
"Водоснабжение горячее, м3",0.0,0.00617
"Водоснабжение холодное, м3",0.0,0.00494
"Восстановление зуба пломбой, услуга",0.0,0.00213
"Говядина (кроме бескостного мяса), кг",0.8505359575999849,0.00627
"Дизельное топливо, л",0.049707641484819653,0.00224
"Дом отдыха, пансионат, день",5.950000000000011,0.00219
"Доска обрезная, м3",0.0,0.00143
"Капуста белокочанная свежая, кг",-5.7054348391194605,0.00154
"Картофель, кг",1.7715204086274028,0.00418
"Колбаса вареная, кг",0.79757038239201,0.00602
"Колбаса полукопченая и варено-копченая, кг",-3.949735649092212,0.00501
"Колготки женские эластичные, шт.",0.0,0.00092
"Консервы мясные для детского питания, кг",1.082463999999983,0.00016
"Консервы овощные для детского питания, кг",-2.2084456184089274,0.00015
"Консервы фруктово-ягодные для детского питания, кг",4.384222094670309,0.0003
"Корвалол, 25 мл",-3.174013848413426,0.00048
"Костюм спортивный для детей школьного возраста, шт.",-0.17002489990000091,0.00079
"Кроссовые туфли для взрослых, пара",3.5667050000000033,0.00347
"Кроссовые туфли для детей, пара",1.2499999999999956,0.00101
"Крупа гречневая-ядрица, кг",-1.1598313462465537,0.00187
"Куры охлажденные и мороженые, кг",-1.0739533324082395,0.00965
"Левомеколь, мазь, 40 г",1.0197922650409863,0.00041
"Легковой автомобиль иностранной марки новый, шт.",0.0,0.01222
"Легковой автомобиль отечественный новый, шт.",1.1299999999999866,0.01413
"Лизобакт, 10 таблеток",0.6813264173682443,0.00036
"Лук репчатый, кг",1.0069526721560251,0.00139
"Майка, футболка мужская бельевая, шт.",0.0,0.00075
"Макаронные изделия из пшеничной муки высшего сорта, кг",0.703331754500014,0.00309
"Маргарин, кг",1.2305053177264158,0.00033
"Масло подсолнечное, л",0.6399999999999961,0.00331
"Масло сливочное, кг",-2.8847065599999833,0.00853
"Метамизол натрия (Анальгин отечественный), 10 таблеток",0.6306109816327066,0.00043
"Мойка легкового автомобиля, услуга",0.11000000000001009,0.00479
"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.40999999999999925,0.00459
"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",1.201483999999997,0.00345
"Морковь, кг",0.3585294817819884,0.00119
"Мука пшеничная, кг",-1.8463623415868824,0.00259
"Мыло туалетное, 100 г",3.159995435000029,0.00071
"Мыло хозяйственное, 200 г",-5.3634868689183985,0.00099
"Нимесулид, 10 таблеток",0.6513661118029646,0.00038
"Носки мужские, пара",0.05902000000002072,0.00082
"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",0.0,0.01139
"Огурцы свежие, кг",53.240203231144974,0.00607
"Отопление, Гкал",0.0,0.0193
"Паста зубная, 100 г (100 мл)",-1.1695935939999957,0.00189
"Пеленки для новорожденных, шт.",-0.6099999999999994,0.00012
"Пенталгин, 24 таблетки",-1.0024624200616006,0.00045
"Печенье, кг",-2.4989560682289746,0.00564
"Плата за жилье в домах государственного и муниципального жилищных фондов, м2 общей площади",0.0,0.00071
"Плиты древесностружечные, ориентированно-стружечные, м2",-0.23000000000000798,0.0008
"Подгузники детские бумажные, 10 шт.",1.1378353717829581,0.00117
"Помидоры свежие, кг",-8.78971423959911,0.00541
