period_type,date,item_key,product_name,component,matched,match_method,match_score,item_code,sprav_name,weight,index_used,item_mom_pp,headline_contribution_pp
weekly_chain,2026-06-01 00:00:00,1,"Говядина (кроме бескостного мяса), кг",food,True,exact,1.0,195,"Говядина (кроме бескостного мяса), кг",0.01634,99.9,-0.09999999999999432,-0.0016339999999999072
weekly_chain,2026-06-01 00:00:00,10,"Масло сливочное, кг",food,True,exact,1.0,360,"Масло сливочное, кг",0.00872,100.57,0.5699999999999932,0.004970399999999941
weekly_chain,2026-06-01 00:00:00,100,"Проживание в гостинице 2*, сутки с человека",services,True,exact,1.0,1005,"Проживание в гостинице 2*, сутки с человека",4e-05,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,101,"Проживание в гостинице 3*, сутки с человека",services,True,exact,1.0,1006,"Проживание в гостинице 3*, сутки с человека",0.00075,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,102,"Проживание в гостинице 4*-5*, сутки с человека",services,True,exact,1.0,1007,"Проживание в гостинице 4*-5*, сутки с человека",0.00067,97.96,-2.0400000000000063,-0.0013668000000000042
weekly_chain,2026-06-01 00:00:00,103,"Проживание в хостеле, сутки с человека",services,True,exact,1.0,1008,"Проживание в хостеле, сутки с человека",0.00061,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,104,"Санаторий, день",services,True,exact,1.0,565,"Санаторий, день",0.001,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,105,"Легковой автомобиль иностранной марки новый, шт.",nonfood,True,exact,1.0,339,"Легковой автомобиль иностранной марки новый, шт.",0.00959,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,106,"Легковой автомобиль отечественный новый, шт.",nonfood,True,exact,1.0,340,"Легковой автомобиль отечественный новый, шт.",0.00753,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,107,"Дом отдыха, пансионат, день",services,True,exact,1.0,210,"Дом отдыха, пансионат, день",0.00177,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,108,"Восстановление зуба пломбой, услуга",services,True,exact,1.0,342,"Лечение кариеса, пломба",0.00221,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,109,"Метамизол натрия (Анальгин отечественный), 10 таблеток",nonfood,True,exact,1.0,370,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0.00036,99.94,-0.060000000000002274,-2.160000000000082e-05
weekly_chain,2026-06-01 00:00:00,11,"Масло подсолнечное, л",food,True,exact,1.0,359,"Масло подсолнечное, кг",0.00543,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,110,"Пенталгин, 24 таблетки",nonfood,True,exact,1.0,1099,"Пенталгин, 24 таблетки",0.00035,102.65,2.6500000000000057,0.000927500000000002
weekly_chain,2026-06-01 00:00:00,111,"Нимесулид, 10 таблеток",nonfood,True,exact,1.0,406,"Нимесулид, 100 мг, 10 таблеток",0.0004,99.53,-0.46999999999999886,-0.00018799999999999956
weekly_chain,2026-06-01 00:00:00,112,"Трекрезан, 10 таблеток",nonfood,True,exact,1.0,1102,"Трекрезан, 10 таблеток",0.00032,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,113,"Активированный уголь, 10 таблеток",nonfood,True,exact,1.0,851,"Активированный уголь, 250 мг, 10 таблеток",0.00032,102.42,2.4200000000000017,0.0007744000000000006
weekly_chain,2026-06-01 00:00:00,114,"Лизобакт, 10 таблеток",nonfood,True,exact,1.0,1096,"Лизобакт, 10 таблеток",0.00034,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,12,"Маргарин, кг",food,True,exact,1.0,357,"Маргарин, кг",0.0008,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,13,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",food,True,exact,1.0,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302,99.36,-0.6400000000000006,-0.0019328000000000019
weekly_chain,2026-06-01 00:00:00,14,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",food,True,fuzzy,0.9491525423728814,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,15,"Сметана, кг",food,True,exact,1.0,588,"Сметана, кг",0.00748,99.95,-0.04999999999999716,-0.00037399999999997873
weekly_chain,2026-06-01 00:00:00,16,"Творог, кг",food,True,exact,1.0,1049,"Творог, кг",0.00591,100.0,0.0,0.0
