Date;Товар;MoM;Day
2010-01-01;Все товары и услуги;101.49;01.01.2010
2010-01-01;Непродовольственные товары;100.31;01.01.2010
2010-01-01;Продовольственные товары;101.43;01.01.2010
2010-01-01;Услуги;103.49;01.01.2010
2010-02-01;Все товары и услуги;101.2;01.02.2010
2010-02-01;Непродовольственные товары;100.32;01.02.2010
2010-02-01;Продовольственные товары;101.56;01.02.2010
2010-02-01;Услуги;101.94;01.02.2010
2010-03-01;Все товары и услуги;100.92;01.03.2010
2010-03-01;Непродовольственные товары;100.19;01.03.2010
2010-03-01;Продовольственные товары;101.87;01.03.2010
2010-03-01;Услуги;100.34;01.03.2010
2010-04-01;Все товары и услуги;100.59;01.04.2010
2010-04-01;Непродовольственные товары;100.05;01.04.2010
2010-04-01;Продовольственные товары;100.6;01.04.2010
2010-04-01;Услуги;101.4;01.04.2010
2010-05-01;Все товары и услуги;100.64;01.05.2010
2010-05-01;Непродовольственные товары;100.41;01.05.2010
2010-05-01;Продовольственные товары;101.18;01.05.2010
2010-05-01;Услуги;100.04;01.05.2010
2010-06-01;Все товары и услуги;100.73;01.06.2010
2010-06-01;Непродовольственные товары;100.27;01.06.2010
2010-06-01;Продовольственные товары;100.48;01.06.2010
2010-06-01;Услуги;101.88;01.06.2010
2010-07-01;Все товары и услуги;99.510002;01.07.2010
2010-07-01;Непродовольственные товары;100.14;01.07.2010
2010-07-01;Продовольственные товары;98.419998;01.07.2010
2010-07-01;Услуги;100.52;01.07.2010
2010-08-01;Все товары и услуги;100.48;01.08.2010
2010-08-01;Непродовольственные товары;100.32;01.08.2010
2010-08-01;Продовольственные товары;100.74;01.08.2010
2010-08-01;Услуги;100.27;01.08.2010
2010-09-01;Все товары и услуги;102.29;01.09.2010
2010-09-01;Непродовольственные товары;100.16;01.09.2010
2010-09-01;Продовольственные товары;105.61;01.09.2010
2010-09-01;Услуги;99.610001;01.09.2010
2010-10-01;Все товары и услуги;100.5;01.10.2010
2010-10-01;Непродовольственные товары;100.15;01.10.2010
2010-10-01;Продовольственные товары;100.48;01.10.2010
2010-10-01;Услуги;101.09;01.10.2010
2010-11-01;Все товары и услуги;100.92;01.11.2010
2010-11-01;Непродовольственные товары;100.81;01.11.2010
2010-11-01;Продовольственные товары;101.43;01.11.2010
2010-11-01;Услуги;100.12;01.11.2010
2010-12-01;Все товары и услуги;101.57;01.12.2010
2010-12-01;Непродовольственные товары;100.7;01.12.2010
2010-12-01;Продовольственные товары;102.68;01.12.2010
2010-12-01;Услуги;100.78;01.12.2010
2011-01-01;Все товары и услуги;102.4;01.01.2011
2011-01-01;Непродовольственные товары;100.57;01.01.2011
2011-01-01;Продовольственные товары;103.9;01.01.2011
2011-01-01;Услуги;102.51;01.01.2011
2011-02-01;Все товары и услуги;101.06;01.02.2011
2011-02-01;Непродовольственные товары;100.27;01.02.2011
2011-02-01;Продовольственные товары;101.36;01.02.2011
2011-02-01;Услуги;101.74;01.02.2011
2011-03-01;Все товары и услуги;101.12;01.03.2011
2011-03-01;Непродовольственные товары;100.48;01.03.2011
2011-03-01;Продовольственные товары;102.02;01.03.2011
2011-03-01;Услуги;100.37;01.03.2011
2011-04-01;Все товары и услуги;100.6;01.04.2011
2011-04-01;Непродовольственные товары;100.79;01.04.2011
2011-04-01;Продовольственные товары;100.39;01.04.2011
2011-04-01;Услуги;100.7;01.04.2011
2011-05-01;Все товары и услуги;100.31;01.05.2011
2011-05-01;Непродовольственные товары;100.37;01.05.2011
2011-05-01;Продовольственные товары;99.919998;01.05.2011
2011-05-01;Услуги;101.0;01.05.2011
2011-06-01;Все товары и услуги;99.389999;01.06.2011
2011-06-01;Непродовольственные товары;100.37;01.06.2011
2011-06-01;Продовольственные товары;97.540001;01.06.2011
2011-06-01;Услуги;101.5;01.06.2011
2011-07-01;Все товары и услуги;99.959999;01.07.2011
2011-07-01;Непродовольственные товары;100.43;01.07.2011
2011-07-01;Продовольственные товары;99.080002;01.07.2011
2011-07-01;Услуги;100.9;01.07.2011
2011-08-01;Все товары и услуги;99.82;01.08.2011
2011-08-01;Непродовольственные товары;100.74;01.08.2011
2011-08-01;Продовольственные товары;99.089996;01.08.2011
2011-08-01;Услуги;99.739998;01.08.2011
2011-09-01;Все товары и услуги;100.78;01.09.2011
2011-09-01;Непродовольственные товары;100.95;01.09.2011
2011-09-01;Продовольственные товары;101.26;01.09.2011
2011-09-01;Услуги;99.650002;01.09.2011
2011-10-01;Все товары и услуги;100.33;01.10.2011
2011-10-01;Непродовольственные товары;100.53;01.10.2011
2011-10-01;Продовольственные товары;100.06;01.10.2011
2011-10-01;Услуги;100.53;01.10.2011
2011-11-01;Все товары и услуги;100.46;01.11.2011
2011-11-01;Непродовольственные товары;100.71;01.11.2011
2011-11-01;Продовольственные товары;100.28;01.11.2011
2011-11-01;Услуги;100.38;01.11.2011
2011-12-01;Все товары и услуги;100.32;01.12.2011
2011-12-01;Непродовольственные товары;100.3;01.12.2011
2011-12-01;Продовольственные товары;100.42;01.12.2011
2011-12-01;Услуги;100.17;01.12.2011
2012-01-01;Все товары и услуги;100.33;01.01.2012
2012-01-01;Непродовольственные товары;100.14;01.01.2012
2012-01-01;Продовольственные товары;100.67;01.01.2012
2012-01-01;Услуги;100.02;01.01.2012
2012-02-01;Все товары и услуги;101.02;01.02.2012
2012-02-01;Непродовольственные товары;100.67;01.02.2012
2012-02-01;Продовольственные товары;101.86;01.02.2012
2012-02-01;Услуги;100.02;01.02.2012
2012-03-01;Все товары и услуги;100.68;01.03.2012
2012-03-01;Непродовольственные товары;100.52;01.03.2012
2012-03-01;Продовольственные товары;101.02;01.03.2012
2012-03-01;Услуги;100.29;01.03.2012
2012-04-01;Все товары и услуги;100.42;01.04.2012
2012-04-01;Непродовольственные товары;101.05;01.04.2012
2012-04-01;Продовольственные товары;99.940002;01.04.2012
2012-04-01;Услуги;100.32;01.04.2012
2012-05-01;Все товары и услуги;101.32;01.05.2012
2012-05-01;Непродовольственные товары;100.65;01.05.2012
2012-05-01;Продовольственные товары;102.3;01.05.2012
2012-05-01;Услуги;100.56;01.05.2012
2012-06-01;Все товары и услуги;100.55;01.06.2012
2012-06-01;Непродовольственные товары;100.92;01.06.2012
2012-06-01;Продовольственные товары;100.26;01.06.2012
2012-06-01;Услуги;100.5;01.06.2012
2012-07-01;Все товары и услуги;101.61;01.07.2012
2012-07-01;Непродовольственные товары;100.75;01.07.2012
2012-07-01;Продовольственные товары;100.49;01.07.2012
2012-07-01;Услуги;105.27;01.07.2012
2012-08-01;Все товары и услуги;100.08;01.08.2012
2012-08-01;Непродовольственные товары;101.0;01.08.2012
2012-08-01;Продовольственные товары;99.25;01.08.2012
2012-08-01;Услуги;100.15;01.08.2012
2012-09-01;Все товары и услуги;100.42;01.09.2012
2012-09-01;Непродовольственные товары;100.79;01.09.2012
2012-09-01;Продовольственные товары;100.24;01.09.2012
2012-09-01;Услуги;100.15;01.09.2012
2012-10-01;Все товары и услуги;100.46;01.10.2012
2012-10-01;Непродовольственные товары;100.86;01.10.2012
2012-10-01;Продовольственные товары;100.35;01.10.2012
2012-10-01;Услуги;99.989998;01.10.2012
2012-11-01;Все товары и услуги;100.7;01.11.2012
2012-11-01;Непродовольственные товары;101.56;01.11.2012
2012-11-01;Продовольственные товары;100.18;01.11.2012
2012-11-01;Услуги;100.24;01.11.2012
2012-12-01;Все товары и услуги;100.84;01.12.2012
2012-12-01;Непродовольственные товары;101.19;01.12.2012
2012-12-01;Продовольственные товары;100.84;01.12.2012
2012-12-01;Услуги;100.25;01.12.2012
2013-01-01;Все товары и услуги;100.74;01.01.2013
2013-01-01;Непродовольственные товары;100.24;01.01.2013
2013-01-01;Продовольственные товары;101.42;01.01.2013
2013-01-01;Услуги;100.3;01.01.2013
2013-02-01;Все товары и услуги;100.51;01.02.2013
2013-02-01;Непродовольственные товары;100.09;01.02.2013
2013-02-01;Продовольственные товары;100.99;01.02.2013
2013-02-01;Услуги;100.33;01.02.2013
2013-03-01;Все товары и услуги;100.5;01.03.2013
2013-03-01;Непродовольственные товары;100.73;01.03.2013
2013-03-01;Продовольственные товары;100.35;01.03.2013
2013-03-01;Услуги;100.34;01.03.2013
2013-04-01;Все товары и услуги;101.25;01.04.2013
2013-04-01;Непродовольственные товары;100.46;01.04.2013
2013-04-01;Продовольственные товары;102.4;01.04.2013
2013-04-01;Услуги;100.37;01.04.2013
2013-05-01;Все товары и услуги;101.44;01.05.2013
2013-05-01;Непродовольственные товары;100.32;01.05.2013
2013-05-01;Продовольственные товары;102.89;01.05.2013
2013-05-01;Услуги;100.53;01.05.2013
2013-06-01;Все товары и услуги;100.09;01.06.2013
2013-06-01;Непродовольственные товары;100.58;01.06.2013
2013-06-01;Продовольственные товары;99.589996;01.06.2013
2013-06-01;Услуги;100.23;01.06.2013
2013-07-01;Все товары и услуги;100.58;01.07.2013
2013-07-01;Непродовольственные товары;101.04;01.07.2013
2013-07-01;Продовольственные товары;98.129997;01.07.2013
2013-07-01;Услуги;104.9;01.07.2013
2013-08-01;Все товары и услуги;99.620003;01.08.2013
2013-08-01;Непродовольственные товары;101.08;01.08.2013
2013-08-01;Продовольственные товары;97.730003;01.08.2013
2013-08-01;Услуги;100.74;01.08.2013
2013-09-01;Все товары и услуги;100.17;01.09.2013
2013-09-01;Непродовольственные товары;100.43;01.09.2013
2013-09-01;Продовольственные товары;100.01;01.09.2013
2013-09-01;Услуги;100.02;01.09.2013
2013-10-01;Все товары и услуги;101.03;01.10.2013
2013-10-01;Непродовольственные товары;101.06;01.10.2013
2013-10-01;Продовольственные товары;101.54;01.10.2013
2013-10-01;Услуги;100.02;01.10.2013
2013-11-01;Все товары и услуги;100.63;01.11.2013
2013-11-01;Непродовольственные товары;100.98;01.11.2013
2013-11-01;Продовольственные товары;100.63;01.11.2013
2013-11-01;Услуги;99.989998;01.11.2013
2013-12-01;Все товары и услуги;100.7;01.12.2013
2013-12-01;Непродовольственные товары;100.77;01.12.2013
2013-12-01;Продовольственные товары;100.92;01.12.2013
2013-12-01;Услуги;100.13;01.12.2013
2014-01-01;Все товары и услуги;100.16;01.01.2014
2014-01-01;Непродовольственные товары;100.03;01.01.2014
2014-01-01;Продовольственные товары;100.29;01.01.2014
2014-01-01;Услуги;100.15;01.01.2014
2014-02-01;Все товары и услуги;100.62;01.02.2014
2014-02-01;Непродовольственные товары;100.88;01.02.2014
2014-02-01;Продовольственные товары;100.75;01.02.2014
2014-02-01;Услуги;99.949997;01.02.2014
2014-03-01;Все товары и услуги;100.96;01.03.2014
2014-03-01;Непродовольственные товары;100.97;01.03.2014
2014-03-01;Продовольственные товары;101.05;01.03.2014
2014-03-01;Услуги;100.75;01.03.2014
2014-04-01;Все товары и услуги;100.63;01.04.2014
2014-04-01;Непродовольственные товары;100.62;01.04.2014
2014-04-01;Продовольственные товары;100.94;01.04.2014
2014-04-01;Услуги;100.09;01.04.2014
2014-05-01;Все товары и услуги;100.65;01.05.2014
2014-05-01;Непродовольственные товары;100.17;01.05.2014
2014-05-01;Продовольственные товары;101.45;01.05.2014
2014-05-01;Услуги;100.01;01.05.2014
2014-06-01;Все товары и услуги;100.01;01.06.2014
2014-06-01;Непродовольственные товары;100.37;01.06.2014
2014-06-01;Продовольственные товары;99.589996;01.06.2014
2014-06-01;Услуги;100.15;01.06.2014
2014-07-01;Все товары и услуги;99.980003;01.07.2014
2014-07-01;Непродовольственные товары;100.41;01.07.2014
2014-07-01;Продовольственные товары;98.730003;01.07.2014
2014-07-01;Услуги;101.57;01.07.2014
2014-08-01;Все товары и услуги;100.42;01.08.2014
