Date;mom;Nonprod;Prod;Serv;usd_nom_i;Ki_i;Ruonia;Ruonia_i;fl_potrb_zad;fl_dep;all_real;Ki
31.01.2010;101,49;100,31;101,43;103,49;100,00;100,00;4,00;100,00;99,74;99,30;101,30;8,75
28.02.2010;101,20;100,32;101,56;101,94;99,20;100,00;3,60;90,00;99,80;105,45;101,80;8,50
31.03.2010;100,92;100,19;101,87;100,34;102,10;100,00;3,50;97,22;99,77;102,03;102,40;8,25
30.04.2010;100,59;100,05;100,60;101,40;101,30;97,10;3,20;91,43;100,16;101,94;101,60;8,00
31.05.2010;100,64;100,41;101,18;100,04;96,20;97,00;2,60;81,25;99,97;101,98;100,30;8,00
30.06.2010;100,73;100,27;100,48;101,88;97,40;96,90;2,40;92,31;101,42;103,07;99,40;7,75
31.07.2010;99,51;100,14;98,42;100,52;101,60;100,00;2,60;108,33;114,82;105,52;98,70;7,75
31.08.2010;100,48;100,32;100,74;100,27;101,10;100,00;2,50;96,15;105,23;101,33;99,70;7,75
30.09.2010;102,29;100,16;105,61;99,61;98,40;100,00;2,50;100,00;104,64;96,85;97,90;7,75
31.10.2010;100,50;100,15;100,48;101,09;101,70;100,00;2,60;104,00;103,45;105,99;97,40;7,75
30.11.2010;100,92;100,81;101,43;100,12;97,90;100,00;3,00;115,38;103,77;102,35;98,80;7,75
31.12.2010;101,57;100,70;102,68;100,78;100,40;100,00;2,80;93,33;105,42;106,62;102,80;7,75
31.01.2011;102,40;100,57;103,90;102,51;102,60;100,00;2,60;92,86;100,96;99,73;101,40;7,75
28.02.2011;101,06;100,27;101,36;101,74;102,70;100,00;2,70;103,85;103,26;103,25;101,70;8,00
31.03.2011;101,12;100,48;102,02;100,37;103,00;103,20;3,00;111,11;103,19;101,88;101,60;8,00
30.04.2011;100,60;100,79;100,39;100,70;101,20;100,00;3,20;106,67;106,46;105,02;99,10;8,00
31.05.2011;100,31;100,37;99,92;101,00;100,80;103,10;3,70;115,63;105,99;101,07;101,60;8,25
30.06.2011;99,39;100,37;97,54;101,50;99,60;100,00;3,70;100,00;105,67;101,87;101,80;8,25
31.07.2011;99,96;100,43;99,08;100,90;100,30;100,00;3,80;102,70;106,72;101,45;100,60;8,25
31.08.2011;99,82;100,74;99,09;99,74;97,00;100,00;3,90;102,63;103,67;100,12;97,20;8,25
30.09.2011;100,78;100,95;101,26;99,65;94,30;100,00;4,40;112,82;105,60;102,56;97,30;8,25
31.10.2011;100,33;100,53;100,06;100,53;97,30;100,00;4,90;111,36;103,87;97,35;99,40;8,25
30.11.2011;100,46;100,71;100,28;100,38;101,60;100,00;5,00;102,04;104,28;101,90;103,90;8,25
31.12.2011;100,32;100,30;100,42;100,17;98,10;100,00;5,30;106,00;104,44;105,87;99,90;8,00
31.01.2012;100,33;100,14;100,67;100,02;99,80;97,00;4,80;90,57;101,78;98,51;100,60;8,00
29.02.2012;101,02;100,67;101,86;100,02;105,40;100,00;4,40;91,67;104,72;101,15;103,40;8,00
