Item_code,Item_name,Item_rosstat
0,"===<>===",
1,"Все товары и услуги",1
2,"Непродовольственные товары",7
3,"Продовольственные товары",6
4,"Услуги",9000
5,"Базовый индекс потребительских цен",3
6,"Все товары и услуги без плодоовощей, топлива и ЖКУ",
7,"Непродовольственные товары без топлива моторного",
8,"Продовольственные товары без плодоовощной продукции",
9,"Услуги без жилищно-коммунальных услуг",
10,"Трендовая инфляция",
11,"Алкогольные напитки",8
12,"Бытовые услуги",9100
13,"Галантерея",5400
14,"Жилищные и коммунальные услуги (включая аренду квартир)",9400
15,"Инструменты и оборудование",6440
16,"Кондитерские изделия",1700
17,"Легковые автомобили",7700
18,"Макаронные и крупяные изделия",20
19,"Масло и жиры",22
20,"Мебель",5800
21,"Медицинские товары",41
22,"Медицинские услуги",9700
23,"Меха и меховые изделия",4200
24,"Молоко и молочная продукция",1100
25,"Моющие и чистящие средства",43
26,"Мясопродукты",10
27,"Обувь кожаная, текстильная и комбинированная",4700
28,"Общественное питание",3600
29,"Одежда и белье",4100
30,"Парфюмерно-косметические товары",5300
31,"Персональные компьютеры",7030
32,"Печатные издания",6700
33,"Плодоовощная продукция, включая картофель",21
34,"Рыбопродукты",11
35,"Санаторно-оздоровительные услуги",9600
36,"Сахар",1600
37,"Средства связи",7100
38,"Строительные материалы",7400
39,"Сыр",1200
40,"Табачные изделия",5600
41,"Телерадиотовары",7000
42,"Топливо моторное",42
43,"Трикотажные изделия",14
44,"Услуги в системе образования",9950
45,"Услуги в сфере туризма",9530
46,"Услуги организаций культуры",9520
47,"Услуги пассажирского транспорта",9200
48,"Услуги телекоммуникационные",9300
49,"Хлеб и хлебобулочные изделия",2200
50,"Чай, кофе, какао",24
51,"Электротовары и другие бытовые приборы",6400
52,"Яйца",1500
53,"Другие продовольственные товары",
54,"Другие непродовольственные товары",
55,"Другие услуги",
56,"Жилищно-коммунальные услуги (+ услуги гостиниц)",
57,"Услуги связи",
67,"Услуги в сфере зарубежного туризма",9540
101,"Абонентская плата за доступ к сети Интернет, месяц",9372
102,"Абонентская плата за мобильный Интернет, месяц",9373
103,"Абонентская плата за неограниченный объем местных телефонных соединений, месяц",9321
104,"Абонентская плата за пакет услуг сотовой связи, месяц",9365
105,"Абонентская плата за радиотрансляционную точку, месяц",9351
106,"Абонентская плата за телевизионную антенну, месяц",9391
107,"Абонентская плата при комбинированной системе оплаты услуг местной телефонной связи, месяц",9324
108,"Автомобильный транспорт",9210
109,"Авторучка шариковая, шт.",6606
