Item_code,Item_type,Superior,Primary,Component,Subcomponent,Item_on
0,6,0,0,0,0,1
1,1,0,0,1,1,1
2,2,1,0,2,2,1
3,2,1,0,3,3,1
4,2,1,0,4,4,1
5,6,0,0,0,0,1
6,6,0,0,0,0,1
7,6,0,0,0,0,1
8,6,0,0,0,0,1
9,6,0,0,0,0,1
10,6,0,0,0,0,1
11,3,3,0,3,11,1
12,3,4,0,4,12,1
13,3,2,0,2,13,1
14,3,4,0,4,14,1
15,3,2,0,2,15,1
16,3,3,0,3,16,1
17,3,2,0,2,17,1
18,3,3,0,3,18,1
19,3,3,0,3,19,1
20,3,2,0,2,20,1
21,3,2,0,2,21,1
22,3,4,0,4,22,1
23,3,2,0,2,23,1
24,3,3,0,3,24,1
25,3,2,0,2,25,1
26,3,3,0,3,26,1
27,3,2,0,2,27,1
28,3,3,0,3,28,1
29,3,2,0,2,29,1
30,3,2,0,2,30,1
31,3,2,0,2,31,1
32,3,2,0,2,32,1
33,3,3,0,3,33,1
34,3,3,0,3,34,1
35,3,4,0,4,35,1
36,3,3,0,3,36,1
37,3,2,0,2,37,1
38,3,2,0,2,38,1
39,3,3,0,3,39,1
40,3,2,0,2,40,1
41,3,2,0,2,41,1
42,3,2,0,2,42,1
43,3,2,0,2,43,1
44,3,4,0,4,44,1
45,6,0,0,0,0,1
46,3,4,0,4,46,1
47,3,4,0,4,47,1
48,3,4,0,4,48,1
49,3,3,0,3,49,1
50,3,3,0,3,50,1
51,3,2,0,2,51,1
52,3,3,0,3,52,1
53,3,3,0,3,53,1
54,3,2,0,2,54,1
55,3,4,0,4,55,1
56,7,4,0,4,56,0
57,7,4,0,4,57,0
67,3,4,0,4,67,1
101,5,680,1,4,48,1
102,7,680,1,3,48,0
103,5,199,1,4,48,1
104,5,133,1,4,48,1
105,7,520,1,4,48,0
106,5,686,1,4,48,1
107,5,199,1,4,48,1
108,4,47,0,4,47,1
109,5,732,1,2,54,1
110,7,1017,1,2,21,0
111,7,1017,1,2,21,0
112,5,148,1,2,54,1
113,5,1018,1,2,21,1
114,7,366,1,2,21,0
115,5,702,1,3,33,1
116,5,21,1,2,21,1
117,5,1084,1,4,14,1
118,5,667,1,4,55,1
119,5,1084,1,4,14,1
120,5,1018,1,2,21,1
121,5,702,1,3,33,1
122,5,391,1,3,26,1
123,5,49,1,3,49,1
124,5,51,1,2,51,1
125,4,437,0,2,29,1
126,5,125,1,2,29,1
127,4,29,0,2,29,1
128,4,43,0,2,43,1
129,4,42,0,2,42,1
130,5,129,1,2,42,1
131,5,129,1,2,42,1
132,5,129,1,2,42,1
133,4,48,0,4,48,1
134,5,463,1,2,21,1
135,5,1018,1,2,21,1
136,5,439,1,2,29,1
137,5,440,1,2,29,1
138,5,418,1,2,27,1
139,5,418,1,2,27,1
140,7,366,1,2,21,0
141,5,439,1,2,29,1
142,5,439,1,2,29,1
143,5,440,1,2,29,1
144,5,441,1,2,29,1
145,5,441,1,2,29,1
146,5,707,1,3,49,1
147,5,148,1,2,54,1
148,4,54,0,2,54,1
149,5,13,1,2,13,1
150,5,1017,1,2,21,1
151,7,366,1,2,21,0
152,5,153,1,3,53,1
153,4,53,0,3,53,1
154,5,463,1,2,21,1
155,5,157,1,2,54,1
156,5,157,1,2,54,1
157,4,54,0,2,54,1
158,5,353,1,3,18,1
159,7,366,1,2,21,0
160,4,43,0,2,43,1
161,4,55,0,4,55,1
162,5,225,1,4,14,1
163,4,11,0,3,11,1
164,5,163,1,3,11,1
165,5,163,1,3,11,1
166,5,725,1,3,11,1
167,5,702,1,3,33,1
168,7,1018,1,2,21,0
169,4,401,0,3,53,1
170,4,11,0,3,11,1
171,5,170,1,3,11,1
172,5,446,1,4,14,1
173,5,444,1,4,14,1
174,5,446,1,4,14,1
175,6,0,0,4,47,1
176,6,0,0,0,0,1
177,6,0,0,0,0,1
178,6,0,0,0,0,1
179,6,0,0,0,0,1
180,6,0,0,0,0,1
181,5,545,1,4,12,1
182,5,545,1,4,12,1
183,4,190,0,4,14,1
184,5,183,1,4,14,1
185,5,183,1,4,14,1
186,4,190,0,4,14,1
187,5,186,1,4,14,1
188,5,186,1,4,14,1
189,5,42,1,2,42,1
190,4,279,0,4,14,1
191,7,366,1,2,21,0
192,7,366,1,2,21,0
193,7,1018,1,2,21,0
194,4,391,0,3,26,1
195,5,194,1,3,26,1
196,5,194,1,3,26,1
197,5,685,1,4,55,1
198,5,685,1,4,55,1
199,4,48,0,4,48,1
200,4,108,0,4,47,1
201,6,0,0,0,0,1
202,4,47,0,4,47,1
203,5,321,1,3,18,1
204,5,702,1,3,33,1
205,5,160,1,2,43,1
206,5,160,1,2,43,1
207,5,160,1,2,43,1
208,5,20,1,2,20,1
209,5,42,1,2,42,1
210,5,35,1,4,35,1
211,5,684,1,4,44,1
212,5,673,1,4,44,1
213,5,476,1,2,38,1
214,5,15,1,2,15,1
215,5,645,1,2,54,1
216,5,1018,1,2,21,1
217,4,12,0,4,12,1
218,5,38,1,2,38,1
219,7,32,1,2,32,0
220,7,32,1,2,32,0
221,5,733,1,3,16,1
222,6,0,0,4,47,1
223,5,25,1,2,25,1
224,4,14,0,4,14,1
225,4,224,0,4,14,1
226,7,546,1,4,12,0
227,7,687,1,4,55,0
228,5,687,1,4,55,1
229,5,683,1,4,44,1
230,5,683,1,4,44,1
231,5,564,1,2,54,1
232,5,20,1,2,20,1
233,5,733,1,3,16,1
234,5,13,1,2,13,1
235,4,54,0,2,54,1
236,5,235,1,2,54,1
237,5,235,1,2,54,1
238,5,553,1,4,12,1
239,5,22,1,4,22,1
240,5,22,1,4,22,1
241,5,688,1,4,12,1
242,4,16,0,3,16,1
243,5,556,1,3,34,1
244,5,1018,1,2,21,1
245,5,24,1,3,24,1
246,5,1017,1,2,21,1
247,5,50,1,3,50,1
248,5,556,1,3,34,1
249,5,431,1,3,33,1
250,5,733,1,3,16,1
251,5,732,1,2,54,1
252,5,33,1,3,33,1
253,5,368,1,2,54,1
254,5,242,1,3,16,1
255,7,366,1,2,21,0
256,5,594,1,3,53,1
257,5,46,1,4,46,1
258,5,38,1,2,38,1
259,5,24,1,3,24,1
260,5,161,1,4,55,1
261,5,32,1,2,32,1
262,7,264,1,2,54,0
263,5,264,1,2,54,1
264,4,54,0,2,54,1
265,5,270,1,3,26,1
266,5,268,1,3,26,1
267,5,268,1,3,26,1
268,4,269,0,3,26,1
269,4,26,0,3,26,1
270,4,268,0,3,26,1
271,5,724,1,2,54,1
272,5,724,1,2,54,1
273,5,752,1,2,54,1
274,5,13,1,2,13,1
275,5,438,1,2,29,1
276,5,125,1,2,29,1
277,7,1017,1,2,21,0
278,5,47,1,4,47,1
279,4,14,0,4,14,1
280,5,127,1,2,29,1
281,5,368,1,2,54,1
282,5,31,1,2,31,1
283,5,31,1,2,31,1
284,4,26,0,3,26,1
285,5,284,1,3,26,1
286,5,284,1,3,26,1
287,4,53,0,3,53,1
288,5,287,1,3,53,1
289,4,34,0,3,34,1
290,5,289,1,3,34,1
291,5,289,1,3,34,1
292,5,287,1,3,53,1
293,4,53,0,3,53,1
294,5,293,1,3,53,1
295,5,235,1,2,54,1
296,5,297,1,3,16,1
297,4,733,0,3,16,1
298,5,297,1,3,16,1
299,7,644,1,2,54,0
300,4,11,0,3,11,1
301,5,300,1,3,11,1
302,5,1017,1,2,21,1
303,5,21,1,2,21,1
304,5,441,1,2,29,1
305,5,160,1,2,43,1
306,5,160,1,2,43,1
307,5,160,1,2,43,1
308,4,50,0,3,50,1
309,5,28,1,3,28,1
310,5,308,1,3,50,1
311,5,308,1,3,50,1
312,5,30,1,2,30,1
313,5,38,1,2,38,1
314,5,556,1,3,34,1
315,5,30,1,2,30,1
316,5,20,1,2,20,1
317,7,423,1,2,27,0
318,7,423,1,2,27,0
319,5,418,1,2,27,1
320,5,321,1,3,18,1
321,4,18,0,3,18,1
322,5,321,1,3,18,1
323,5,321,1,3,18,1
324,5,510,1,4,55,1
325,5,1018,1,2,21,1
326,5,523,1,3,26,1
327,5,438,1,2,29,1
328,5,439,1,2,29,1
329,5,440,1,2,29,1
330,5,441,1,2,29,1
331,5,441,1,2,29,1
332,5,441,1,2,29,1
333,5,394,1,3,26,1
334,5,38,1,2,38,1
335,5,51,1,2,51,1
336,5,51,1,2,51,1
337,5,1017,1,2,21,1
338,5,17,1,2,17,1
339,5,17,1,2,17,1
340,5,17,1,2,17,1
341,5,22,1,4,22,1
342,5,22,1,4,22,1
343,5,702,1,3,33,1
344,7,366,1,2,21,0
345,5,38,1,2,38,1
346,5,564,1,2,54,1
347,5,366,1,2,21,1
348,7,366,1,2,21,0
349,5,431,1,3,33,1
350,5,128,1,2,43,1
351,5,128,1,2,43,1
352,5,594,1,3,53,1
353,4,18,0,3,18,1
354,5,353,1,3,18,1
355,5,677,1,4,12,1
356,4,19,0,3,19,1
357,5,356,1,3,19,1
358,5,19,1,3,19,1
359,5,19,1,3,19,1
360,5,19,1,3,19,1
361,6,0,0,0,0,1
362,5,20,1,2,20,1
363,5,604,1,2,51,1
364,7,51,1,2,51,0
365,5,153,1,3,53,1
366,4,21,0,2,21,1
367,4,48,0,4,48,1
368,4,54,0,2,54,1
369,5,38,1,2,38,1
370,5,1017,1,2,21,1
371,7,23,1,2,23,0
372,7,23,1,2,23,0
373,5,51,1,2,51,1
374,5,38,1,2,38,1
375,5,547,1,4,12,1
376,4,377,0,3,24,1
377,4,24,0,3,24,1
378,5,376,1,3,24,1
379,5,376,1,3,24,1
380,5,24,1,3,24,1
381,5,31,1,2,31,1
382,5,431,1,3,33,1
383,4,53,0,3,53,1
384,5,383,1,3,53,1
385,5,157,1,2,54,1
386,5,46,1,4,46,1
387,4,53,0,3,53,1
388,5,387,1,3,53,1
389,5,25,1,2,25,1
390,5,25,1,2,25,1
391,4,392,0,3,26,1
392,4,26,0,3,26,1
393,5,394,1,3,26,1
394,4,392,0,3,26,1
395,5,523,1,3,26,1
396,5,644,1,2,54,1
397,5,20,1,2,20,1
398,7,20,1,2,20,0
399,5,732,1,2,54,1
400,5,445,1,4,14,1
401,4,53,0,3,53,1
402,5,401,1,3,53,1
403,7,366,1,2,21,0
404,5,39,1,3,39,1
405,5,683,1,4,44,1
406,5,1017,1,2,21,1
407,4,54,0,2,54,1
408,5,407,1,2,54,1
409,7,366,1,2,21,0
410,5,724,1,2,54,1
411,5,724,1,2,54,1
412,5,28,1,3,28,1
413,5,28,1,3,28,1
414,7,38,1,2,38,0
415,5,38,1,2,38,1
416,5,969,1,4,14,1
417,7,667,1,4,55,0
418,4,27,0,2,27,1
419,4,27,0,2,27,1
420,5,419,1,2,27,1
421,5,419,1,2,27,1
422,4,27,0,2,27,1
423,4,27,0,2,27,1
424,4,27,0,2,27,1
425,4,54,0,2,54,1
426,5,671,1,4,44,1
427,5,671,1,4,44,1
428,5,684,1,4,44,1
429,5,684,1,4,44,1
430,5,22,1,4,22,1
431,4,33,0,3,33,1
432,5,431,1,3,33,1
433,5,287,1,3,53,1
434,5,321,1,3,18,1
435,5,431,1,3,33,1
436,4,29,0,2,29,1
437,4,436,0,2,29,1
438,4,437,0,2,29,1
439,4,437,0,2,29,1
440,4,436,0,2,29,1
441,4,436,0,2,29,1
442,5,127,1,2,29,1
443,5,394,1,3,26,1
444,4,279,0,4,14,1
445,4,225,0,4,14,1
446,4,279,0,4,14,1
447,5,702,1,3,33,1
448,5,279,1,4,14,1
449,5,682,1,4,55,1
450,7,366,1,2,21,0
451,5,440,1,2,29,1
452,5,440,1,2,29,1
453,5,440,1,2,29,1
454,5,23,1,2,23,1
455,5,1018,1,2,21,1
456,5,128,1,2,43,1
457,5,30,1,2,30,1
458,5,125,1,2,29,1
459,5,504,1,3,26,1
460,5,22,1,4,22,1
461,5,22,1,4,22,1
462,7,667,1,4,55,0
463,4,21,0,2,21,1
464,5,512,1,4,55,1
465,7,594,1,3,53,0
466,5,13,1,2,13,1
467,5,160,1,2,43,1
468,5,688,1,4,12,1
469,5,611,1,3,26,1
470,5,242,1,3,16,1
471,5,51,1,2,51,1
472,4,11,0,3,11,1
473,7,472,1,3,11,0
474,7,472,1,3,11,0
475,5,440,1,2,29,1
476,4,38,0,2,38,1
477,7,133,1,3,48,0
