Code,Day,Region_code,Item_code,MoM,YoY,Calc,Date
10010070101,01/01/10 00:00:00,7,101,100.0,100.0,0,2010-01-01
10010070103,01/01/10 00:00:00,7,103,100.0,107.54,0,2010-01-01
10010070107,01/01/10 00:00:00,7,107,100.0,108.82,0,2010-01-01
10010070109,01/01/10 00:00:00,7,109,100.0,124.71,0,2010-01-01
10010070112,01/01/10 00:00:00,7,112,100.0,102.16,0,2010-01-01
10010070113,01/01/10 00:00:00,7,113,106.91,107.73,0,2010-01-01
10010070115,01/01/10 00:00:00,7,115,100.7,115.65,0,2010-01-01
10010070116,01/01/10 00:00:00,7,116,100.0,102.82,0,2010-01-01
10010070119,01/01/10 00:00:00,7,119,100.0,100.0,0,2010-01-01
10010070120,01/01/10 00:00:00,7,120,108.07,173.17999,0,2010-01-01
10010070121,01/01/10 00:00:00,7,121,101.35,92.050003,0,2010-01-01
10010070122,01/01/10 00:00:00,7,122,100.0,100.43,0,2010-01-01
10010070123,01/01/10 00:00:00,7,123,100.0,110.87,0,2010-01-01
10010070124,01/01/10 00:00:00,7,124,100.0,111.72,0,2010-01-01
10010070126,01/01/10 00:00:00,7,126,100.0,113.28,0,2010-01-01
10010070130,01/01/10 00:00:00,7,130,99.919998,107.29,0,2010-01-01
10010070131,01/01/10 00:00:00,7,131,100.0,106.08,0,2010-01-01
10010070134,01/01/10 00:00:00,7,134,100.0,106.31,0,2010-01-01
10010070136,01/01/10 00:00:00,7,136,100.0,116.02,0,2010-01-01
10010070137,01/01/10 00:00:00,7,137,100.0,115.98,0,2010-01-01
10010070138,01/01/10 00:00:00,7,138,100.0,117.25,0,2010-01-01
10010070139,01/01/10 00:00:00,7,139,100.0,111.96,0,2010-01-01
10010070141,01/01/10 00:00:00,7,141,100.0,112.56,0,2010-01-01
10010070142,01/01/10 00:00:00,7,142,100.0,120.8,0,2010-01-01
10010070143,01/01/10 00:00:00,7,143,100.0,122.38,0,2010-01-01
10010070144,01/01/10 00:00:00,7,144,100.0,115.88,0,2010-01-01
