Item_code;Товар;Компонент;Субкомпонент;Weight
101;Абонентская плата за доступ к сети Интернет, месяц;Услуги;Услуги телекоммуникационные;0.0085699999999999
103;Абонентская плата за неограниченный объем местных телефонных соединений, месяц;Услуги;Услуги телекоммуникационные;0.00026
104;Абонентская плата за пакет услуг сотовой связи, месяц;Услуги;Услуги телекоммуникационные;0.01009
106;Абонентская плата за телевизионную антенну, месяц;Услуги;Услуги телекоммуникационные;0.00219
107;Абонентская плата при комбинированной системе оплаты услуг местной телефонной связи, месяц;Услуги;Услуги телекоммуникационные;0.00022
109;Авторучка шариковая, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00063
112;Альбом для рисования, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00023
113;Амброксол, 30 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00035
115;Апельсины, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00434
116;Аппарат для измерения артериального давления электронный, шт.;Непродовольственные товары;Медицинские товары;0.0002
117;Аренда двухкомнатной квартиры у частных лиц, месяц;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00506
118;Аренда индивидуального банковского сейфа, в расчете на месяц;Услуги;Другие услуги;0.00011
119;Аренда однокомнатной квартиры у частных лиц, месяц;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00435
120;Ацетилсалициловая кислота (Аспирин отечественный), 500 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00029
121;Бананы, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00418
122;Баранина (кроме бескостного мяса), кг;Продовольственные товары;Мясопродукты;0.00651
123;Бараночные изделия, кг;Продовольственные товары;Хлеб и хлебобулочные изделия;0.00116
124;Батарейки электрические типа АА, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00019
126;Белье для новорожденных и детей ясельного возраста, шт.;Непродовольственные товары;Одежда и белье;0.00028
130;Бензин автомобильный марки АИ-92, л;Непродовольственные товары;Топливо моторное;0.01023
131;Бензин автомобильный марки АИ-95, л;Непродовольственные товары;Топливо моторное;0.01543
132;Бензин автомобильный марки АИ-98, л;Непродовольственные товары;Топливо моторное;0.00117
134;Бинт, шт.;Непродовольственные товары;Медицинские товары;4e-05
135;Бисопролол, 10 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00039
136;Блузка для девочек школьного возраста, шт.;Непродовольственные товары;Одежда и белье;0.00106
