Код;Товар;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
1;Все товары и услуги;100,42;100,39;100,14;101,04;100,28;100,42;100,87;100,48;100,09;100,6;100,17;100,98;100,14;100,11;100,11;100,7;100,54;100,73;99,81;99,83;100,14;100,19;100,07;100,16;99,68;100,17;99,98;100,42;100,2;100,78;100,4;100,31;99,93;100,05;100,76;100,79;100,76;100,53;100,43;100,5;100,65;99,77;100,21;100,22;99,86;100,24;100,34;100,18;100,11;100,14;100,54;101,21;100,29;100,25;100,18;100,53;100,31;100,4;100,68;100,64;100,17;100,78;101,03;100,82;100,73;100,8;100,63;100,61;100,84;100,88;100,59;100,07;100,69;100,74;105,26;103,23;100,99;99,57;99,53;99,97;100,36;100,58;100,03;100,2;100,7;100,6;100,13;100,79;99,96;100,64;101,01;100,57;101,69;100,36;100,49;100,18;100,38;100,35;100,34;100,53;101,11;100,31;101,28;100,75;100,55;100,98;101,33;100,84;100,25;101,21;100,53;100,61;100,15;100,11;100,58;100,02;100,92;100,52;100,08;100,26;100,9;101,01;100,29;99,84;100,36;101,2;101,25
3;Продовольственные товары;100,66;100,46;99,73;101,42;99,97;100,05;101,45;100,79;100,05;101,03;99,92;99,62;99,49;99,36;99,68;100,99;100,89;101,2;99,32;98,84;100,13;100,38;100,29;100,6;98,97;100,24;99,85;100,23;99,68;101,56;100,67;100,76;99,76;99,84;101,54;101,56;100,99;99,97;100,75;100,47;100,92;98,91;100,75;100,46;99,65;100,09;100,05;100,17;100,29;100,12;101,23;102,62;100,12;100,01;100,51;100,87;100,13;100,7;101,23;101,07;100,24;101,1;101,81;101,11;100,96;101,04;100,68;100,03;101,71;101,26;101,06;99,6;101,04;101;106,41;105,35;100,83;98,8;98,52;99,77;99,79;100,34;99,69;99,59;100,58;101,2;100;101,33;99,16;100,62;101,68;100,31;102,33;100,27;100,57;100,11;100,15;100,6;100,86;100,41;102,26;100,68;101,21;100,78;100,09;101,21;102,12;101,53;99,71;101,58;100,67;100,83;100,59;99,49;99,35;99,63;101,24;100,75;100,15;100,04;101,02;101,78;100,45;99,59;100,66;100,29;101,53
7;без плодоовощной продукции;99,24;99,59;99,81;101,13;99,71;100,89;103,44;102,43;100,58;100,34;99,94;98,57;98,32;99,1;99,51;99,86;99,23;100,52;102,32;102,26;100,65;100,36;99,64;99,26;98;99,19;99,37;99,83;100,05;100,33;102,78;102,76;101,05;100,44;100,36;99,61;98,55;99,64;99,58;99,88;100,44;100,71;102,54;102,58;100,66;100,35;99,87;98,86;98,38;99,37;99,58;99,84;100,82;100,77;102,59;102,86;100,82;99,89;99,91;99,2;98,46;99,68;99,94;100,16;101,11;101,05;102,76;102,82;100,83;100,15;99,65;99,07;98,44;99,92;107,07;102,03;102,15;100,73;101,5;102,66;100,82;100,13;99,83;98,9;98,46;99,73;99,7;100,27;100,98;100,82;102,68;102,35;100,88;99,85;99,75;99,09;98,15;99,69;99,35;100,56;101,42;100,5;102,69;102,6;100,37;99,92;99,71;99,48;98,19;100,21;99,82;100,35;100,84;100,96;101,83;102,1;99,91;99,73;99,65;99,49;98,11;99,89;99,28;100,08;101,16;100,34;101,34
11;Алкогольные напитки;101,2;101,36;101,73;100,91;99,37;100,93;100,43;100,25;99,81;100,54;99,36;100,81;101,31;100,33;101,04;99,32;99,97;99,86;100,71;100,56;100,18;100,33;99,9;100,47;99,84;100,35;99,81;100,04;99,88;99,48;100,76;100,27;100,01;100,05;99,32;100,09;100,89;100,56;100,43;99,68;100,45;99,54;100,45;100,39;99,79;100,45;99,84;100,16;100,91;100,7;100,33;100,16;100,27;99,94;100,48;100,25;100,19;100,12;100,71;100,07;100,86;100,57;100,12;100,14;100,14;100,29;99,98;98,78;99,55;100,92;99,68;98,92;100,72;101;99,19;101,37;103,36;99,85;101,35;99,49;101,4;99,5;100,57;99,12;100,63;101,1;100,83;98,88;97,56;100,65;100,63;100,84;98,15;99,96;99,03;100,54;100,05;100,5;101,41;100,61;100,07;101,26;99,85;98,97;100,87;99,9;99,81;100,63;102,17;103,65;102,55;102,03;100,29;99,96;101,45;100,55;100,44;100,68;99,94;101,34;104,43;102,24;100,02;101,04;100,45;101,13;99,07
16;Кондитерские изделия;101,06;100,21;100,13;102,47;99,67;101,1;100,43;99,91;98,91;100,15;99,8;100,05;100,55;100,3;99,74;100,22;100,09;100,03;100,07;100,09;100,2;99,51;100,71;100,09;100,31;100,01;99,74;100,1;99,36;100,3;100,06;99,86;99,94;100,05;99,49;101,44;99,61;100,92;100,37;100,52;99,83;99,98;99,84;99,79;99,91;100,17;100,79;99,13;99,63;101,16;100,72;99,91;100,98;100,77;100,31;100,3;100,43;100,65;100,43;100,95;100,7;100,96;100,36;100,57;100,81;100,89;99,69;100,03;97,71;99,46;103,05;99;101,31;102,6;107,54;107,48;102,28;100,87;101,1;99,94;99,55;100,6;100,15;99,33;100,67;100,13;98,22;101,72;98,57;100,35;99,97;99,15;100,24;99,8;101,2;99,23;100,96;100,52;101,5;100,47;101,68;98,53;98,95;100,69;101,6;101,03;101,18;102,62;102,2;101,64;101,25;100,46;100,13;101,88;100,3;99,66;100,34;101,13;101,91;100,28;101,88;100,93;101,42;98,83;100,07;98,95;100,13
18;Макаронные и крупяные изделия;101,53;100,31;102,33;102,13;102,77;99,63;99,77;100,71;99,7;99,45;100,02;99,16;100,62;99,65;99,47;99,41;99,03;98,89;100,39;99,45;99,8;99,08;99,86;98,81;99,65;98,82;99,43;99,01;99,25;99,72;100,43;100,08;100,81;100,51;103,94;101,8;102,27;102,21;101,15;101,82;101,25;100,9;101,51;101,01;100,38;103,03;100,81;97,86;99,53;101,61;103,75;105,26;103,48;101,4;99,81;99,78;99,8;100,05;100,64;101,19;101,03;102,64;100,98;101,14;100,73;99,85;100,37;99,69;99,46;102,51;102,06;102,71;102,78;100,69;105,13;106,97;103,35;100,68;96,36;99,22;98,35;97,9;98,8;99,28;98,51;97,86;99,47;100,38;97,98;100,34;98,84;98,18;100,74;102,14;100,43;98,46;100,91;97,9;102,02;99,07;101,47;99,32;100,44;99,26;101,69;100,38;100,32;100,14;101,43;99,81;99,11;100,03;100,24;98,7;100,37;98,8;101,27;100,43;99,99;99,65;100,33;99,52;100,65;99,23;101,32;100,1;101,4
19;Масло и жиры;100,56;101,25;100,42;101,25;99,79;102,32;100,84;98,84;100,82;100,42;101,98;102,75;99,36;97,87;101,93;103,67;96,34;99,8;100,97;100,79;101,36;101,57;99,58;99,94;99,36;100,91;99,89;100,26;99,91;100,83;100,67;100,24;101,04;98,87;100,35;103,37;100,76;100,58;101,52;98,84;101,43;101,04;101,35;99,43;101,63;99,34;99,96;100,55;99,15;100,73;100,41;101,02;98,39;101,05;100,76;99,74;101,17;102,19;103,21;102,07;100,67;100,58;101;100,13;100,8;101,19;100,17;99,96;100,51;99,96;100,69;101,27;102,87;102,01;107,05;105,87;102,68;100,13;99,03;99,31;100,28;100,39;97,62;99,29;98,83;101,87;100,53;99,58;97,27;98,77;100,62;103,87;101,73;100,14;97,83;100,49;101,54;101,22;101,25;101,89;100,64;101;99,5;102,39;105,6;104,73;104,11;100,9;103,73;101,91;98,55;99,59;98,62;99,31;99,92;99,81;99,5;99,63;100,29;99,5;98,85;99,02;99,9;99,93;99,85;99,68;100,91
24;Молоко и молочная продукция;101,86;100,86;100,4;101,2;100,81;100,88;100,16;100,51;99,85;100,77;100,76;100,61;100,44;100,71;100,58;101,34;100,1;100,45;100,98;100,54;100,79;100,16;100,62;100,13;100,95;100,09;100,07;100,11;100,11;100,45;101;100,85;100,44;100,25;100,55;100,81;99,93;99,93;100,92;100,35;101,85;100,89;101,24;100,89;100,46;100,81;100,58;100,39;101,36;101,05;100,76;100,59;100,06;100,63;100,1;99,31;100,39;100,09;99,65;99,76;100,19;100,39;100,53;100,64;100,64;100,45;100,39;99,46;100,64;100,94;101,44;99,33;101,77;100,89;105,72;108,09;101,77;101,06;97,47;100,49;100,38;100,53;100,32;99,8;99,49;99,4;100,68;99,81;99,24;100,57;100,33;100,48;100,15;100,5;100,28;99,7;101,84;100,59;100,61;101,02;101,61;101,39;100,08;102,35;102,38;102,32;103,19;101,02;100,98;101,31;101,09;101,12;100,43;100,92;100,1;100,2;100,05;99,66;99,67;100,92;100,67;99,95;99,14;100,41;100,93;100,25;101,12
26;Мясопродукты;100,17;100,06;100,19;101,12;98,91;101,18;100,19;100,73;100,23;100,49;100,39;100,11;99,52;100,25;99,71;99,76;99,88;99,88;99,73;100,56;100,49;100,68;100,66;100,79;99,05;99,86;99,78;100,36;100,86;99,72;100,63;100,72;100,59;100,76;101,44;100,54;100,69;100,45;101,24;101,21;100,3;99,8;100,04;102,33;100,25;100,67;99,35;99,81;99,83;99,98;101,15;100,79;98,6;100,58;100,15;101,08;100,56;99,77;99,9;100,03;100,39;100,82;104,86;101,36;100,68;100,1;100,28;100,97;103,21;101,48;100,9;99,99;101,06;100,29;102,48;103,62;101,26;100,01;99,02;100,26;101,27;100,7;98,93;99,85;100,32;99,93;100,28;100,84;101,09;101,29;100,73;101,32;103,93;100,4;99,69;99,93;100,14;101,49;102,61;101,48;101,45;100,01;100,38;99,46;99,49;100,57;99,97;100,46;99,87;100,67;101,14;99,54;99,76;100,2;100,04;100,54;103,73;100,77;99,52;100,36;101,58;102;101,63;100,63;101,21;99,6;101,89
28;Общественное питание;100,02;100,01;100,14;101,39;100,32;100;103,75;100;100,09;100,14;100,17;100,73;100;100,65;100,62;101,15;101,25;100;100,3;98,39;100,17;100;100;109,38;100;100;100;100;100;100;100;100,07;100,01;100,03;99,97;100,05;100;100,27;100,48;100,29;100,73;100;101,28;100;100,42;100,24;101,97;100;100;100;100,83;100;100;100;100,72;99,68;100,97;99,44;100,53;100,45;100,47;100,12;100,16;100,29;100,64;100;100,47;101,06;101,87;100,53;100,51;100;99,79;102,28;100,72;110,29;100,19;100,94;100;101,4;100,1;100,67;101,72;100,17;100;100,37;100,27;100,08;100,68;100;100;100,49;101,32;100,27;100,62;102,66;100,48;100,7;101,3;100,54;100,92;100,48;100,98;100,21;100,55;101,65;100,45;100;100,44;100,68;101,79;100,96;100,67;101,55;100,53;101,71;102,06;100;100;100;101,38;100,16;101,3;102,3;100,43;100,29;100
