Код;Товар;Дата;Значение
1;Все товары и услуги;01.01.2016;100,42
2;Непродовольственные товары;01.01.2016;100,46
3;Продовольственные товары;01.01.2016;100,66
4;Услуги;01.01.2016;99,95
1;Все товары и услуги;01.02.2016;100,39
2;Непродовольственные товары;01.02.2016;100,38
3;Продовольственные товары;01.02.2016;100,46
4;Услуги;01.02.2016;100,29
1;Все товары и услуги;01.03.2016;100,14
2;Непродовольственные товары;01.03.2016;100,47
3;Продовольственные товары;01.03.2016;99,73
4;Услуги;01.03.2016;100,29
1;Все товары и услуги;01.04.2016;101,04
2;Непродовольственные товары;01.04.2016;101,02
3;Продовольственные товары;01.04.2016;101,42
4;Услуги;01.04.2016;100,37
1;Все товары и услуги;01.05.2016;100,28
2;Непродовольственные товары;01.05.2016;100,22
3;Продовольственные товары;01.05.2016;99,97
4;Услуги;01.05.2016;100,91
1;Все товары и услуги;01.06.2016;100,42
2;Непродовольственные товары;01.06.2016;100,5
3;Продовольственные товары;01.06.2016;100,05
4;Услуги;01.06.2016;100,9
1;Все товары и услуги;01.07.2016;100,87
2;Непродовольственные товары;01.07.2016;100,65
3;Продовольственные товары;01.07.2016;101,45
4;Услуги;01.07.2016;100,36
1;Все товары и услуги;01.08.2016;100,48
2;Непродовольственные товары;01.08.2016;100,4
3;Продовольственные товары;01.08.2016;100,79
4;Услуги;01.08.2016;100,08
1;Все товары и услуги;01.09.2016;100,09
2;Непродовольственные товары;01.09.2016;100,59
3;Продовольственные товары;01.09.2016;100,05
4;Услуги;01.09.2016;99,31
1;Все товары и услуги;01.10.2016;100,6
2;Непродовольственные товары;01.10.2016;100,45
3;Продовольственные товары;01.10.2016;101,03
4;Услуги;01.10.2016;100,12
1;Все товары и услуги;01.11.2016;100,17
2;Непродовольственные товары;01.11.2016;100,65
3;Продовольственные товары;01.11.2016;99,92
4;Услуги;01.11.2016;99,74
1;Все товары и услуги;01.12.2016;100,98
2;Непродовольственные товары;01.12.2016;102,29
