1_Все товары и услуги;3_Продовольственные товары;7_без плодоовощной продукции;11_Алкогольные напитки;16_Кондитерские изделия;18_Макаронные и крупяные изделия;19_Масло и жиры;24_Молоко и молочная продукция;26_Мясопродукты;28_Общественное питание;33_Плодоовощная продукция, включая картофель;34_Рыбопродукты;36_Сахар;39_Сыр;49_Хлеб и хлебобулочные изделия;50_Чай, кофе, какао;52_Яйца;53_Другие продовольственные товары;2_Непродовольственные товары;8_без топлива моторного;13_Галантерея;15_Инструменты и оборудование;17_Легковые автомобили;20_Мебель;21_Медицинские товары;23_Меха и меховые изделия;25_Моющие и чистящие средства;27_Обувь кожаная, текстильная и комбинированная;29_Одежда и белье;30_Парфюмерно-косметические товары;31_Персональные компьютеры;32_Печатные издания;37_Средства связи;38_Строительные материалы;40_Табачные изделия;41_Телерадиотовары;42_Топливо моторное;43_Трикотажные изделия;51_Электротовары и другие бытовые приборы;54_Другие непродовольственные товары;4_Услуги;9_без ЖКУ;12_Бытовые услуги;14_Жилищно-коммунальные услуги;22_Медицинские услуги;35_Санаторно-оздоровительные услуги;44_Услуги в системе образования;67_Услуги в сфере зарубежного туризма;46_Услуги организаций культуры;47_Услуги пассажирского транспорта;48_Услуги телекоммуникационные (связи);739_Экскурсионные услуги;55_Другие услуги;129_Бензин автомобильный;175_Воздушный транспорт;209_Дизельное топливо, л;222_Железнодорожный транспорт;224_Жилищные услуги;279_Коммунальные услуги;360_Масло сливочное, кг;555_Рыба живая и охлажденная, кг;672_Услуги гостиниц и прочих мест проживания;673_Услуги дошкольного воспитания;674_Услуги образования;3000_Транспорт без воздушного и ж/д;5_Базовый ИПЦ;6_ИПЦ без плодоовощей, топлива и ЖКУ
100,42;100,66;99,24;101,2;101,06;101,53;100,56;101,86;100,17;100,02;98,65;101,72;103,65;102,12;101,08;100,11;101,9;101,43;100,46;100,61;99,46;99,66;100,26;100,28;100,66;100,26;101,05;100,46;100,39;100,28;100,15;99,57;100,8;100,04;103,37;103,4;99,06;100,66;101,98;100,26;99,95;99,78;101,11;100,31;100,58;100,22;100,03;102,1;99,84;96,82;100,07;;100,11;;69,92;99,52;84,36;100,23;100,3;101,05;100,83;100,3;99,38;100,26;95,61;100,65;100,02
100,39;100,46;99,59;101,36;100,21;100,31;101,25;100,86;100,06;100,01;99,3;102,36;100,76;103,89;100,37;101,68;96,96;100,78;100,38;100,44;99,35;101,58;99,7;100,39;100,56;99,21;99,77;100,04;100,82;99,49;99,87;100,73;99;100,74;100;101,31;99,87;100,34;101,65;100,99;100,29;100,62;100,51;100,27;100,33;100,25;101,01;101,22;100,09;99,99;100,15;;100;;107,35;100,37;100,53;100,09;100,32;100,34;101,27;100,11;99,66;101,66;101,44;100,62;100,16
100,14;99,73;99,81;101,73;100,13;102,33;100,42;100,4;100,19;100,14;95,71;100,72;97,03;100,34;99,85;101,98;97,78;100,55;100,47;100,48;100,87;99,96;100,7;100,58;100,1;100,19;101,79;100,08;100,14;101,77;101,05;100;100,91;100,07;100,62;99,02;100,57;100,45;100,35;100,87;100,29;100,41;100,47;100,33;100,12;100,21;100,2;100,59;103,04;100,49;100,16;;100;;100,81;100,68;98,22;100,22;100,33;100,58;100,58;100,08;100,25;100,2;100,04;100,46;100,23
101,04;101,42;101,13;100,91;102,47;102,13;101,25;101,2;101,12;101,39;101,3;103,07;98,8;100,51;101,97;101,96;94,11;101,28;101,02;101,04;100,63;100,75;100,92;101,95;100,13;100,08;100,56;101,86;100,68;102,63;97,97;100,48;96,57;100,12;102,06;99,25;100,91;100,26;101,92;101,63;100,37;100,77;101,15;100,33;101,65;102,49;100,13;100,31;100,04;99,34;100,56;;98,4;;97,54;100,61;100;100,22;100,33;102,51;106,52;100,11;99,93;100,23;99,79;101,17;101,08
100,28;99,97;99,71;99,37;99,67;102,77;99,79;100,81;98,91;100,32;97,56;100,27;100,36;100,35;100,11;101,42;108,17;102,04;100,22;100,21;99,86;100,25;99,52;101,06;100,55;99,95;100,29;99,75;100,28;100,91;99,21;100,09;98,56;100,42;101,54;93,57;100,24;100,24;99,35;101,25;100,91;101,72;100,53;100,34;100,36;98,52;100,2;143,11;99,99;99,43;98,75;;100,26;;100;100,04;113,06;100,26;100,33;98,19;101,21;99,86;99,86;100,36;100,79;100,45;100,26
100,42;100,05;100,89;100,93;101,1;99,63;102,32;100,88;101,18;100;96,04;101,19;105,22;97,03;99,72;99,07;98,71;100,1;100,5;100,45;101,15;100,49;99,36;100,34;99,76;99,94;101,13;100,78;100,78;100,19;99,51;100,4;99,93;100,22;101,83;100,52;100,62;100,95;99,63;100,61;100,9;101,85;100,18;100,38;101,08;99,15;100,72;112,73;100,07;101,7;100;;100;;124,36;100,8;101,03;100,35;100,33;103,01;104,73;100,39;100,34;100,97;103,24;100,63;100,84
100,87;101,45;103,44;100,43;100,43;99,77;100,84;100,16;100,19;103,75;105,56;100,2;105,55;101,29;100,08;102,44;102,49;101,65;100,65;100,53;100,78;100,24;98,96;100,86;100,1;99,97;101,01;101,37;100,96;100,63;95,6;99,84;97,41;100,45;101,16;98,86;101,43;100,88;100,1;101,1;100,36;98,92;100,46;99,24;100,23;100,58;99,78;100,19;103,73;101,45;100;;100,19;;116,26;101,91;111,45;97,72;99,76;102,57;97,26;100,33;100,2;99,6;102,58;100,54;101,13
100,48;100,79;102,43;100,25;99,91;100,71;98,84;100,51;100,73;100;105,99;100,31;91,98;101,17;99,9;99,48;97,23;100,64;100,4;100,4;100,02;99,96;100;100,64;99,9;99,87;99,88;100,52;100,53;100,28;100,25;104,72;97,23;100,52;102,88;99,13;100,45;100,56;99,42;100,25;100,08;100,5;100,5;100,47;101,02;100,88;100;100,58;100,05;98,95;99,34;;100;;118,61;100,3;105,6;101,52;100,33;100,44;100,87;99,03;100,25;99,95;102,51;100,29;101,12
100,09;100,05;100,58;99,81;98,91;99,7;100,82;99,85;100,23;100,09;100,95;99,67;98,64;100,09;100,08;99,94;102,15;100,33;100,59;100,6;100,57;99,92;100;100,24;100,43;99,62;99,33;100,08;100,56;100,88;99,69;102,54;97,7;101,28;99,63;99,93;100,7;100,61;101,64;101,28;99,31;98,14;100,31;100,36;100,99;99,94;95,64;82,64;100,05;101,41;100,32;;99,97;;77,19;100,01;88,93;100,35;100,33;101,17;100,18;100,51;100,17;93,22;96,2;100,03;100,22
100,6;101,03;100,34;100,54;100,15;99,45;100,42;100,77;100,49;100,14;105,33;100,13;102,51;100,47;100;100,2;104,56;100,39;100,45;100,47;100,82;100,04;102,38;99,9;100,44;99,58;102,42;100,12;100,44;100,83;99,13;101,96;99,91;100,72;100;101,01;100,5;100,57;99,4;100,12;100,12;99,64;100,14;100,53;100,31;100,11;100,23;100,48;100,01;98,07;100,23;;99,19;;65,25;100,01;84,07;100,3;100,55;100,9;101,28;101,02;100,1;100,33;95,26;100,37;100,35
