Component,Signal_Type,Corr_Value,Corr_Volatility,Corr_Z_Score,Max_Corr
"Плодоовощная продукция, включая картофель",Component_Metrics,-0.448224828961258,-0.06365302912199373,-0.08158385133387337,0.448224828961258
Инструменты и оборудование,Component_Metrics,-0.405444417439018,-0.17341023475430367,-0.06413299949518043,0.405444417439018
Яйца,Component_Metrics,0.04083177910575679,-0.30187267936906903,-0.396490316766539,0.396490316766539
Средства связи,Component_Metrics,-0.02064884217549133,-0.20488754851919533,-0.3832127040628836,0.3832127040628836
Моющие и чистящие средства,Component_Metrics,-0.19429903219201594,-0.3737986052436053,-0.33639252901852557,0.3737986052436053
"Чай, кофе, какао",Component_Metrics,-0.16405263102997691,-0.24791950739530652,-0.36273493336402735,0.36273493336402735
Хлеб и хлебобулочные изделия,Component_Metrics,-0.059432954373419465,-0.21983461122929274,-0.35038060862606185,0.35038060862606185
Медицинские товары,Component_Metrics,-0.053144333470258834,0.18353127486431,0.31565396540961077,0.31565396540961077
Мебель,Component_Metrics,-0.2650229937995869,-0.3128801590650469,-0.028930617081757433,0.3128801590650469
Кондитерские изделия,Component_Metrics,-0.29800154489105746,-0.10432600119204204,0.3115170242969241,0.3115170242969241
Мясопродукты,Component_Metrics,-0.303175346332043,-0.27537353317187113,-0.14072005267612359,0.303175346332043
Diffusion_Index_>1.5%,Diffusion,-0.27189910231546116,,,0.27189910231546116
Diffusion_Index_>1.0%,Diffusion,-0.1307776364395737,,,0.1307776364395737
Diffusion_Index_<-0.5%,Diffusion,0.09960013349467692,,,0.09960013349467692
Diffusion_Index_>0.5%,Diffusion,-0.00745812925169722,,,0.00745812925169722
