Item_Code,Item_Name,Avg_Weight,Corr_Risk,Corr_Reversion,Signal_Score
1085,Услуги гостиниц,0.0022090909090909092,-1.0,,1.0
1,Все товары и услуги,1.0,-1.0,,1.0
2,Непродовольственные товары,0.36785491525423747,-1.0,,1.0
1084,Аренда квартир,0.007976363636363634,-1.0,,1.0
4,Услуги,0.23394457627118648,-1.0,,1.0
1080,"Ингалипт, аэрозоль для местного применения, 30 мл",0.0004370588235294118,1.0,,1.0
6,"Все товары и услуги без плодоовощей, топлива и ЖКУ",0.805750847457627,-1.0,,1.0
7,Непродовольственные товары без топлива моторного,0.32556135593220353,-1.0,,1.0
8,Продовольственные товары без плодоовощной продукции,0.34532762711864406,-1.0,,1.0
9,Услуги без жилищно-коммунальных услуг,0.13486186440677972,1.0,,1.0
11,Алкогольные напитки,0.017173220338983046,1.0,,1.0
1079,"Бутылочка для кормления, шт.",0.0012952941176470588,-1.0,,1.0
13,Галантерея,0.015072203389830514,1.0,,1.0
14,Жилищные и коммунальные услуги (включая аренду квартир),0.09908271186440677,1.0,,1.0
1077,"Кресло детское автомобильное, шт.",0.0005352941176470588,-1.0,,1.0
1076,"Гипсокартон, м2",0.0005499999999999999,-1.0,,1.0
17,Легковые автомобили,0.021124745762711873,-1.0,,1.0
18,Макаронные и крупяные изделия,0.01822033898305084,-1.0,,1.0
1018,ЖНВЛП,0.011903478260869566,-1.0,,1.0
1020,"Аскорбиновая кислота, 50 мг, 100 драже",0.00042913043478260885,-1.0,,1.0
1024,"Валерианы экстракт, 20 мг, 10 таблеток",0.0001882608695652174,-1.0,,1.0
1025,"Газета в розницу, шт.",0.0004965217391304348,1.0,,1.0
1026,"Гриппферон, 10000 МЕ/мл, 10 мл",0.0003565217391304349,-1.0,,1.0
1027,"Ингавирин, 90 мг, 10 капсул",0.00040217391304347814,-1.0,,1.0
1028,"Канефрон Н, 60 таблеток",0.00021260869565217395,-1.0,,1.0
1029,"Кеторол Экспресс, 10 мг, 10 таблеток",0.0004156521739130433,-1.0,,1.0
1007,"Проживание в гостинице 4*-5*, сутки с человека",0.000587241379310324,-1.0,,1.0
1008,"Проживание в хостеле, сутки с человека",0.00024086956521739134,-1.0,,1.0
1009,"Экскурсионные туры по России, поездка",0.0006072413793103449,1.0,,1.0
1011,"Поездка на отдых в ОАЭ, поездка",0.000640689655172414,-1.0,,1.0
1012,"Услуги сиделок, час",0.000726551724137931,-1.0,,1.0
1013,"Диагностика на магнитно-резонансном или компьютерном томографе, услуга",0.0004296551724137931,1.0,,1.0
1014,"Гастроскопия (ФГДС, ЭГДС), услуга",0.0005224137931034276,1.0,,1.0
1017,"Медикаменты, кроме ЖНВЛП",0.01260521739130435,1.0,,1.0
999,"Антисептик для рук, 100 мл",0.0002441379310344828,-1.0,,1.0
1000,"Термометр медицинский безртутный (галинстановый), шт.",0.00011965517241379309,-1.0,,1.0
1001,"Установка натяжного потолка, м2",0.0006117241379310344,-1.0,,1.0
1002,"Услуги аренды автомобилей, час",0.00038689655172413796,1.0,,1.0
1003,"Подписка на онлайн-видеосервисы, месяц",0.0060358620689655185,-1.0,,1.0
1004,"Проживание в гостинице 1* или в мотеле, сутки с человека",0.000206551724137931,1.0,,1.0
1005,"Проживание в гостинице 2*, сутки с человека",0.00033827586206896555,1.0,,1.0
1006,"Проживание в гостинице 3*, сутки с человека",0.0005782758620689447,-1.0,,1.0
984,"Прокладки женские гигиенические, 10 шт.",0.0010910344827586207,1.0,,1.0
993,"Омепразол, 20 мг, 10 таблеток",0.0004003448275862069,1.0,,1.0
997,"Шприцы одноразовые, шт.",0.00018999999999999998,-1.0,,1.0
998,"Санитарно-гигиеническая маска (медицинская), шт.",0.0003782758620689656,-1.0,,1.0
126,"Белье для новорожденных и детей ясельного возраста, шт.",0.00047627118644067795,1.0,,1.0
127,Белье постельное,0.006850169491525423,1.0,,1.0
129,Бензин автомобильный,0.034898135593220324,1.0,,1.0
130,"Бензин автомобильный марки АИ-92, л",0.015854406779661018,1.0,,1.0
131,"Бензин автомобильный марки АИ-95, л",0.012625254237288126,1.0,,1.0
132,"Бензин автомобильный марки АИ-98, л",0.008057234042553192,-1.0,,1.0
119,"Аренда однокомнатной квартиры у частных лиц, месяц",0.00193271186440678,-1.0,,1.0
120,"Ацетилсалициловая кислота (Аспирин отечественный), 500 мг, 10 таблеток",0.000421186440677966,-1.0,,1.0
121,"Бананы, кг",0.004679322033898304,-1.0,,1.0
122,"Баранина (кроме бескостного мяса), кг",0.007020169491525414,-1.0,,1.0
124,"Батарейки электрические типа АА, шт.",0.00028694915254237293,-1.0,,1.0
125,Белье для детей ясельного возраста,0.0017693220338983052,1.0,,1.0
108,Автомобильный транспорт,0.01513695652173913,1.0,,1.0
109,"Авторучка шариковая, шт.",0.0007461016949152543,1.0,,1.0
112,"Альбом для рисования, шт.",0.00038627118644067793,-1.0,,1.0
113,"Амброксол, 30 мг, 10 таблеток",0.00035525423728813554,-1.0,,1.0
115,"Апельсины, кг",0.0045832203389830515,-1.0,,1.0
116,"Аппарат для измерения артериального давления электронный, шт.",0.0005354237288135595,-1.0,,1.0
117,"Аренда двухкомнатной квартиры у частных лиц, месяц",0.0024415254237288146,-1.0,,1.0
53,Другие продовольственные товары,0.03763135593220338,-1.0,,1.0
54,Другие непродовольственные товары,0.044866610169491505,-1.0,,1.0
55,Другие услуги,0.01941389830508474,-1.0,,1.0
103,"Абонентская плата за неограниченный объем местных телефонных соединений, месяц",0.0007835593220338985,-1.0,,1.0
106,"Абонентская плата за телевизионную антенну, месяц",0.002015084745762712,1.0,,1.0
161,Ветеринарные услуги,0.00042813559322033907,-1.0,,1.0
162,"Взносы на капитальный ремонт, м2",0.009592830188679222,-1.0,,1.0
164,"Вино виноградное крепленое, л",0.0011164406779661017,1.0,,1.0
166,"Вино игристое отечественное, л",0.0008203389830508373,-1.0,,1.0
167,"Виноград, кг",0.002452711864406779,-1.0,,1.0
152,"Варенье, джем, повидло, кг",0.000971186440677966,1.0,,1.0
154,"Вата отечественная, 100 г",0.00030152542372881367,-1.0,,1.0
157,Велосипеды и мотоциклы,0.001397966101694915,1.0,,1.0
158,"Вермишель, кг",0.0014044067796610171,-1.0,,1.0
160,"Верхний трикотаж, прочие изделия верхнего трикотажа",0.010944067796610167,1.0,,1.0
143,"Брюки женские из полушерстяных или смесовых тканей, шт.",0.0020777966101694924,1.0,,1.0
144,"Брюки мужские из джинсовой ткани (джинсы), шт.",0.003368474576271186,-1.0,,1.0
145,"Брюки мужские из полушерстяных или смесовых тканей, шт.",0.0020888135593220333,1.0,,1.0
146,"Булочные изделия сдобные из муки высшего сорта штучные, кг",0.0020579661016949156,-1.0,,1.0
147,"Бумага туалетная, рулон",0.0011559322033898307,1.0,,1.0
148,Бумажно-беловые товары,0.0056428813559322045,1.0,,1.0
149,"Бюстгальтер, шт.",0.0016389830508474568,1.0,,1.0
134,"Бинт, шт.",0.0001694915254237288,-1.0,,1.0
135,"Бисопролол, 10 мг, 10 таблеток",0.0002910169491525423,1.0,,1.0
136,"Блузка для девочек школьного возраста, шт.",0.0008986440677966099,-1.0,,1.0
139,"Ботинки, полуботинки для детей школьного возраста, пара",0.0014961016949152535,1.0,,1.0
141,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0.0015022033898305079,-1.0,,1.0
142,"Брюки для детей школьного возраста из полушерстяных тканей, шт.",0.0010937288135593214,1.0,,1.0
207,"Джемпер мужской, шт.",0.0017535593220338987,1.0,,1.0
208,"Диван-кровать, шт.",0.0027977966101694926,1.0,,1.0
209,"Дизельное топливо, л",0.0034408474576271184,1.0,,1.0
210,"Дом отдыха, пансионат, день",0.0007772727272727273,1.0,,1.0
211,"Дополнительные занятия в государственных и муниципальных общеобразовательных организациях очной формы обучения, академический час",0.0006242857142857144,1.0,,1.0
213,"Доска обрезная, м3",0.000819830508474576,-1.0,,1.0
214,"Дрель электрическая, шт.",0.0003518644067796609,-1.0,,1.0
198,"Годовая стоимость полиса добровольного страхования легкового автомобиля от стандартных рисков (КАСКО), полис",0.002331186440677966,-1.0,,1.0
199,Городская телефонная связь,0.00273186440677966,-1.0,,1.0
202,Городской электрический транспорт,0.00048864406779661,-1.0,,1.0
204,"Груши, кг",0.003345932203389829,-1.0,,1.0
206,"Джемпер женский, шт.",0.002119491525423729,-1.0,,1.0
184,"Газ сетевой, м3",0.011231694915254224,-1.0,,1.0
185,"Газ сетевой, месяц с человека",0.016821525423728816,-1.0,,1.0
189,"Газовое моторное топливо, л",0.00395457627118644,-1.0,,1.0
190,Газоснабжение,0.028154915254237283,-1.0,,1.0
195,"Говядина (кроме бескостного мяса), кг",0.020061016949152546,-1.0,,1.0
196,"Говядина бескостная, кг",0.01132152542372881,-1.0,,1.0
197,"Годовая стоимость полиса добровольного страхования жилья от стандартных рисков, полис",0.0003622033898305085,1.0,,1.0
170,Водка,0.004808474576271185,1.0,,1.0
171,"Водка, л",0.004808474576271185,1.0,,1.0
172,"Водоотведение, м3",0.0035047457627118655,1.0,,1.0
173,"Водоснабжение горячее, м3",0.004301525423728815,1.0,,1.0
174,"Водоснабжение холодное, м3",0.006428305084745765,1.0,,1.0
181,"Выполнение обойных работ, 10 м2",0.0007254237288135594,1.0,,1.0
183,Газ сетевой,0.02805322033898304,-1.0,,1.0
246,"Йод, 10 мл",0.00038118644067796606,1.0,,1.0
247,"Какао, кг",0.0006755319148935809,-1.0,,1.0
248,"Кальмары мороженые, кг",0.0002397872340425533,1.0,,1.0
249,"Капуста белокочанная свежая, кг",0.0022477966101694907,-1.0,,1.0
250,"Карамель, кг",0.0033935593220338987,-1.0,,1.0
251,"Карандаш чернографитный, шт.",0.00039169491525423736,1.0,,1.0
252,"Картофель, кг",0.00586966101694915,-1.0,,1.0
253,"Кастрюля из эмалированной или нержавеющей стали, шт.",0.0017269491525423735,-1.0,,1.0
