Code,Day,Region_code,Item_code,Weight_horizontal,Weight_vertical,Weight_gross,Date,Year,Name,Share_in_CPI,Cum_Share
250070026,01/01/25 00:00:00,7,26,0.004652,0.09904,0.000460536,2025-01-01,2025,Мясопродукты,0.09904,0.09904
250070014,01/01/25 00:00:00,7,14,0.003902,0.0909399999999999,0.000354666,2025-01-01,2025,Жилищные и коммунальные услуги (включая аренду квартир),0.0909399999999999,0.1899799999999999
250070029,01/01/25 00:00:00,7,29,0.00694,0.06473,0.0004492262,2025-01-01,2025,Одежда и белье,0.06473,0.2547099999999999
250070279,01/01/25 00:00:00,7,279,0.004574,0.06269,0.0002864933,2025-01-01,2025,Коммунальные услуги,0.06269,0.3173999999999999
250070392,01/01/25 00:00:00,7,392,0.005744,0.05972,0.0003427928,2025-01-01,2025,Мясо и птица,0.05972,0.3771199999999999
250070033,01/01/25 00:00:00,7,33,0.004774,0.05888,0.0002808576,2025-01-01,2025,"Плодоовощная продукция, включая картофель",0.05888,0.4359999999999999
250070436,01/01/25 00:00:00,7,436,0.006598,0.05699,0.000376134,2025-01-01,2025,Одежда,0.05699,0.4929899999999999
250070054,01/01/25 00:00:00,7,54,0.004588,0.04447,0.0002041173,2025-01-01,2025,Другие непродовольственные товары,0.04447,0.5374599999999998
250070012,01/01/25 00:00:00,7,12,0.003587,0.04365,0.0001567035,2025-01-01,2025,Бытовые услуги,0.04365,0.5811099999999998
250070391,01/01/25 00:00:00,7,391,0.006475,0.04068,0.0002636064,2025-01-01,2025,Мясо животных,0.04068,0.6217899999999998
250070053,01/01/25 00:00:00,7,53,0.005553,0.03665,0.0002034075,2025-01-01,2025,Другие продовольственные товары,0.03665,0.6584399999999998
250070042,01/01/25 00:00:00,7,42,0.002935,0.03302,9.70788e-05,2025-01-01,2025,Топливо моторное,0.03302,0.6914599999999999
250070017,01/01/25 00:00:00,7,17,0.002239,0.03074,6.88576e-05,2025-01-01,2025,Легковые автомобили,0.03074,0.7221999999999998
250070024,01/01/25 00:00:00,7,24,0.004012,0.03051,0.0001223451,2025-01-01,2025,Молоко и молочная продукция,0.03051,0.7527099999999999
250070048,01/01/25 00:00:00,7,48,0.004719,0.03021,0.0001425912,2025-01-01,2025,Услуги телекоммуникационные,0.03021,0.7829199999999998
250070440,01/01/25 00:00:00,7,440,0.006769,0.02993,0.0002026261,2025-01-01,2025,Одежда женская,0.02993,0.8128499999999999
250070016,01/01/25 00:00:00,7,16,0.004614,0.02899,0.0001336439,2025-01-01,2025,Кондитерские изделия,0.02899,0.8418399999999998
250070224,01/01/25 00:00:00,7,224,0.002942,0.02825,8.3055e-05,2025-01-01,2025,Жилищные услуги,0.02825,0.8700899999999998
250070027,01/01/25 00:00:00,7,27,0.007199,0.02815,0.00020268,2025-01-01,2025,"Обувь кожаная, текстильная и комбинированная",0.02815,0.8982399999999998
250070194,01/01/25 00:00:00,7,194,0.010976,0.02697,0.0002961306,2025-01-01,2025,Говядина,0.02697,0.9252099999999999
250070431,01/01/25 00:00:00,7,431,0.004947,0.02679,0.0001326105,2025-01-01,2025,Овощи,0.02679,0.9519999999999998
250070702,01/01/25 00:00:00,7,702,0.004476,0.0265,0.00011872,2025-01-01,2025,Фрукты и цитрусовые,0.0265,0.9784999999999998
250070129,01/01/25 00:00:00,7,129,0.002388,0.02523,6.02997e-05,2025-01-01,2025,Бензин автомобильный,0.02523,1.0037299999999998
250070034,01/01/25 00:00:00,7,34,0.004058,0.0226,9.1756e-05,2025-01-01,2025,Рыбопродукты,0.0226,1.0263299999999997
250070021,01/01/25 00:00:00,7,21,0.003846,0.02249,8.65865e-05,2025-01-01,2025,Медицинские товары,0.02249,1.0488199999999996
250070047,01/01/25 00:00:00,7,47,0.004229,0.02242,9.48366e-05,2025-01-01,2025,Услуги пассажирского транспорта,0.02242,1.0712399999999997
250070055,01/01/25 00:00:00,7,55,0.00252,0.02086,5.25672e-05,2025-01-01,2025,Другие услуги,0.02086,1.0920999999999998
250070020,01/01/25 00:00:00,7,20,0.005768,0.0207,0.000119439,2025-01-01,2025,Мебель,0.0207,1.1127999999999998
250070269,01/01/25 00:00:00,7,269,0.003262,0.02015,6.5689e-05,2025-01-01,2025,Колбасные изделия и продукты из мяса и птицы,0.02015,1.1329499999999997
250070225,01/01/25 00:00:00,7,225,0.003597,0.01999,7.1964e-05,2025-01-01,2025,Жилищные услуги без аренды квартир у частных лиц,0.01999,1.1529399999999996
250070030,01/01/25 00:00:00,7,30,0.004873,0.01984,9.66208e-05,2025-01-01,2025,Парфюмерно-косметические товары,0.01984,1.1727799999999997
250070366,01/01/25 00:00:00,7,366,0.003877,0.01957,7.59316e-05,2025-01-01,2025,Медикаменты,0.01957,1.1923499999999998
250070556,01/01/25 00:00:00,7,556,0.004322,0.0192,8.2944e-05,2025-01-01,2025,Рыба и морепродукты пищевые,0.0192,1.21155
250070394,01/01/25 00:00:00,7,394,0.004629,0.01904,8.81552e-05,2025-01-01,2025,Мясо птицы,0.01904,1.2305899999999999
250070183,01/01/25 00:00:00,7,183,0.011823,0.01904,0.0002250528,2025-01-01,2025,Газ сетевой,0.01904,1.2496299999999998
250070190,01/01/25 00:00:00,7,190,0.011398,0.01904,0.000217056,2025-01-01,2025,Газоснабжение,0.01904,1.2686699999999997
250070677,01/01/25 00:00:00,7,677,0.003933,0.0182,7.1526e-05,2025-01-01,2025,Услуги парикмахерских,0.0182,1.2868699999999997
250070019,01/01/25 00:00:00,7,19,0.005563,0.01733,9.63548e-05,2025-01-01,2025,Масло и жиры,0.01733,1.3041999999999998
250070441,01/01/25 00:00:00,7,441,0.006809,0.01696,0.0001154976,2025-01-01,2025,Одежда мужская,0.01696,1.32116
250070018,01/01/25 00:00:00,7,18,0.006368,0.01688,0.0001075256,2025-01-01,2025,Макаронные и крупяные изделия,0.01688,1.33804
250070108,01/01/25 00:00:00,7,108,0.007141,0.01659,0.0001184526,2025-01-01,2025,Автомобильный транспорт,0.01659,1.35463
250070200,01/01/25 00:00:00,7,200,0.007792,0.01606,0.0001251074,2025-01-01,2025,Городской автомобильный  транспорт,0.01606,1.37069
250070043,01/01/25 00:00:00,7,43,0.006524,0.01601,0.0001043852,2025-01-01,2025,Трикотажные изделия,0.01601,1.3867
250070051,01/01/25 00:00:00,7,51,0.005428,0.01594,8.65542e-05,2025-01-01,2025,Электротовары и другие бытовые приборы,0.01594,1.40264
250070680,01/01/25 00:00:00,7,680,0.005427,0.01587,8.61741e-05,2025-01-01,2025,Услуги по подключению к сети Интернет,0.01587,1.4185100000000002
250070028,01/01/25 00:00:00,7,28,0.002548,0.01583,4.03665e-05,2025-01-01,2025,Общественное питание,0.01583,1.4343400000000002
250070195,01/01/25 00:00:00,7,195,0.010636,0.0158,0.000168112,2025-01-01,2025,"Говядина (кроме бескостного мяса), кг",0.0158,1.4501400000000002
250070733,01/01/25 00:00:00,7,733,0.005388,0.01571,8.46769e-05,2025-01-01,2025,Шоколад и изделия кондитерские сахаристые,0.01571,1.46585
250070504,01/01/25 00:00:00,7,504,0.003921,0.0155,6.076e-05,2025-01-01,2025,Полуфабрикаты мясные,0.0155,1.4813500000000002
250070050,01/01/25 00:00:00,7,50,0.005647,0.01517,8.57105e-05,2025-01-01,2025,"Чай, кофе, какао",0.01517,1.49652
250070038,01/01/25 00:00:00,7,38,0.006018,0.0148,8.9096e-05,2025-01-01,2025,Строительные материалы,0.0148,1.51132
250070681,01/01/25 00:00:00,7,681,0.005071,0.0148,7.5036e-05,2025-01-01,2025,Услуги по снабжению электроэнергией,0.0148,1.52612
250070013,01/01/25 00:00:00,7,13,0.007042,0.01476,0.0001039104,2025-01-01,2025,Галантерея,0.01476,1.54088
250070268,01/01/25 00:00:00,7,268,0.003018,0.01442,4.35484e-05,2025-01-01,2025,Колбасные изделия,0.01442,1.5553000000000001
250070131,01/01/25 00:00:00,7,131,0.002515,0.01393,3.49643e-05,2025-01-01,2025,"Бензин автомобильный марки АИ-95, л",0.01393,1.5692300000000001
250070022,01/01/25 00:00:00,7,22,0.00378,0.01378,5.20884e-05,2025-01-01,2025,Медицинские услуги,0.01378,1.58301
250070039,01/01/25 00:00:00,7,39,0.004141,0.01374,5.68836e-05,2025-01-01,2025,Сыр,0.01374,1.5967500000000001
250070011,01/01/25 00:00:00,7,11,0.001367,0.01374,1.88238e-05,2025-01-01,2025,Алкогольные напитки,0.01374,1.6104900000000002
250070049,01/01/25 00:00:00,7,49,0.003666,0.0136,4.9912e-05,2025-01-01,2025,Хлеб и хлебобулочные изделия,0.0136,1.6240900000000003
250070242,01/01/25 00:00:00,7,242,0.003944,0.01328,5.23232e-05,2025-01-01,2025,Изделия мучные кондитерские,0.01328,1.6373700000000002
250070044,01/01/25 00:00:00,7,44,0.003278,0.01306,4.28368e-05,2025-01-01,2025,Услуги в системе образования,0.01306,1.6504300000000003
250070321,01/01/25 00:00:00,7,321,0.007643,0.01245,9.5118e-05,2025-01-01,2025,Крупа и бобовые,0.01245,1.6628800000000004
250070184,01/01/25 00:00:00,7,184,0.02074,0.01239,0.0002569686,2025-01-01,2025,"Газ сетевой, м3",0.01239,1.6752700000000003
250070025,01/01/25 00:00:00,7,25,0.005866,0.01123,6.59201e-05,2025-01-01,2025,Моющие и чистящие средства,0.01123,1.6865000000000003
250070196,01/01/25 00:00:00,7,196,0.011496,0.01117,0.000128455,2025-01-01,2025,"Говядина бескостная, кг",0.01117,1.6976700000000002
250070674,01/01/25 00:00:00,7,674,0.00357,0.01073,3.83061e-05,2025-01-01,2025,Услуги образования,0.01073,1.7084000000000001
250070547,01/01/25 00:00:00,7,547,0.003294,0.01055,3.47095e-05,2025-01-01,2025,Ремонт и техническое обслуживание транспортных средств,0.01055,1.7189500000000002
250070133,01/01/25 00:00:00,7,133,0.003731,0.0103,3.8419e-05,2025-01-01,2025,Беспроводная радиосвязь,0.0103,1.7292500000000002
250070104,01/01/25 00:00:00,7,104,0.003731,0.0103,3.8419e-05,2025-01-01,2025,"Абонентская плата за пакет услуг сотовой связи, месяц",0.0103,1.7395500000000002
250070130,01/01/25 00:00:00,7,130,0.002142,0.01013,2.16782e-05,2025-01-01,2025,"Бензин автомобильный марки АИ-92, л",0.01013,1.7496800000000001
250070340,01/01/25 00:00:00,7,340,0.002924,0.01011,2.95212e-05,2025-01-01,2025,"Легковой автомобиль отечественный новый, шт.",0.01011,1.7597900000000002
250070437,01/01/25 00:00:00,7,437,0.005856,0.0101,5.9186e-05,2025-01-01,2025,Одежда детская,0.0101,1.7698900000000002
250071017,01/01/25 00:00:00,7,1017,0.00369,0.01002,3.69738e-05,2025-01-01,2025,"Медикаменты, кроме ЖНВЛП",0.01002,1.77991
250070527,01/01/25 00:00:00,7,527,0.029615,0.00984,0.0002913624,2025-01-01,2025,"Проезд в маршрутном такси, поездка",0.00984,1.7897500000000002
250070694,01/01/25 00:00:00,7,694,0.004602,0.00975,4.485e-05,2025-01-01,2025,"Фарш мясной, кг",0.00975,1.7995
250070446,01/01/25 00:00:00,7,446,0.004216,0.0095099999999999,4.01322e-05,2025-01-01,2025,Оплата холодного водоснабжения и водоотведения,0.0095099999999999,1.80901
