Component,Weight,Corr_Risk,Corr_Mean_Reversion,Corr_Weighted_Reversion
Другие непродовольственные товары,0.04127164139161455,0.26685730082812653,-0.22110556196478934,-0.21911846631782433
Другие продовольственные товары,0.035842595896520946,0.2304300916107211,0.009290489405201711,0.00855791860040549
Сахар,0.007678135593220307,0.21116630764226846,0.23918493842404287,0.23759076863364342
Масло и жиры,0.017220169491525397,0.20115464790881304,0.5363862076249482,0.5299979456479834
Медицинские товары,0.010903491797866385,0.19468375490940842,0.058168401561483035,0.0647444224913021
Легковые автомобили,0.02029871073301274,0.18464869695253697,0.5142438451641416,0.39666499179926823
Телерадиотовары,0.004846028545941093,0.17261720399253097,-0.13866151487277256,-0.16252452156443917
Одежда и белье,0.060448173059768,0.16668618986256997,0.36723647366350354,0.3659663012583253
Печатные издания,0.002764108831400518,0.16124377183113903,-0.33362709222608855,-0.3179483155742951
"Обувь кожаная, текстильная и комбинированная",0.022959459411239953,0.09276098868818863,0.47839073612006894,0.4765532096561495
Алкогольные напитки,0.011574722569134655,0.07995216820268711,0.4955281236811405,0.4907114205518738
Строительные материалы,0.009134736842105215,0.07499068677399666,0.2922725848643463,0.2880580389085823
Услуги,0.1917698242837066,0.058892350201698786,-0.3169387880272491,-0.3173809696146602
Трикотажные изделия,0.016523141837644886,0.04730306349096794,0.2275043405426277,0.23011729815977744
Молоко и молочная продукция,0.027244715432649398,0.01944639714394979,0.5034600477547653,0.5023796948646683
Меха и меховые изделия,0.002834237288135559,-0.0012989896962353703,0.30638810998794713,0.3985396613367562
Галантерея,0.01187133987511149,-0.005368981385219383,-0.3147008663295597,-0.30530017668509324
Топливо моторное,0.03886224442462083,-0.016459687947506095,0.42104002411396857,0.41494768369067925
Общественное питание,0.009070713648528062,-0.023071654063864314,-0.15097227600144386,-0.08427583266681668
"Плодоовощная продукция, включая картофель",0.05017981801962532,-0.03587592985077884,0.5138162709121016,0.5150315676503454
Персональные компьютеры,0.0041847029438001416,-0.04087931452480714,0.1990797731263721,0.25573362028187474
Парфюмерно-косметические товары,0.015514283675289897,-0.04857357484486883,-0.1505403926429294,-0.1585095716248003
Макаронные и крупяные изделия,0.017069152542372838,-0.05669344035333078,-0.576757405702996,-0.551016882888675
Сыр,0.014026779661016914,-0.08624790032157863,0.20407752123989184,0.19055558599676034
Кондитерские изделия,0.02940186440677963,-0.1041737859911644,0.27930064564417645,0.279504371533834
Рыбопродукты,0.02090624442462086,-0.10511507309094331,0.14822070037260443,0.14101318823422987
Электротовары и другие бытовые приборы,0.01674502586975911,-0.15241656117699068,0.16631668866364444,0.17965114819831898
Инструменты и оборудование,0.0006527118644067491,-0.17329046163708386,0.11056673956908676,0.11056062417585853
Табачные изделия,0.007765652173913041,-0.19145634080467505,-0.3131365436816567,-0.29435991663721567
Средства связи,0.0034840285459411084,-0.20722683933186725,-0.05789924863343825,-0.06345852451715256
Хлеб и хлебобулочные изделия,0.009230811775200685,-0.21996190167132404,0.33418621053428793,0.3364981510273451
"Чай, кофе, какао",0.013934770740410293,-0.24215465639553238,0.11846785571577322,0.12942448440840215
Мясопродукты,0.10118619090098122,-0.27684385850116366,0.28000170865613744,0.29161352420257564
Мебель,0.018020435325602113,-0.3075650580773675,-0.19392210427333037,-0.13859989811372267
Яйца,0.005423728813559314,-0.3130781164347376,0.09003977538983539,0.1062045236914513
Моющие и чистящие средства,0.011650631578947327,-0.3672305151914465,-0.3794612355788222,-0.37256283857497097
