top_model,files_total,code_files,doc_files,data_files,bytes_total,extensions
nested:af6a7c11f617b,986,976,1,7,20157031,docx;exe;m;mat;mod;xlsx
nested:adbb010e3b1c5,857,409,349,30,326461080,csv;docx;emf;eps;m;mat;model;pdf;png;tif;xlsx
nested:a24cd898db7c9,147,36,3,107,29434586,csv;docx;r;rproj;txt;xlsx
nested:a5805283d7399,88,26,3,18,12460240,css;csv;docx;iml;ipynb;js;map;md;png;py;r;scss;txt;xlsx;xml
nested:a9c66f72e388c,86,10,2,71,622904,csv;docx;rmd;xlsx
nested:a83e1b4a50170,117,9,2,15,315898138,csv;docx;pper;r;rdata;rproj;xlsx
nested:a65dee457d977,9,8,1,0,286506,docx;prg;wf1
nested:a91e667c12a0f,14,7,2,4,4517056,csv;docx;m;model;pdf;xlsx
nested:a90d6955e5dfb,9,4,4,1,23102223,docx;prg;wf1;xlsx
nested:ab908e4169c60,7,4,2,1,21831251,docx;prg;wf1;xlsx
nested:ae23229b6b5c5,12,4,4,0,658020,docx;json;prg;txt;wf1;~f1;~rg
nested:ae2b6806288f5,7,4,2,1,44772563,docx;prg;wf1;xlsx
nested:a0ac088b0b1be,7,2,4,1,447872,docx;prg;wf1;xlsx
nested:a1e1b29916db4,2,2,0,0,130740,prg;wf1
nested:a2363877985ef,6,2,1,2,228715,docx;json;prg;xlsx
nested:a23c5123c996a,3,2,1,0,46605,docx;prg;wf1
nested:a938d3e57df1b,3,2,1,0,46166,docx;prg;wf1
nested:a9dc655ed6e18,3,2,1,0,124469,docx;prg;wf1
nested:acc974ce82ab0,17,2,1,13,55767367,csv;docx;r;xlsx;zip
nested:aeb7a4edbe343,4,2,1,1,86739,docx;m;xlsx
nested:a0268154c4591,3,1,1,1,921409,docx;py;xlsx
nested:a1d1ab49225f8,3,1,2,0,132455,docx;txt;wf1
nested:a20c02d743886,4,1,2,1,3086264,docx;prg;xlsx
nested:a21408bf349b4,5,1,3,0,193822,docx;prg;txt;xlam
nested:a30cb9e65d6f9,5,1,2,2,99676,docx;ipynb;xls;xlsx
