item_code,item_name,item_weight,source_component,source_subcomponent,subcomponent_code,external_var,mapping_source
195,"Говядина (кроме бескостного мяса), кг",0.01634,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
131,"Бензин автомобильный марки АИ-95, л",0.01543,Непродовольственные товары,Топливо моторное,42,n_topl,micro_sprav_subcomponent_exact
184,"Газ сетевой, м3",0.01097,Услуги,,14,u_gkh,service_name_rule
196,"Говядина бескостная, кг",0.01193,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
104,"Абонентская плата за пакет услуг сотовой связи, месяц",0.01009,Услуги,,48,u_sv,service_name_rule
130,"Бензин автомобильный марки АИ-92, л",0.01023,Непродовольственные товары,Топливо моторное,42,n_topl,micro_sprav_subcomponent_exact
340,"Легковой автомобиль отечественный новый, шт.",0.00753,Непродовольственные товары,Легковые автомобили,17,n_avto,micro_sprav_subcomponent_exact
527,"Проезд в маршрутном такси, поездка",0.00869,Услуги,,47,u_transp,service_name_rule
694,"Фарш мясной, кг",0.0094,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
333,"Куры охлажденные и мороженые, кг",0.00958,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
448,"Отопление, Гкал",0.00924,Услуги,,14,u_gkh,service_name_rule
101,"Абонентская плата за доступ к сети Интернет, месяц",0.0085699999999999,Услуги,,48,u_sv,service_name_rule
338,"Легковой автомобиль импортный подержанный, шт.",0.01012,Непродовольственные товары,Легковые автомобили,17,n_avto,micro_sprav_subcomponent_exact
360,"Масло сливочное, кг",0.00872,Продовольственные товары,Масло и жиры,19,p_butter,micro_sprav_subcomponent_exact
1046,"Сигареты с фильтром, пачка",0.0086599999999999,Непродовольственные товары,Табачные изделия,40,n_tabac,micro_sprav_subcomponent_exact
745,"Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч",0.00638,Услуги,,14,u_gkh,service_name_rule
588,"Сметана, кг",0.00748,Продовольственные товары,Молоко и молочная продукция,24,p_milk,micro_sprav_subcomponent_exact
1054,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.00735,Продовольственные товары,Хлеб и хлебобулочные изделия,49,p_bread,micro_sprav_subcomponent_exact
162,"Взносы на капитальный ремонт, м2",0.00784,Услуги,,14,u_gkh,service_name_rule
728,"Шины для легкового автомобиля, шт.",0.00355,Непродовольственные товары,Легковые автомобили,17,n_avto,micro_sprav_subcomponent_exact
1003,"Подписка на онлайн-видеосервисы, месяц",0.00766,Услуги,,48,u_sv,service_name_rule
404,"Национальные сыры и брынза, кг",0.00741,Продовольственные товары,Сыр,39,p_cheese,micro_sprav_subcomponent_exact
608,"Стрижка модельная в женском зале, стрижка",0.00549,Услуги,,12,u_bit,service_name_rule
185,"Газ сетевой, месяц с человека",0.0095,Услуги,,14,u_gkh,service_name_rule
479,"Плата за пользование потребительским кредитом (процентная ставка в стоимостном выражении), руб.",0.00656,Услуги,,55,u_proch,service_residual_rule
590,"Содержание, ремонт жилья для граждан-собственников жилья в результате приватизации, граждан-собственников жилых помещений по иным основаниям, м2 общей площади",0.00599,Услуги,,14,u_gkh,service_name_rule
413,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",0.00697,Продовольственные товары,Общественное питание,28,p_ob_pit,micro_sprav_subcomponent_exact
585,"Смартфон, шт.",0.00625,Непродовольственные товары,Средства связи,37,n_sr_sv,micro_sprav_subcomponent_exact
355,"Маникюр,услуга",0.0057,Услуги,,12,u_bit,service_name_rule
754,"Яйца куриные, 10 шт.",0.00543,Продовольственные товары,Яйца,52,p_egg,micro_sprav_subcomponent_exact
174,"Водоснабжение холодное, м3",0.0053,Услуги,,14,u_gkh,service_name_rule
122,"Баранина (кроме бескостного мяса), кг",0.00651,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
599,"Сосиски, сардельки, кг",0.00553,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
459,"Пельмени, манты, равиоли, кг",0.00524,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
572,"Сахар-песок, кг",0.00532,Продовольственные товары,Сахар,36,p_sugar,micro_sprav_subcomponent_exact
679,"Услуги по организации и выполнению работ по эксплуатации домов ЖК, ЖСК, ТСЖ, м2 общей площади",0.00526,Услуги,,14,u_gkh,service_name_rule
252,"Картофель, кг",0.00612,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
470,"Печенье, кг",0.00549,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
609,"Стрижка модельная в мужском зале, стрижка",0.0051,Услуги,,12,u_bit,service_name_rule
173,"Водоснабжение горячее, м3",0.00592,Услуги,,14,u_gkh,service_name_rule
559,"Рыба мороженая разделанная (кроме лососевых пород), кг",0.005,Продовольственные товары,Рыбопродукты,34,p_fish,micro_sprav_subcomponent_exact
506,"Помидоры свежие, кг",0.00574,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
1032,"Кроссовые туфли для взрослых, пара",0.00518,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
1049,"Творог, кг",0.00591,Продовольственные товары,Молоко и молочная продукция,24,p_milk,micro_sprav_subcomponent_exact
621,"Сыры твердые, полутвердые и мягкие, кг",0.00514,Продовольственные товары,Сыр,39,p_cheese,micro_sprav_subcomponent_exact
443,"Окорочка куриные, кг",0.00549,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
365,"Мёд пчелиный натуральный, кг",0.00469,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
359,"Масло подсолнечное, кг",0.00543,Продовольственные товары,Масло и жиры,19,p_butter,micro_sprav_subcomponent_exact
654,"Туалетная вода, 100 мл",0.00579,Непродовольственные товары,Парфюмерно-косметические товары,30,n_parf,micro_sprav_subcomponent_exact
121,"Бананы, кг",0.00418,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
259,"Кисломолочные продукты, кг",0.00311,Продовольственные товары,Молоко и молочная продукция,24,p_milk,micro_sprav_subcomponent_exact
577,"Свинина (кроме бескостного мяса), кг",0.00481,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
311,"Кофе натуральный растворимый, кг",0.00547,Продовольственные товары,"Чай, кофе, какао",50,p_tea,micro_sprav_subcomponent_exact
753,"Яблоки, кг",0.00515,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
388,"Мука пшеничная, кг",0.00424,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
435,"Огурцы свежие, кг",0.00468,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
189,"Газовое моторное топливо, л",0.00226,Непродовольственные товары,Топливо моторное,42,n_topl,micro_sprav_subcomponent_exact
115,"Апельсины, кг",0.00434,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
416,"Обращение с твердыми коммунальными отходами, с человека",0.00398,Услуги,,14,u_gkh,service_name_rule
573,"Свежесрезанные цветы, шт.",0.00399,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
117,"Аренда двухкомнатной квартиры у частных лиц, месяц",0.00506,Услуги,,14,u_gkh,service_name_rule
555,"Рыба живая и охлажденная, кг",0.00395,Продовольственные товары,Рыбопродукты,34,p_fish,micro_sprav_subcomponent_exact
384,"Мороженое сливочное, кг",0.00491,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
393,"Мясо индейки, кг",0.00424,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
