region_rus,year,invest,k_autonomy,shadow_economy
Белгородская область,2014,71474.7,38.66,54.037562006868875
Белгородская область,2015,87825.8,34.12,49.69605694497713
Белгородская область,2016,86167.1,29.01,40.467270314709445
Белгородская область,2017,84600.8,32,30.7332219914218
Белгородская область,2018,79225.5,34.49,20.247414987623568
Белгородская область,2019,95034.8,34.6,18.6436792724909
Белгородская область,2020,95905.1,37.24,14.842079391344747
Брянская область,2014,46361.3,36.45,45.967238685693076
Брянская область,2015,44220.1,36.26,42.69563494770745
Брянская область,2016,52024.3,40.75,34.4313936701924
Брянская область,2017,40429.4,48,28.93286668528912
Брянская область,2018,42570.8,45.93,24.35961161266216
Брянская область,2019,44169.4,49.11,19.680938546115776
Брянская область,2020,51994.8,50,17.10857545785322
Владимирская область,2014,47104,38.73,40.16369459202512
Владимирская область,2015,46867.4,38.38,34.61308900422233
Владимирская область,2016,44652.8,45.73,17.791048280340032
Владимирская область,2017,50246.3,45,15.442892003222578
Владимирская область,2018,47294.8,45.38,13.177198068134599
Владимирская область,2019,56620.7,47.86,10.53584069940861
Владимирская область,2020,58863,44.42,11.201948105878099
Воронежская область,2014,82631.8,47.39,43.03502652580225
Воронежская область,2015,90742.9,42.05,39.227440176494966
Воронежская область,2016,100024.6,47.33,31.416376069368603
Воронежская область,2017,105034.9,37,24.98896831100203
Воронежская область,2018,101696.2,33.95,23.321162078220766
Воронежская область,2019,107010.2,36.62,24.27727304242887
Воронежская область,2020,89941.1,32.99,16.07341368354409
Ивановская область,2014,27722.8,33.17,40.308223852411615
Ивановская область,2015,20472.9,29.24,33.340057006032396
Ивановская область,2016,20266.5,29.56,23.450878399872593
Ивановская область,2017,26933.6,31,20.758728957746033
Ивановская область,2018,25828.2,27.82,10.76734216761329
Ивановская область,2019,31921.3,34.19,10.338896659155559
Ивановская область,2020,35213.2,39.35,9.351143990073457
Калужская область,2014,90350.8,49.34,50.70544436900191
Калужская область,2015,75095.5,43.41,46.98281212584216
Калужская область,2016,63863.6,43.6,30.24157981978469
Калужская область,2017,73670.5,40,19.367173190620683
Калужская область,2018,76878.1,41.26,10.858423275938119
Калужская область,2019,97738.4,44.42,5.743116058889131
Калужская область,2020,91077.3,42.13,8.170181537006366
Костромская область,2014,36949,51.75,38.35632269363745
Костромская область,2015,37042.9,48.61,34.18118744715793
Костромская область,2016,38268.2,49.54,23.914857112099508
Костромская область,2017,29537.4,52,20.37700262936901
Костромская область,2018,30936.6,55.24,19.532947133691692
Костромская область,2019,32489.6,55.44,23.90892447138069
Костромская область,2020,35081.9,62.88,20.466102503071234
Курская область,2014,58177.3,46.85,44.90792980013842
Курская область,2015,62109,51.64,39.392559538256954
Курская область,2016,75170.3,42.64,29.45337641989117
Курская область,2017,78702.5,45,24.66112358158304
Курская область,2018,92298.2,45.81,17.074649232492796
Курская область,2019,121004,53.42,11.515111704577668
Курская область,2020,114601.7,37.13,10.042914562321245
